channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
NS홈쇼핑 샵플러스	20260601	00:02	01:04	62	못난이사과1	열매나무	못난이사과1	단순	00:02	01:04	62	25205700		식품	29900	https://live.ecomm-data.com/report/hsshow/eaca46ba8ab7f44ee59e77b02d47cd01	https://m.nsmall.com/goods/35903612
SK스토아	20260601	00:21	01:21	60	(방송에서만)시즌 한정 마린 세럼 추가!화이트 트러플 세럼 160ml 3병+60ml 2병+아이크림 1개	시즌	(방송에서만)시즌 한정 마린 세럼 추가!화이트 트러플 세럼 160ml 3병+60ml 2병+아이크림 1개	단순	00:21	01:21	60	7670400		화장품/미용	79900	https://live.ecomm-data.com/report/hsshow/a52d5838ecb5ce2808768ddcb6d6aafd	https://www.skstoa.com/display/goods/62614461
SK스토아	20260601	00:21	01:21	60	율무팩 180ML 3개 +스파출라 1개	율무팩	율무팩 180ML 3개 +스파출라 1개	단순	00:21	01:21	60	28767000		화장품/미용	99800	https://live.ecomm-data.com/report/hsshow/fb0367f1eab9cd7e1d0cbf9ba2ff09dd	https://www.skstoa.com/display/goods/59804953
신세계쇼핑	20260601	00:27	01:28	61	[런칭가69,900→ 39,900] 모브온 면모달 반팔 티블라우스 5종	모브온	[런칭가69,900→ 39,900] 모브온 면모달 반팔 티블라우스 5종	단순	00:27	01:28	61	53865000		패션의류	39900	https://live.ecomm-data.com/report/hsshow/0f92b73ec51874bba3a8c7b195ab4aaf	https://www.shinsegaetvshopping.com/display/detail/20063486
쇼핑엔티	20260601	00:32	01:33	61	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)	라이나생명	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)	단순	00:32	01:33	61	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/66793ddd36c71e0a54cc073c7f1f13d4	https://www.shoppingntmall.com/display/goods/23331641
GS홈쇼핑 마이샵	20260601	00:38	01:39	61	이지스 자외선차단 무봉제 마스크 8종 (스포츠 4개+스타일 4개)	이지스	이지스 자외선차단 무봉제 마스크 8종 (스포츠 4개+스타일 4개)	단순	00:38	01:39	61	9089600		생활/건강	56800	https://live.ecomm-data.com/report/hsshow/1496ae99486a4d9d6fb4e425b89bbbf9	https://www.gsshop.com/prd/prd.gs?prdid=1108243671&brddate=20260621055500&pgmID=6742&ordChannel=WE&tveshop=Y
롯데원티비	20260601	00:40	02:00	80	[라스튜디오] ○라스튜디오 26SS 여성 쿨 데님  팬츠 2종	○라스튜디오	[라스튜디오] ○라스튜디오 26SS 여성 쿨 데님  팬츠 2종	단순	00:40	02:00	80	14975000		패션의류	59900	https://live.ecomm-data.com/report/hsshow/31341656d02902b0f3e384742d5b9abf	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12903295
KT알파쇼핑	20260601	00:40	01:43	63	메리츠화재_암보험(또또)	메리츠화재	메리츠화재_암보험(또또)	단순	00:40	01:43	63	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/bf8ad6dda05f6ea809e802f0a7b5c37a	https://m.kshop.co.kr/display/product/8989564
CJ온스타일 플러스	20260601	00:55	01:55	60	26S/S 포인텔 베스트 3종	26S/S	26S/S 포인텔 베스트 3종	단순	00:55	01:55	60	26923800		패션의류	49900	https://live.ecomm-data.com/report/hsshow/4e967753531a65cb2d70939ac40dcfc7	https://display.cjonstyle.com/p/item/2078817944
현대홈쇼핑 플러스샵	20260601	01:00	01:40	40	(30%세일+사은품) 데이즈온 원데이 알파CD 알파시클로덱스트린 파인애플맛 18박스+알파CD 젤리 2박스	데이즈온	(30%세일+사은품) 데이즈온 원데이 알파CD 알파시클로덱스트린 파인애플맛 18박스+알파CD 젤리 2박스	단순	01:00	01:40	40	8307600		식품	193200	https://live.ecomm-data.com/report/hsshow/2cbbe8a94e9a47e5bde06b1a7faa55fc	https://www.hmall.com/md/pda/itemPtc?slitmCd=2242778400
CJ온스타일	20260601	01:00	02:01	61	[초특] 아르티장 그린떡솝 120g 3개+50g 1개	아르티장	[초특] 아르티장 그린떡솝 120g 3개+50g 1개	단순	01:00	02:01	61	34929000		화장품/미용	74000	https://live.ecomm-data.com/report/hsshow/3337b9b3f421929b08d8b31756c74c1a	https://display.cjonstyle.com/p/item/2085520654
