channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
SK스토아	20260609	00:31	01:31	60	(건강동행 특집, 방송에서만 핸디선풍기)락토핏 코어맥스 16개월분 + 핸디 냉각선풍기 | 원산지 : 상품정보 참조	락토핏	(건강동행 특집, 방송에서만 핸디선풍기)락토핏 코어맥스 16개월분 + 핸디 냉각선풍기 | 원산지 : 상품정보 참조	복합	00:31	01:31	60	17919000		식품	99000	https://live.ecomm-data.com/report/hsshow/0fb4a3a3993601017bd895efe7622440	https://www.skstoa.com/display/goods/64046664
KT알파쇼핑	20260609	00:34	01:38	64	라이나생명_치아보험(상담형)	라이나생명	라이나생명_치아보험(상담형)	단순	00:34	01:38	64	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/0fb3454fbf39d31919b025f64ecdeccc	https://m.kshop.co.kr/display/product/8024333
신세계쇼핑	20260609	00:37	01:58	81	(방송에서만 1박스 더!) 위바이옴 두뇌엔 닥터PS 맥스 9+1박스(총 10박스, 10개월분)	위바이옴	(방송에서만 1박스 더!) 위바이옴 두뇌엔 닥터PS 맥스 9+1박스(총 10박스, 10개월분)	단순	00:37	01:58	81	31358000		식품	514000	https://live.ecomm-data.com/report/hsshow/ce05e587001d2571a888143040593750	https://www.shinsegaetvshopping.com/display/detail/1001329532
GS홈쇼핑 마이샵	20260609	00:38	01:39	61	유아굿 26SS 최신상 플라워 플리츠 상하의 셋업 6종 (티셔츠3종+반바지3종)	유아굿	유아굿 26SS 최신상 플라워 플리츠 상하의 셋업 6종 (티셔츠3종+반바지3종)	단순	00:38	01:39	61	26573400		패션의류	39900	https://live.ecomm-data.com/report/hsshow/9008914db9f796a8ddba98fba7046c06	https://www.gsshop.com/prd/prd.gs?prdid=1116603424&brddate=20260609003800&pgmID=12502&ordChannel=WE&tveshop=Y
현대홈쇼핑 플러스샵	20260609	00:40	01:00	20	[8박스] 뉴트리 정품 카무트® 브랜드밀 발효효소 8박스(총 240포) 	뉴트리	[8박스] 뉴트리 정품 카무트® 브랜드밀 발효효소 8박스(총 240포) 	단순	00:40	01:00	20	5630600		식품	59900	https://live.ecomm-data.com/report/hsshow/bbde07c52d59c54849623dd583e1b1c9	https://www.hmall.com/md/pda/itemPtc?slitmCd=2247822468
롯데원티비	20260609	00:40	02:00	80	[조르쥬 레쉬] ○26SS 레이스 자카드 집업 점퍼 3종	○26SS	[조르쥬 레쉬] ○26SS 레이스 자카드 집업 점퍼 3종	단순	00:40	02:00	80	14196300		패션의류	79900	https://live.ecomm-data.com/report/hsshow/e228cc3ec543293a6fbed71a498e96b8	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12892272
NS홈쇼핑 샵플러스	20260609	00:41	01:44	63	닥터조인의료기기1	닥터조인	닥터조인의료기기1	단순	00:41	01:44	63	5778000		생활/건강	54000	https://live.ecomm-data.com/report/hsshow/0ba015cf63dbbcc8cca97beac154f682	https://m.nsmall.com/goods/35916839
CJ온스타일 플러스	20260609	00:45	01:45	60	[50%SALE]콘드로이친 1200 콘레이티+MBP+K2 12개월분	콘드로이친	[50%SALE]콘드로이친 1200 콘레이티+MBP+K2 12개월분	단순	00:45	01:45	60	21492500		식품	164500	https://live.ecomm-data.com/report/hsshow/9330c0372a8b2364bc7b9c0347cc65a8	https://display.cjonstyle.com/p/item/2043440242
쇼핑엔티	20260609	00:52	01:52	60	벨리츠 26SS 남성 아이스 냉감 트랙수트	벨리츠	벨리츠 26SS 남성 아이스 냉감 트랙수트	단순	00:52	01:52	60	7432800		패션의류	48900	https://live.ecomm-data.com/report/hsshow/46e01db961fcb46a55e526084b287f32	https://www.shoppingntmall.com/display/goods/27966243
현대홈쇼핑	20260609	01:00	02:01	61	[1+1세트] 보랄 BLDC 무선 폴딩팬 3단높이조절 BR-Q100SF (유무선겸용)	보랄	[1+1세트] 보랄 BLDC 무선 폴딩팬 3단높이조절 BR-Q100SF (유무선겸용)	단순	01:00	02:01	61	14376000		디지털/가전	239000	https://live.ecomm-data.com/report/hsshow/2f26c61b738eb8ce2f7e5dc5a87d728a	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251110017
