channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
SK스토아	20260703	00:31	01:31	60	또걸려도또받는 간편한암보험(스텐냄비6종)	또걸려도또받는	또걸려도또받는 간편한암보험(스텐냄비6종)	단순	00:31	01:31	60	0	보험	여가/생활편의	0	https://www.skstoa.com/display/goods/63114975
쇼핑엔티	20260703	00:32	01:32	60	[방송에서만 동일상품 1개 더] 더창 볼륨핏 인모 가발 1+1 / 꼬리빗 세트	더창	[방송에서만 동일상품 1개 더] 더창 볼륨핏 인모 가발 1+1 / 꼬리빗 세트	단순	00:32	01:32	60	18354000	미용	화장품/미용	139000	https://www.shoppingntmall.com/display/goods/27147947
KT알파쇼핑	20260703	00:34	01:38	64	라라츄_헤어커버	라라츄	라라츄_헤어커버	단순	00:34	01:38	64	30761500	미용	화장품/미용	89900	https://m.kshop.co.kr/display/product/4100605
신세계쇼핑	20260703	00:37	01:38	61	[런칭가69,900→ 39,900] 모브온 면모달 반팔 티블라우스 5종	모브온	[런칭가69,900→ 39,900] 모브온 면모달 반팔 티블라우스 5종	단순	00:37	01:38	61	38024800	의류	패션의류	39900	https://www.shinsegaetvshopping.com/display/detail/20063486
롯데원티비	20260703	00:40	01:20	40	[린] RYN 26SS 여성 메쉬 썸머 쿨워킹화 1종 + 클로그 1종	RYN	[린] RYN 26SS 여성 메쉬 썸머 쿨워킹화 1종 + 클로그 1종	단순	00:40	01:20	40	4838000		패션잡화	59000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912790
현대홈쇼핑 플러스샵	20260703	00:40	01:40	60	(세일/19+6) 삼성 AI Q9000 에어컨 홈멀티형 [AF60F19D11GRT]	삼성	(세일/19+6) 삼성 AI Q9000 에어컨 홈멀티형 [AF60F19D11GRT]	단순	00:40	01:40	60	41281000		디지털/가전	2149000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2248932976
NS홈쇼핑 샵플러스	20260703	00:42	01:44	62	못난이사과1	애플진	못난이사과1	단순	00:42	01:44	62	22365200		식품	29900	https://m.nsmall.com/goods/35985417
CJ온스타일 플러스	20260703	00:45	01:45	60	스페인착즙주스1등 돈시몬 100%토마토주스 200ml*60팩	스페인착즙주스1등	스페인착즙주스1등 돈시몬 100%토마토주스 200ml*60팩	단순	00:45	01:45	60	17763900		식품	76900	https://display.cjonstyle.com/p/item/2076898109
NS홈쇼핑	20260703	00:55	01:01	6	보험 5부	AIA생명백세까지꼭필요한건강보험+	보험 5부	단순	00:55	01:01	6	0	보험	여가/생활편의	0	https://m.nsmall.com/goods/35902086
GS홈쇼핑 마이샵	20260703	00:58	01:39	41	[방송에서만] 넛세린 선스틱 상호검증 패키지 (선스틱5개+시카밤1개+시카패드1개 더)	넛세린	[방송에서만] 넛세린 선스틱 상호검증 패키지 (선스틱5개+시카밤1개+시카패드1개 더)	단순	00:58	01:39	41	12038000		화장품/미용	79000	https://www.gsshop.com/prd/prd.gs?prdid=1121327929&brddate=20260711153800&pgmID=13454&ordChannel=WE&tveshop=Y
공영쇼핑	20260703	01:00	02:00	60	[한돈 앞다리] 앞다리 순살 족발 8팩 + 별미 양념꼬리 2팩(총 10팩)	앞다리	[한돈 앞다리] 앞다리 순살 족발 8팩 + 별미 양념꼬리 2팩(총 10팩)	단순	01:00	02:00	60	27132000	일반식품	식품	39900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11936106
GS홈쇼핑	20260703	01:00	02:00	60	닥터파이토 덴티백 PRO 구강유산균 M18 7박스	닥터파이토	닥터파이토 덴티백 PRO 구강유산균 M18 7박스	단순	01:00	02:00	60	57938000	건강식품	식품	218000	https://www.gsshop.com/prd/prd.gs?prdid=1099052033&brddate=20260706163500&pgmID=13352&ordChannel=WE&tveshop=Y
홈앤쇼핑	20260703	01:00	02:00	60	(더블/파리여행컬렉션) 라 사본느리 드 니옹 클렌징바 20개+방송에서만 당나귀우유 2개 +쇼핑백 2개	라사본느리드니옹	(더블/파리여행컬렉션) 라 사본느리 드 니옹 클렌징바 20개+방송에서만 당나귀우유 2개 +쇼핑백 2개	단순	01:00	02:00	60	42532000	미용	화장품/미용	119000	http://www.hnsmall.com/display/goods.do?goods_code=80493530
NS홈쇼핑	20260703	01:00	02:01	61	히트상품 앵콜방송1부	히트상품	히트상품 앵콜방송1부	복합	01:00	02:01	61	26346500		식품	19900	https://m.nsmall.com/goods/34084816
현대홈쇼핑	20260703	01:00	01:50	50	머티리얼랩 26SS 이집트GIZA코튼 스트라이프 반팔 니트	머티리얼랩	머티리얼랩 26SS 이집트GIZA코튼 스트라이프 반팔 니트	단순	01:00	01:50	50	69966000	의류	패션의류	79000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249194208&preview=true
롯데홈쇼핑	20260703	01:00	02:00	60	[상시가 199,000원] ESCADA 26SS 여성 크로쉐 풀오버 + 나시 니트 2종	에스까다	[상시가 199,000원] ESCADA 26SS 여성 크로쉐 풀오버 + 나시 니트 2종	단순	01:00	02:00	60	29739000	의류	패션의류	199000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12901779
CJ온스타일	20260703	01:00	01:30	30	지유네추어탕	지유네추어탕	지유네추어탕	단순	01:00	01:30	30	6242400	일반식품	식품	45900	https://display.cjonstyle.com/p/item/2020734755?channelCode=30002002
롯데원티비	20260703	01:20	02:00	40	[오프로드] O 오프로드 26SS 여성 썸머 유틸리티 아노락 1종 + 셔켓 1종	오프로드	[오프로드] O 오프로드 26SS 여성 썸머 유틸리티 아노락 1종 + 셔켓 1종	단순	01:20	02:00	40	5226900		패션의류	39900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12901973
CJ온스타일	20260703	01:30	02:00	30	[최초가109,000원]카샤 린넨블랜디드 원피스	바니스뉴욕	[최초가109,000원]카샤 린넨블랜디드 원피스	단순	01:30	02:00	30	16611000	의류	패션의류	49000	https://display.cjonstyle.com/p/item/2056513339?channelCode=30002002
쇼핑엔티	20260703	01:31	02:31	60	종근당건강 헬씨칸 밀크씨슬 로얄 10개월분 + 2개월분 더!	종근당건강	종근당건강 헬씨칸 밀크씨슬 로얄 10개월분 + 2개월분 더!	단순	01:31	02:31	60	6188000	건강식품	식품	119000	https://www.shoppingntmall.com/display/goods/27972284
SK스토아	20260703	01:31	02:11	40	(시즌한정)헤드스파7 리페어듀얼앰플 트리트먼트 230ml 4개+쿨리프레시 230ml 2개+50ml 1개(체험분)	헤드스파7	(시즌한정)헤드스파7 리페어듀얼앰플 트리트먼트 230ml 4개+쿨리프레시 230ml 2개+50ml 1개(체험분)	단순	01:31	02:11	40	6607000	미용	화장품/미용	79000	https://www.skstoa.com/display/goods/63743181
