channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
GS홈쇼핑	20260705	00:05	01:05	60	[강릉] 호텔 위더스 2인 2박 / 객실 + 브런치 세트 2인 + 주중 12시 레이트 체크아웃 +인피니티풀 (7~9월)	호텔	[강릉] 호텔 위더스 2인 2박 / 객실 + 브런치 세트 2인 + 주중 12시 레이트 체크아웃 +인피니티풀 (7~9월)	단순	00:05	01:05	60	230366000	여행	여가/생활편의	169000	https://live.ecomm-data.com/report/hsshow/aa0c9a60d64dafda0f621a6917249190	https://www.gsshop.com/prd/prd.gs?prdid=1128973308&brddate=20260705000500&pgmID=12879&ordChannel=WE&tveshop=Y
NS홈쇼핑	20260705	00:15	00:36	21	보험 2부	에이플러스에셋X메리츠화재	보험 2부	단순	00:15	00:36	21	0	보험	여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/65133e63d02c1275ef4c5af0f4d9ba56	https://m.nsmall.com/goods/35960536
SK스토아	20260705	00:21	01:21	60	[방송에서만][패키지박스]유한양행 와이즈바이옴 케어 당큐락 9개월분+당큐락 플러스(소비기한 26년 11월까지) 1개월분 | 원산지 : 상품정보 참조	와이즈바이옴	[방송에서만][패키지박스]유한양행 와이즈바이옴 케어 당큐락 9개월분+당큐락 플러스(소비기한 26년 11월까지) 1개월분 | 원산지 : 상품정보 참조	단순	00:21	01:21	60	27296000	건강식품	식품	546000	https://live.ecomm-data.com/report/hsshow/7be88f8442ccda715d724aef56ebf440	https://www.skstoa.com/display/goods/65593200
신세계쇼핑	20260705	00:27	01:38	71	(방송에서만)[12개월분]주영엔에스 뼈엔 엠비피 MBP(30캡슐x12박스, 총 12개월분)+식물성 오메가3 2개월분 	주영엔에스	(방송에서만)[12개월분]주영엔에스 뼈엔 엠비피 MBP(30캡슐x12박스, 총 12개월분)+식물성 오메가3 2개월분 	단순	00:27	01:38	71	45028000	건강식품	식품	459000	https://live.ecomm-data.com/report/hsshow/9f5d934667b9fd22e751516ad07bd24a	https://www.shinsegaetvshopping.com/display/detail/20072547
현대홈쇼핑	20260705	00:30	01:20	50	(무)흥Good 든든한 3N5 간편종합보험(치료비+생활비플랜)	흥국화재	(무)흥Good 든든한 3N5 간편종합보험(치료비+생활비플랜)	단순	00:30	01:20	50	398546500	보험	여가/생활편의	1281500	https://live.ecomm-data.com/report/hsshow/a5061295a04f1f30709621382d68ef6f	https://www.hmall.com/md/pda/itemPtc?slitmCd=2248871590&preview=true
쇼핑엔티	20260705	00:32	01:32	60	[벨리츠] 26SS 여성 썸머 쿨 팬츠 4종	26SS	[벨리츠] 26SS 여성 썸머 쿨 팬츠 4종	단순	00:32	01:32	60	22053900	의류	패션의류	49900	https://live.ecomm-data.com/report/hsshow/ac97ef9515a5e52a8ea0c0b40971a741	https://www.shoppingntmall.com/display/goods/27966315
KT알파쇼핑	20260705	00:33	01:38	65	홀푸드_레몬즙	최신상!	홀푸드_레몬즙	단순	00:33	01:38	65	50688000	건강식품	식품	198000	https://live.ecomm-data.com/report/hsshow/d2404067cb0cb245a7da28f86a455dea	https://m.kshop.co.kr/display/product/8751517
NS홈쇼핑	20260705	00:35	00:56	21	보험 3부	에이플러스에셋X메리츠화재	보험 3부	단순	00:35	00:56	21	0	보험	여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/528de715838e3b78d6cb0a48a3afb078	https://m.nsmall.com/goods/35960536
GS홈쇼핑 마이샵	20260705	00:38	01:39	61	테이핑테크 슬개건 보호대 2세트	테이핑테크	테이핑테크 슬개건 보호대 2세트	단순	00:38	01:39	61	17120600		스포츠/레저	39800	https://live.ecomm-data.com/report/hsshow/b4857f43c3ea3e94929424adce299c46	https://www.gsshop.com/prd/prd.gs?prdid=1104374623&brddate=20260707033200&pgmID=6742&ordChannel=WE&tveshop=Y
롯데원티비	20260705	00:40	01:20	40	[방송에서만 50프로 세일]논나 카를로타 애플사이다비니거 500ml x8병	논나	[방송에서만 50프로 세일]논나 카를로타 애플사이다비니거 500ml x8병	단순	00:40	01:20	40	5033700		식품	79900	https://live.ecomm-data.com/report/hsshow/0cfd0045bee5171c901e9e1c38b723bc	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12872869
현대홈쇼핑 플러스샵	20260705	00:40	01:00	20	알파CD 원데이핏 알파시클로덱스트린 난소화성말토덱스트린 14포 6+6박스 총 168포	알파CD	알파CD 원데이핏 알파시클로덱스트린 난소화성말토덱스트린 14포 6+6박스 총 168포	단순	00:40	01:00	20	7250700		식품	54900	https://live.ecomm-data.com/report/hsshow/10ff6f76d2e227c38ca81b809e71fcf0	https://www.hmall.com/md/pda/itemPtc?slitmCd=2239438244
NS홈쇼핑 샵플러스	20260705	00:42	01:44	62	빈블랑행거1	빈블랑	빈블랑행거1	단순	00:42	01:44	62	10571600		생활/건강	98800	https://live.ecomm-data.com/report/hsshow/9a8250209b0414246be4fbed9a8a2b37	https://m.nsmall.com/goods/35965585
CJ온스타일 플러스	20260705	00:45	01:45	60	[매니아] 녹는실 리프팅 앰플 3박스	녹는실	[매니아] 녹는실 리프팅 앰플 3박스	단순	00:45	01:45	60	40026000		화장품/미용	199800	https://live.ecomm-data.com/report/hsshow/5c535f5a10e6068c7606ea6c2d922362	https://display.cjonstyle.com/p/item/2087628899
NS홈쇼핑	20260705	00:55	01:01	6	보험 4부	AIA생명백세까지꼭필요한건강보험+	보험 4부	단순	00:55	01:01	6	0	보험	여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/c0992024a1eea07b69008fdf4f57e8d4	https://m.nsmall.com/goods/35902086
공영쇼핑	20260705	01:00	01:35	35	고기담은 밥상 차돌박이 180g 10팩	고기담은	고기담은 밥상 차돌박이 180g 10팩	단순	01:00	01:35	35	27295300	일반식품	식품	49900	https://live.ecomm-data.com/report/hsshow/04c743c15602b78aaa661f8edf2a6ea3	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11933346
홈앤쇼핑	20260705	01:00	02:00	60	[상반기결산특집] [추가 뽑화9팩] 헬로키티  골드라벨 2팩 +썸머패키지 팝업6팩+키친타올 6팩+뽑아쓰는화장지9팩(직매입)	골드라벨	[상반기결산특집] [추가 뽑화9팩] 헬로키티  골드라벨 2팩 +썸머패키지 팝업6팩+키친타올 6팩+뽑아쓰는화장지9팩(직매입)	단순	01:00	02:00	60	59131500	잡화/주얼리	생활/건강	49900	https://live.ecomm-data.com/report/hsshow/55ecacec950677201d63cf0472bf480c	http://www.hnsmall.com/display/goods.do?goods_code=79541177
