channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
SK스토아	20260603	00:31	01:31	60	[방송에서만 30프로 세일]원데이 알파시클로덱스트린 알파CD18박스(3g*14포*18박스/252포) | 원산지 : 상품정보 참조	원데이	[방송에서만 30프로 세일]원데이 알파시클로덱스트린 알파CD18박스(3g*14포*18박스/252포) | 원산지 : 상품정보 참조	단순	00:31	01:31	60	33230400		식품	193200	https://live.ecomm-data.com/report/hsshow/cbfaaa40b9b5db65d6e5e4fa72cf7d8b	https://www.skstoa.com/display/goods/63304677
쇼핑엔티	20260603	00:32	01:32	60	[CalvinKlein] 캘빈클라인 26SS 시그니처 rib 슬리브리스 3종 + 티셔츠 1종, 여성	캘빈클라인	[CalvinKlein] 캘빈클라인 26SS 시그니처 rib 슬리브리스 3종 + 티셔츠 1종, 여성	단순	00:32	01:32	60	26154450		패션의류	65550	https://live.ecomm-data.com/report/hsshow/9393df2775638fa5174ef34a6ca9f47c	https://www.shoppingntmall.com/display/goods/27938583
신세계쇼핑	20260603	00:37	01:38	61	방송에서만) 보스티나 더 플러스 염색제 10개 + 앰플10매 + 무선고데기 1종	방송에서만)	방송에서만) 보스티나 더 플러스 염색제 10개 + 앰플10매 + 무선고데기 1종	복합	00:37	01:38	61	18515100		화장품/미용	79900	https://live.ecomm-data.com/report/hsshow/3efde684e4d2204dd71dad47aea6b1ff	https://www.shinsegaetvshopping.com/display/detail/20070356
GS홈쇼핑 마이샵	20260603	00:38	01:39	61	올레비다 냉압착 엑스트라버진 아보카도오일(250ml*6병)	올레비다	올레비다 냉압착 엑스트라버진 아보카도오일(250ml*6병)	단순	00:38	01:39	61	16332600		식품	48900	https://live.ecomm-data.com/report/hsshow/3097dbe643c01f976ad9a801b27febdc	https://www.gsshop.com/prd/prd.gs?prdid=1093390045&brddate=20260603003800&pgmID=6997&ordChannel=WE&tveshop=Y
현대홈쇼핑 플러스샵	20260603	00:40	01:40	60	[제스프리] 썬골드키위 점보 자이언트사이즈 총 3.2kg (21입 / 개당 155g 내외)	썬골드키위	[제스프리] 썬골드키위 점보 자이언트사이즈 총 3.2kg (21입 / 개당 155g 내외)	단순	00:40	01:40	60	22951000		식품	38900	https://live.ecomm-data.com/report/hsshow/13f7631de6f38801edd51f0e46f2b165	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250181139
롯데원티비	20260603	00:40	01:20	40	[LBL] ○(런칭가 79,900원)26SS AIRY 블라우스 3종	LBL	[LBL] ○(런칭가 79,900원)26SS AIRY 블라우스 3종	단순	00:40	01:20	40	17795400		패션의류	39900	https://live.ecomm-data.com/report/hsshow/6d389a756363510d64af2a6c7a97ee23	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12900829
KT알파쇼핑	20260603	00:40	01:43	63	데이즈온_알파씨디	데이즈온	데이즈온_알파씨디	단순	00:40	01:43	63	23763600		식품	192200	https://live.ecomm-data.com/report/hsshow/affd23f821d89c5dbe21aaecc960fb13	https://m.kshop.co.kr/display/product/7999044
NS홈쇼핑 샵플러스	20260603	00:42	01:43	61	임성근한우국밥1	조리기능장	임성근한우국밥1	단순	00:42	01:43	61	22103500		식품	39900	https://live.ecomm-data.com/report/hsshow/b350d0821641704827259f7dfd481678	https://m.nsmall.com/goods/35972558
CJ온스타일 플러스	20260603	00:45	01:45	60	셀리노바 인터벤션 듀오 4박스 4개월분 (앰플 7ml 10병+크림 45g 1통+전용오프너 1개) T	셀리노바	셀리노바 인터벤션 듀오 4박스 4개월분 (앰플 7ml 10병+크림 45g 1통+전용오프너 1개) T	단순	00:45	01:45	60	29300000		화장품/미용	398000	https://live.ecomm-data.com/report/hsshow/71420a7d7228934fbd45265afb7920e0	https://display.cjonstyle.com/p/item/2082476685
현대홈쇼핑	20260603	01:00	01:41	41	[U.S. POLO ASSN.] USPA 26SS 여성 코튼100 라운드 티셔츠 5종 (HUPS269205)	USPA	[U.S. POLO ASSN.] USPA 26SS 여성 코튼100 라운드 티셔츠 5종 (HUPS269205)	단순	01:00	01:41	41	45381700		스포츠/레저	59000	https://live.ecomm-data.com/report/hsshow/228f492225f5f347612791a695425f91	https://www.hmall.com/md/pda/itemPtc?slitmCd=2248887898
