channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
SK스토아	20260618	00:31	01:31	60	O또걸려도또받는 간편한암보험(리모컨써큘레이터)	O또걸려도또받는	O또걸려도또받는 간편한암보험(리모컨써큘레이터)	단순	00:31	01:31	60	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/3afcaec195fc83d9a8656bb3bc1ef547	https://www.skstoa.com/display/goods/63114974
쇼핑엔티	20260618	00:32	01:32	60	(방송에서만★핫딜가)르베라쥬 앰플 마스크 팩 100매 콜라겐60매+글루타치온40매 1장당398원꼴!	르베라쥬	(방송에서만★핫딜가)르베라쥬 앰플 마스크 팩 100매 콜라겐60매+글루타치온40매 1장당398원꼴!	단순	00:32	01:32	60	20149500		화장품/미용	38900	https://live.ecomm-data.com/report/hsshow/040e56f241f39425834b03b0128c26bb	https://www.shoppingntmall.com/display/goods/28133821
KT알파쇼핑	20260618	00:37	01:38	61	메이페어_밀폐용기	메이페어	메이페어_밀폐용기	단순	00:37	01:38	61	30349000		생활/건강	89000	https://live.ecomm-data.com/report/hsshow/7cd44bbda91e8fb8452269f28a05b679	https://m.kshop.co.kr/display/product/7228961
신세계쇼핑	20260618	00:37	01:58	81	100주년특집[방송중 9개월+1박스] 유한양행 당큐락 9개월분 + 당큐락플러스 1박스	100주년특집	100주년특집[방송중 9개월+1박스] 유한양행 당큐락 9개월분 + 당큐락플러스 1박스	복합	00:37	01:58	81	66091000		식품	546000	https://live.ecomm-data.com/report/hsshow/e39cae9d8492ba5dfcf4ed47df0c3bd9	https://www.shinsegaetvshopping.com/display/detail/20067708
GS홈쇼핑 마이샵	20260618	00:38	01:39	61	욕실의여왕 고체형 실내 탈취제 싱글세트 총 6개 (블랙체리향 2개 / 라벤더향 2개 / 클린코튼향 2개)	욕실의여왕	욕실의여왕 고체형 실내 탈취제 싱글세트 총 6개 (블랙체리향 2개 / 라벤더향 2개 / 클린코튼향 2개)	단순	00:38	01:39	61	24818500		생활/건강	55800	https://live.ecomm-data.com/report/hsshow/9d9ee955002596c4812e7d39b274c6c3	https://www.gsshop.com/prd/prd.gs?prdid=1101885918&brddate=20260623003800&pgmID=6742&ordChannel=WE&tveshop=Y
롯데원티비	20260618	00:40	01:20	40	[에린브리니에] SS 린넨 블렌디드 상하의 세트	SS	[에린브리니에] SS 린넨 블렌디드 상하의 세트	단순	00:40	01:20	40	10494900		패션의류	29900	https://live.ecomm-data.com/report/hsshow/8604d262dc0604d9ad1a69568f347721	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12907621
NS홈쇼핑 샵플러스	20260618	00:42	01:45	63	빈블랑이동식테이블1	빈블랑	빈블랑이동식테이블1	단순	00:42	01:45	63	11544000		가구/인테리어	104000	https://live.ecomm-data.com/report/hsshow/e7ece1382ce4f0ffd9f50fe54f06b94b	https://m.nsmall.com/goods/35504029
CJ온스타일 플러스	20260618	00:45	01:45	60	동국 마데카크림 대용량 특집구성(타이트리프팅70ml*3개+50ml*7개+무료체험분1ml*10개)	동국	동국 마데카크림 대용량 특집구성(타이트리프팅70ml*3개+50ml*7개+무료체험분1ml*10개)	단순	00:45	01:45	60	20601000		화장품/미용	98100	https://live.ecomm-data.com/report/hsshow/990b4cc7bf4f1d805f932b6364b025fe	https://display.cjonstyle.com/p/item/2084472925
홈앤쇼핑	20260618	01:00	02:00	60	[방송에서만][일동후디스 하이뮨 프로틴 밸런스 면역케어 12캔+스푼 2개+보틀 1개+면역알로에스틱 1박스	[일동후디스	[방송에서만][일동후디스 하이뮨 프로틴 밸런스 면역케어 12캔+스푼 2개+보틀 1개+면역알로에스틱 1박스	단순	01:00	02:00	60	22191000		식품	288000	https://live.ecomm-data.com/report/hsshow/18b89866adc078ced8220c88a090fa6d	http://www.hnsmall.com/display/goods.do?goods_code=80742735
롯데홈쇼핑	20260618	01:00	01:55	55	[와이즈바이옴] ☆혈당유산균☆[패밀리구성]유한양행 당큐락 9개월분(190mg*30캡슐*9개입)	☆혈당유산균☆	[와이즈바이옴] ☆혈당유산균☆[패밀리구성]유한양행 당큐락 9개월분(190mg*30캡슐*9개입)	단순	01:00	01:55	55	13718000		식품	526000	https://live.ecomm-data.com/report/hsshow/3abcc93245684be6262a089f2fccdc9d	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12866821
GS홈쇼핑	20260618	01:00	02:00	60	그레인온 골드카무트효소 10박스	그레인온	그레인온 골드카무트효소 10박스	단순	01:00	02:00	60	15494000		식품	315000	https://live.ecomm-data.com/report/hsshow/6b938d3c274c0d097bea816c5ee03106	https://www.gsshop.com/prd/prd.gs?prdid=1108732123&brddate=20260709033000&pgmID=9613&ordChannel=WE&tveshop=Y
공영쇼핑	20260618	01:00	01:55	55	에코쓱싹 회오리 청소기 1+1	에코쓱싹	에코쓱싹 회오리 청소기 1+1	단순	01:00	01:55	55	25836600		생활/건강	0	https://live.ecomm-data.com/report/hsshow/715f8a9e9404dc1af1ba0a26396a44be	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11924398
NS홈쇼핑	20260618	01:00	02:01	61	히트상품 앵콜방송1부	히트상품	히트상품 앵콜방송1부	복합	01:00	02:01	61	16689000		화장품/미용	119000	https://live.ecomm-data.com/report/hsshow/b1d35c028732cfa7bf3b61f777fb8eb1	https://m.nsmall.com/goods/35968656
CJ온스타일	20260618	01:00	01:30	30	썬크림 세트.	썬크림	썬크림 세트.	단순	01:00	01:30	30	4073200		화장품/미용	59900	https://live.ecomm-data.com/report/hsshow/bf0838c1b35d512b08176932096eaa2d	https://display.cjonstyle.com/p/item/2082917960
현대홈쇼핑	20260618	01:00	01:51	51	알레보 디엣지 플러스 유리 밥용기 1+1세트(12P)_방송에서만	알레보	알레보 디엣지 플러스 유리 밥용기 1+1세트(12P)_방송에서만	단순	01:00	01:51	51	51528900		생활/건강	59800	https://live.ecomm-data.com/report/hsshow/d023b62e2109a44fe8b3d32c952519c0	https://www.hmall.com/md/pda/itemPtc?slitmCd=2244486431
현대홈쇼핑 플러스샵	20260618	01:00	01:40	40	[무이자60개월][26년최신상] 삼성 AI Mini LED TV 85형 [KU85MH80AFXKR] (사은품 : 삼성 사운드바)	삼성	[무이자60개월][26년최신상] 삼성 AI Mini LED TV 85형 [KU85MH80AFXKR] (사은품 : 삼성 사운드바)	단순	01:00	01:40	40	8910000		디지털/가전	3490000	https://live.ecomm-data.com/report/hsshow/dff87b08e53167d4f8d51065e7219a8b	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250133802
롯데원티비	20260618	01:20	02:00	40	[3.1 필립림 스튜디오] ○ 26SS NEW 이집션 GIZA 코튼100 여성 티셔츠 3종	3.1	[3.1 필립림 스튜디오] ○ 26SS NEW 이집션 GIZA 코튼100 여성 티셔츠 3종	복합	01:20	02:00	40	3843000		패션의류	99000	https://live.ecomm-data.com/report/hsshow/df4cd60d09bbd81b0e00dd841fd3f2e3	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12891985
