channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
현대홈쇼핑 플러스샵	20260630	00:20	01:00	40	[인기][신애라PICK]/최신최고급]마이어 방수 텀블렌더(전용 스텐보냉텀블러 포함)	/최신최고급]마이어	[인기][신애라PICK]/최신최고급]마이어 방수 텀블렌더(전용 스텐보냉텀블러 포함)	단순	00:20	01:00	40	17195400		디지털/가전	69900	https://live.ecomm-data.com/report/hsshow/697c697fc7112630d0c0ec58ef154cc2	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250567129
SK스토아	20260630	00:31	01:31	60	옥과맛있는 배추포기김치 8kg | 원산지 : 상품정보 참조	옥과맛있는	옥과맛있는 배추포기김치 8kg | 원산지 : 상품정보 참조	단순	00:31	01:31	60	18983200	일반식품	식품	38900	https://live.ecomm-data.com/report/hsshow/8ef116e67708c4bae8f205f559fb8b2f	https://www.skstoa.com/display/goods/65539946
SK스토아	20260630	00:31	01:31	60	프리미엄 어묵 21개(어묵14종) + 소스1종 | 원산지 : 상품정보 참조	프리미엄	프리미엄 어묵 21개(어묵14종) + 소스1종 | 원산지 : 상품정보 참조	단순	00:31	01:31	60	8458800	일반식품	식품	40900	https://live.ecomm-data.com/report/hsshow/c4421522c35bc80b39c9491149938274	https://www.skstoa.com/display/goods/58105732
신세계쇼핑	20260630	00:37	01:38	61	6월 차맵 신차장기렌터카 무료비교견적 서비스	6월	6월 차맵 신차장기렌터카 무료비교견적 서비스	단순	00:37	01:38	61	0	일반렌탈	가구/인테리어	0	https://live.ecomm-data.com/report/hsshow/a45c4f043c070f0534fd161fb2b8a7b3	https://www.shinsegaetvshopping.com/display/detail/1001203336
GS홈쇼핑 마이샵	20260630	00:38	01:39	61	브이티 PDRN 진동 아이크림 더블구성 본품8 + 리필8 (총 16개 용량)+PDRN 토너+방송에서만 리뷰시 토너 한통더	브이티	브이티 PDRN 진동 아이크림 더블구성 본품8 + 리필8 (총 16개 용량)+PDRN 토너+방송에서만 리뷰시 토너 한통더	단순	00:38	01:39	61	12907000		화장품/미용	148000	https://live.ecomm-data.com/report/hsshow/e4f094c7441b96f88b5a08be4974da5b	https://www.gsshop.com/prd/prd.gs?prdid=1112267091&brddate=20260630003800&pgmID=6737&ordChannel=WE&tveshop=Y
KT알파쇼핑	20260630	00:39	01:43	64	라이나생명_치아보험(상담형)	라이나생명	라이나생명_치아보험(상담형)	단순	00:39	01:43	64	0	보험	여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/03afbea457b467e449f7b3a4f1fc62d4	https://m.kshop.co.kr/display/product/8024333
롯데원티비	20260630	00:40	01:20	40	[바이브리짓] ○ 26SS 시어 체크 셔츠 3종	바이브리짓	[바이브리짓] ○ 26SS 시어 체크 셔츠 3종	단순	00:40	01:20	40	12568300		패션의류	59900	https://live.ecomm-data.com/report/hsshow/04b8446e1f2c2f7f0ddfe37749667bd1	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12895563
NS홈쇼핑 샵플러스	20260630	00:42	01:43	61	해통령육수분말1	해통령	해통령육수분말1	단순	00:42	01:43	61	12275400		식품	49900	https://live.ecomm-data.com/report/hsshow/5eb6daf5de5c825c85e04dd63d986182	https://m.nsmall.com/goods/35659286
CJ온스타일 플러스	20260630	00:45	01:45	60	[최신상/2만원인하][U.S POLO ASSN.] 26SS 라이크라® 반팔 카라티 3종 남성	26SS	[최신상/2만원인하][U.S POLO ASSN.] 26SS 라이크라® 반팔 카라티 3종 남성	단순	00:45	01:45	60	21160900		패션의류	89000	https://live.ecomm-data.com/report/hsshow/7d249a998ff9ee728f1ca0b6b605db9e	https://display.cjonstyle.com/p/item/2079047994
쇼핑엔티	20260630	00:52	01:52	60	여름한정판★AGE20S 아이스에디션 에센스팩트 기본구성(본품2+리필3+메쉬백)SPF50+ PA++++	여름한정판★AGE20S	여름한정판★AGE20S 아이스에디션 에센스팩트 기본구성(본품2+리필3+메쉬백)SPF50+ PA++++	단순	00:52	01:52	60	7976700	미용	화장품/미용	99000	https://live.ecomm-data.com/report/hsshow/deff649746093d8945d816e5eae2345f	https://www.shoppingntmall.com/display/goods/28265046
NS홈쇼핑	20260630	01:00	02:01	61	히트상품 앵콜방송1부	히트상품	히트상품 앵콜방송1부	단순	01:00	02:01	61	25348200	일반식품	식품	29900	https://live.ecomm-data.com/report/hsshow/022d8f9b9152b7f9da56aef67f415de2	https://m.nsmall.com/goods/35927662
CJ온스타일	20260630	01:00	02:00	60	[최다 11개월] 프로 다이어트 유산균 9개월분+BNR17플러스60포	비에날씬	[최다 11개월] 프로 다이어트 유산균 9개월분+BNR17플러스60포	단순	01:00	02:00	60	35370000	건강식품	식품	548000	https://live.ecomm-data.com/report/hsshow/23e71a8b1f5eac4f930700b33aa18273	https://display.cjonstyle.com/p/item/2081410949?channelCode=30002002
