channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
NS홈쇼핑	20260622	00:15	00:36	21	보험 2부	에이플러스에셋X메리츠화재	보험 2부	단순	00:15	00:36	21	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/79d7421efe0c14c0a2a0b18d0e7c54ce	https://m.nsmall.com/goods/35960536
SK스토아	20260622	00:21	01:21	60	(방송에서만) 폴리코사놀5 18박스 (18개월분) | 원산지 : 상품정보 참조	폴리코사놀5	(방송에서만) 폴리코사놀5 18박스 (18개월분) | 원산지 : 상품정보 참조	단순	00:21	01:21	60	20066000		식품	499000	https://live.ecomm-data.com/report/hsshow/a7330bf85f4720233a589f91e09e6f56	https://www.skstoa.com/display/goods/62345689
신세계쇼핑	20260622	00:27	01:27	60	더블] 웰라쥬 시즌3 히알루론산 캡슐 151회분 앰플2병 구성 체험분 포함	더블]	더블] 웰라쥬 시즌3 히알루론산 캡슐 151회분 앰플2병 구성 체험분 포함	복합	00:27	01:27	60	110263000		화장품/미용	199000	https://live.ecomm-data.com/report/hsshow/7bb05191207a501eb128717e1bafc22f	https://www.shinsegaetvshopping.com/display/detail/20059656
쇼핑엔티	20260622	00:32	01:32	60	[원장님패키지] 재클린스타일 퍼펙트볼륨 대용량 170mlX6 + 방송에서만 대용량 1개 더! + 중용량 3종 2세트	재클린스타일	[원장님패키지] 재클린스타일 퍼펙트볼륨 대용량 170mlX6 + 방송에서만 대용량 1개 더! + 중용량 3종 2세트	단순	00:32	01:32	60	14216200		화장품/미용	99000	https://live.ecomm-data.com/report/hsshow/0d27903bbeb1b08eed3a68192cc2331c	https://www.shoppingntmall.com/display/goods/19955974
NS홈쇼핑	20260622	00:35	00:56	21	보험 3부	에이플러스에셋X메리츠화재	보험 3부	단순	00:35	00:56	21	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/2d41f2b0cc398817bfbc7bd0e5a088cc	https://m.nsmall.com/goods/35960536
GS홈쇼핑 마이샵	20260622	00:38	01:39	61	험머 26SS 남성 시어서커 셋업 3종	험머	험머 26SS 남성 시어서커 셋업 3종	단순	00:38	01:39	61	30385000		스포츠/레저	59000	https://live.ecomm-data.com/report/hsshow/343d6c7d1e12061191a2d622255b9f4b	https://www.gsshop.com/prd/prd.gs?prdid=1123919078&brddate=20260623035300&pgmID=12502&ordChannel=WE&tveshop=Y
롯데원티비	20260622	00:40	01:40	60	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	하나손보	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	단순	00:40	01:40	60	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/aca113df94aeaa0a7b42f917f0ec0938	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12908071
NS홈쇼핑 샵플러스	20260622	00:42	01:43	61	동국제약마스크팩1	동국제약마스크팩1	동국제약마스크팩1	복합	00:42	01:43	61	9610900		화장품/미용	80100	https://live.ecomm-data.com/report/hsshow/dbb2a6285dfc28474e0b37b633e5fb97	https://m.nsmall.com/goods/35887454
NS홈쇼핑	20260622	00:55	01:01	6	보험 4부	AIA생명백세까지꼭필요한건강보험+	보험 4부	단순	00:55	01:01	6	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/30463ac895795806c010d0ac33fd2ae3	https://m.nsmall.com/goods/35902086
CJ온스타일 플러스	20260622	00:55	01:55	60	25FW 에끌라 니팅 트위드 자켓	25FW	25FW 에끌라 니팅 트위드 자켓	복합	00:55	01:55	60	44926000		패션의류	49000	https://live.ecomm-data.com/report/hsshow/ce218ffc2c2a66a5762daf57df823860	https://display.cjonstyle.com/p/item/2061009301
