channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
GS홈쇼핑	20260607	00:05	02:00	115	아뜰리에마졸리 레이스 블룸 베스트 1종 [런칭 가격 79,900원]	아뜰리에마졸리	아뜰리에마졸리 레이스 블룸 베스트 1종 [런칭 가격 79,900원]	복합	00:05	02:00	115	405824700		패션의류	39900	https://live.ecomm-data.com/report/hsshow/3b06ff3030d52da9833063c4f21b6448	https://www.gsshop.com/prd/prd.gs?prdid=1075600524&brddate=20260607000500&pgmID=13438&ordChannel=WE&tveshop=Y
NS홈쇼핑	20260607	00:15	00:36	21	보험 2부	에이플러스에셋X메리츠화재	보험 2부	단순	00:15	00:36	21	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/98b8925b00ecba1bc7beea1811be16e0	https://m.nsmall.com/goods/35960536
현대홈쇼핑 플러스샵	20260607	00:20	01:00	40	[Feltics] 펠틱스 26 SUMMER 여성 시어서커 하프 셋업 3종 (F603W)	펠틱스	[Feltics] 펠틱스 26 SUMMER 여성 시어서커 하프 셋업 3종 (F603W)	단순	00:20	01:00	40	25895100		패션의류	39900	https://live.ecomm-data.com/report/hsshow/37f28c5afca409e7ddc3f0ec206b75ef	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249574482
SK스토아	20260607	00:21	01:21	60	(방송에서만 50프로세일)●골드 카무트효소 10박스 + 파로 280g X 3봉 + 파로효소캡슐레이션 1박스● | 원산지 : 상품정보 참조	●골드	(방송에서만 50프로세일)●골드 카무트효소 10박스 + 파로 280g X 3봉 + 파로효소캡슐레이션 1박스● | 원산지 : 상품정보 참조	단순	00:21	01:21	60	63700000		식품	175000	https://live.ecomm-data.com/report/hsshow/6ba7cbbe53fb8f552340c01befe87523	https://www.skstoa.com/display/goods/60449810
신세계쇼핑	20260607	00:27	01:28	61	[신세계단독] 게스(GUESS) 아스킨 드로즈 8종+ 티셔츠1종	게스	[신세계단독] 게스(GUESS) 아스킨 드로즈 8종+ 티셔츠1종	단순	00:27	01:28	61	34453000		패션의류	89000	https://live.ecomm-data.com/report/hsshow/8ad421d69a9f1b2b40eba09093fb8fa4	https://www.shinsegaetvshopping.com/display/detail/20071938
현대홈쇼핑	20260607	00:30	01:21	51	삼성화재 받고또받는 암진단/치료 9+1플랜 (건강보험 천만안심)	삼성화재	삼성화재 받고또받는 암진단/치료 9+1플랜 (건강보험 천만안심)	단순	00:30	01:21	51	421355200		여가/생활편의	1549100	https://live.ecomm-data.com/report/hsshow/db8caf1fa2569bb5b8edc63047041585	https://www.hmall.com/md/pda/itemPtc?slitmCd=2248512421
쇼핑엔티	20260607	00:32	01:32	60	벨리츠 26SS 남성 아이스 냉감 트랙수트	벨리츠	벨리츠 26SS 남성 아이스 냉감 트랙수트	단순	00:32	01:32	60	11344800		패션의류	48900	https://live.ecomm-data.com/report/hsshow/f98abbf1d9ecd3db3732d1e2d269e91a	https://www.shoppingntmall.com/display/goods/27966243
NS홈쇼핑	20260607	00:35	00:56	21	보험 3부	에이플러스에셋X메리츠화재	보험 3부	단순	00:35	00:56	21	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/8af2ddf6ecbb59bb13c9d920b4a88a33	https://m.nsmall.com/goods/35960536
GS홈쇼핑 마이샵	20260607	00:38	01:39	61	클럭 스트레칭 마사지기 울트라	클럭	클럭 스트레칭 마사지기 울트라	단순	00:38	01:39	61	27251000		디지털/가전	219000	https://live.ecomm-data.com/report/hsshow/fd9e2608e116e10a7b70782d9b43a162	https://www.gsshop.com/prd/prd.gs?prdid=1117357770&brddate=20260707233800&pgmID=6742&ordChannel=WE&tveshop=Y
KT알파쇼핑	20260607	00:39	01:43	64	메이페어_밀폐용기(가든온테이블)	메이페어	메이페어_밀폐용기(가든온테이블)	단순	00:39	01:43	64	49929000		생활/건강	89000	https://live.ecomm-data.com/report/hsshow/763d4ad4f48548d085f9a808d0ea1894	https://m.kshop.co.kr/display/product/8850487
