channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
SK스토아	20260625	00:31	01:31	60	O또걸려도또받는 간편한암보험(리모컨써큘레이터)	O또걸려도또받는	O또걸려도또받는 간편한암보험(리모컨써큘레이터)	단순	00:31	01:31	60	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/adcf80ca803650bf5142c7cf46f911a2	https://www.skstoa.com/display/goods/63114974
쇼핑엔티	20260625	00:32	01:32	60	닥터벨트 에어핏 척추견인 근육통완화 의료기기	닥터벨트	닥터벨트 에어핏 척추견인 근육통완화 의료기기	단순	00:32	01:32	60	26058000		디지털/가전	119000	https://live.ecomm-data.com/report/hsshow/0820f3d74988d5ad2a78ad58de180301	https://www.shoppingntmall.com/display/goods/24285359
KT알파쇼핑	20260625	00:34	01:38	64	종근당건강_알티지오메가3	종근당건강	종근당건강_알티지오메가3	단순	00:34	01:38	64	29370000		식품	177000	https://live.ecomm-data.com/report/hsshow/8a278fa4a0e1235c72bc72ff719489d7	https://m.kshop.co.kr/display/product/8848823
신세계쇼핑	20260625	00:37	01:38	61	(최신상/방송에서만 10박스 더!)[박소현 레몬즙][홀베리/30박스]홀베리 유기농 레몬즙 20+10박스 (총 300포)	홀베리	(최신상/방송에서만 10박스 더!)[박소현 레몬즙][홀베리/30박스]홀베리 유기농 레몬즙 20+10박스 (총 300포)	단순	00:37	01:38	61	26487000		식품	198000	https://live.ecomm-data.com/report/hsshow/8471d71af207a6cd39577344908768e1	https://www.shinsegaetvshopping.com/display/detail/1000193224
GS홈쇼핑 마이샵	20260625	00:38	01:39	61	[방송에서만] 넛세린 선스틱 상호검증 패키지 (선스틱5개+시카밤1개+시카패드1개 더)	넛세린	[방송에서만] 넛세린 선스틱 상호검증 패키지 (선스틱5개+시카밤1개+시카패드1개 더)	단순	00:38	01:39	61	18435000		화장품/미용	79000	https://live.ecomm-data.com/report/hsshow/c30508222a42fe3e1b2a2e92c0295d20	https://www.gsshop.com/prd/prd.gs?prdid=1121327929&brddate=20260711153800&pgmID=13454&ordChannel=WE&tveshop=Y
롯데원티비	20260625	00:40	01:20	40	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	하나손보	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	단순	00:40	01:20	40	0		생활/건강	0	https://live.ecomm-data.com/report/hsshow/59c3c95628048c6c6f9491aa01b03b2f	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12908071
현대홈쇼핑 플러스샵	20260625	00:40	01:00	20	[20분 특가] 한경희 핸디 스팀다리미 HHI-D410	한경희	[20분 특가] 한경희 핸디 스팀다리미 HHI-D410	단순	00:40	01:00	20	10693200		디지털/가전	39900	https://live.ecomm-data.com/report/hsshow/b6b23da7a3a870729e35f8c6d1dbaf40	https://www.hmall.com/md/pda/itemPtc?slitmCd=2248196671
NS홈쇼핑 샵플러스	20260625	00:42	02:01	79	더바론렌터카1	렌터카	더바론렌터카1	단순	00:42	02:01	79	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/bad88a07085d638c4d793cd09387546b	https://m.nsmall.com/goods/35657919
CJ온스타일 플러스	20260625	00:45	01:45	60	[2개세트]블랙+화이트 Play-X이어폰 /플레이엑스이어폰	블랙+화이트	[2개세트]블랙+화이트 Play-X이어폰 /플레이엑스이어폰	복합	00:45	01:45	60	17900900		디지털/가전	69800	https://live.ecomm-data.com/report/hsshow/ccebed999b7a240af1182d5902eaa255	https://display.cjonstyle.com/p/item/2087463612
NS홈쇼핑	20260625	00:50	00:56	6	보험 4부	하나손보	보험 4부	단순	00:50	00:56	6	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/ac5617bc320b8c2f09cae6227e8055e0	https://m.nsmall.com/goods/35920702
NS홈쇼핑	20260625	00:55	01:01	6	보험 5부	하나손보	보험 5부	단순	00:55	01:01	6	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/7ce761e304ef3b841d840aa809d6df89	https://m.nsmall.com/goods/35920702
현대홈쇼핑 플러스샵	20260625	01:00	01:40	40	김오곤 원장의 한방(Onepunch) 다이어트환 4+1박스(총10주분)	김오곤	김오곤 원장의 한방(Onepunch) 다이어트환 4+1박스(총10주분)	복합	01:00	01:40	40	7722000		식품	98000	https://live.ecomm-data.com/report/hsshow/18cbf1e118f966518138cd6681d52081	https://www.hmall.com/md/pda/itemPtc?slitmCd=2233363992
