channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
현대홈쇼핑 플러스샵	20260611	00:20	01:20	60	[방송에서만 1팩더] 제주 우도생땅콩 200g x 5봉	제주	[방송에서만 1팩더] 제주 우도생땅콩 200g x 5봉	단순	00:20	01:20	60	29291100		식품	59900	https://live.ecomm-data.com/report/hsshow/f7ea1efddc6ca886068f2c1a3c4ecb29	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251145247
SK스토아	20260611	00:31	01:31	60	첫날부터 암보험 (신세계상품권)	첫날부터	첫날부터 암보험 (신세계상품권)	단순	00:31	01:31	60	0		도서	0	https://live.ecomm-data.com/report/hsshow/b54260ca6e6e248088ac5aa1f4d5ea7f	https://www.skstoa.com/display/goods/63241041
쇼핑엔티	20260611	00:32	01:33	61	[단독구성] 왕쿠션 시즌3(본품2+리필3+비비2)	왕쿠션	[단독구성] 왕쿠션 시즌3(본품2+리필3+비비2)	단순	00:32	01:33	61	15915900		화장품/미용	68900	https://live.ecomm-data.com/report/hsshow/8d07a617ff9be33aece67c9dca2dcbcc	https://www.shoppingntmall.com/display/goods/28134214
신세계쇼핑	20260611	00:37	01:38	61	(최신상/방송에서만 10박스 더!)[박소현 레몬즙][홀베리/30박스]홀베리 유기농 레몬즙 20+10박스 (총 300포)	홀베리	(최신상/방송에서만 10박스 더!)[박소현 레몬즙][홀베리/30박스]홀베리 유기농 레몬즙 20+10박스 (총 300포)	단순	00:37	01:38	61	28149000		식품	198000	https://live.ecomm-data.com/report/hsshow/68301bc4af61df4fb71ca4ff58b7fe9b	https://www.shinsegaetvshopping.com/display/detail/1000193224
GS홈쇼핑 마이샵	20260611	00:38	01:39	61	살사랑 631 파운데이세럼 본품3+브러쉬+퍼프2	살사랑	살사랑 631 파운데이세럼 본품3+브러쉬+퍼프2	단순	00:38	01:39	61	15146600		화장품/미용	69800	https://live.ecomm-data.com/report/hsshow/f73b738ad05b2b1a893369220188b6b7	https://www.gsshop.com/prd/prd.gs?prdid=1080124315&brddate=20260611003800&pgmID=6737&ordChannel=WE&tveshop=Y
KT알파쇼핑	20260611	00:40	01:43	63	동아제약_검가드	검가드	동아제약_검가드	단순	00:40	01:43	63	11938700		생활/건강	58900	https://live.ecomm-data.com/report/hsshow/72eb89982895954fabbaf1859f343044	https://m.kshop.co.kr/display/product/9328099
롯데원티비	20260611	00:40	01:20	40	[디비손보] DB손해보험 나에게맞춘 플러스 간편건강보험_ONE	DB손해보험	[디비손보] DB손해보험 나에게맞춘 플러스 간편건강보험_ONE	단순	00:40	01:20	40	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/f317d215b00bf9f7f5f18ac0241773c6	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12903161
NS홈쇼핑 샵플러스	20260611	00:42	01:43	61	하나손해보험1	대용량블렌더_하나더스마트여성건강보험_박미선플랜_2605	하나손해보험1	단순	00:42	01:43	61	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/7f1af5053605b8c3f2cf97b95fa627c7	https://m.nsmall.com/goods/35990098
CJ온스타일 플러스	20260611	00:45	01:45	60	셀리노바 인터벤션 듀오 4박스 4개월분 (앰플 7ml 10병+크림 45g 1통+전용오프너 1개) T	셀리노바	셀리노바 인터벤션 듀오 4박스 4개월분 (앰플 7ml 10병+크림 45g 1통+전용오프너 1개) T	단순	00:45	01:45	60	29496000		화장품/미용	398000	https://live.ecomm-data.com/report/hsshow/ff85f393951c516aaec9fc795543b18f	https://display.cjonstyle.com/p/item/2082476685
현대홈쇼핑	20260611	01:00	01:41	41	[NU LINEN]누캐시미어 26SS 린넨블렌드 후드가디건 	누캐시미어	[NU LINEN]누캐시미어 26SS 린넨블렌드 후드가디건 	단순	01:00	01:41	41	60006000		패션의류	129000	https://live.ecomm-data.com/report/hsshow/31e6730ffe4b0447a6abe622a8fb16a7	https://www.hmall.com/md/pda/itemPtc?slitmCd=2248508057
공영쇼핑	20260611	01:00	02:00	60	저세상 직화 무뼈닭발5팩+귀한 특수부위 닭목살1팩(맛책임제 닭발1팩)	저세상	저세상 직화 무뼈닭발5팩+귀한 특수부위 닭목살1팩(맛책임제 닭발1팩)	단순	01:00	02:00	60	35028100		식품	0	https://live.ecomm-data.com/report/hsshow/4f2d752a7052c3066a521aae21737d1a	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11887884
롯데홈쇼핑	20260611	01:00	02:00	60	[홀베리] ★50프로세일★ [12박스]1일1레몬 유기농 레몬즙 20gx14포x12박스, 총168포	★50프로세일★	[홀베리] ★50프로세일★ [12박스]1일1레몬 유기농 레몬즙 20gx14포x12박스, 총168포	단순	01:00	02:00	60	22177800		식품	99900	https://live.ecomm-data.com/report/hsshow/5bf835dd44ef00cbbec8f89b7dda3bd3	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12909034
CJ온스타일	20260611	01:00	02:00	60	[초특] 아르티장 그린떡솝 120g 3개+50g 1개	아르티장	[초특] 아르티장 그린떡솝 120g 3개+50g 1개	단순	01:00	02:00	60	29191000		화장품/미용	74000	https://live.ecomm-data.com/report/hsshow/6c2b248ab9176a5a5fe69471e4640c7e	https://display.cjonstyle.com/p/item/2085520654
GS홈쇼핑	20260611	01:00	02:00	60	[1등급] LG QNED AI TV 65형 65QNED70BKA	LG	[1등급] LG QNED AI TV 65형 65QNED70BKA	단순	01:00	02:00	60	30340000		디지털/가전	2780000	https://live.ecomm-data.com/report/hsshow/7a3d8a13457aeb0578531856be13bdd7	https://www.gsshop.com/prd/prd.gs?prdid=1125510960&brddate=20260611010000&pgmID=6589&ordChannel=WE&tveshop=Y
NS홈쇼핑	20260611	01:00	02:01	61	히트상품 앵콜방송1부	대라천	히트상품 앵콜방송1부	단순	01:00	02:01	61	45972000		식품	597000	https://live.ecomm-data.com/report/hsshow/a3f6ca709df98590a07fb808ab248840	https://m.nsmall.com/goods/35965840
홈앤쇼핑	20260611	01:00	02:00	60	[빠른배송] 부케가르니 바디클렌저 7종 풀세트 (바디워시5+로션1+샤워타올1)	부케가르니	[빠른배송] 부케가르니 바디클렌저 7종 풀세트 (바디워시5+로션1+샤워타올1)	단순	01:00	02:00	60	23361000		화장품/미용	59900	https://live.ecomm-data.com/report/hsshow/adddb4ef7b981752ee1bfc616830f57b	http://www.hnsmall.com/display/goods.do?goods_code=77259605
현대홈쇼핑 플러스샵	20260611	01:20	02:20	60	[제스프리] 썬골드키위 점보 자이언트사이즈 총 3.2kg (21입 / 개당 155g 내외)	썬골드키위	[제스프리] 썬골드키위 점보 자이언트사이즈 총 3.2kg (21입 / 개당 155g 내외)	단순	01:20	02:20	60	11436600		식품	38900	https://live.ecomm-data.com/report/hsshow/5a7b3e32bb5776840cf2da7321504b2b	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250181139
롯데원티비	20260611	01:20	02:00	40	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	하나손보	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	단순	01:20	02:00	40	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/b88f82321d9e35ab5f67fbef90e35bd4	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12908071
SK스토아	20260611	01:31	02:11	40	(방송에서만)BLDC 컴팩트 파워 드라이기 1+1	BLDC	(방송에서만)BLDC 컴팩트 파워 드라이기 1+1	단순	01:31	02:11	40	1188000		화장품/미용	99000	https://live.ecomm-data.com/report/hsshow/13be514069c1761b8e3d34a82e707538	https://www.skstoa.com/display/goods/62776259
SK스토아	20260611	01:31	02:11	40	[믿쓰진]AGE20S 멜라닌샷 기미 커버 쿠션(본품*2+리필*2+앰플*1)	AGE20S	[믿쓰진]AGE20S 멜라닌샷 기미 커버 쿠션(본품*2+리필*2+앰플*1)	단순	01:31	02:11	40	2372000		화장품/미용	98000	https://live.ecomm-data.com/report/hsshow/7c6e015c4d7c4e6f0c705210a1c0d762	https://www.skstoa.com/display/goods/61780056
쇼핑엔티	20260611	01:32	02:32	60	[프리미엄]비버리힐즈폴로클럽 퓨어 코튼 반팔티셔츠 5종, 여성	비버리힐즈폴로클럽	[프리미엄]비버리힐즈폴로클럽 퓨어 코튼 반팔티셔츠 5종, 여성	단순	01:32	02:32	60	8168430		패션의류	66410	https://live.ecomm-data.com/report/hsshow/bb1e936ede347160114dea14e7a902b5	https://www.shoppingntmall.com/display/goods/27818478
신세계쇼핑	20260611	01:38	02:39	61	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	블루핏	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	단순	01:38	02:39	61	22997100		패션의류	69900	https://live.ecomm-data.com/report/hsshow/6006b199e271a8c32fe8fabf6393660b	https://www.shinsegaetvshopping.com/display/detail/20071369
GS홈쇼핑 마이샵	20260611	01:39	01:44	5	26summer 샤론느 풍기인견 팬티 10종 세트	26summer	26summer 샤론느 풍기인견 팬티 10종 세트	단순	01:39	01:44	5	99800		패션의류	49900	https://live.ecomm-data.com/report/hsshow/1bc6b721f650f8612df6154f099ca133	https://www.gsshop.com/prd/prd.gs?prdid=1114011562&brddate=20260715163800&pgmID=6753&ordChannel=WE&tveshop=Y
KT알파쇼핑	20260611	01:40	02:43	63	흥국화재_암보험(10억플랜)	흥국화재	흥국화재_암보험(10억플랜)	단순	01:40	02:43	63	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/90c094cbc9336f5078719b74dc164e31	https://m.kshop.co.kr/display/product/8705216
현대홈쇼핑	20260611	01:40	02:31	51	동양생명(무)우리WON하는실속플러스하나로암보험	동양생명	동양생명(무)우리WON하는실속플러스하나로암보험	단순	01:40	02:31	51	43770870		여가/생활편의	1122330	https://live.ecomm-data.com/report/hsshow/c118f16155be08f81adaa4d2f4371ed2	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250744876
NS홈쇼핑 샵플러스	20260611	01:42	02:01	19	홀랜드앤바렛멀티비타민1	에이비씨	홀랜드앤바렛멀티비타민1	단순	01:42	02:01	19	1991700		식품	99000	https://live.ecomm-data.com/report/hsshow/96316f5379ac367b287db18a3dd63869	https://m.nsmall.com/goods/35957563
GS홈쇼핑 마이샵	20260611	01:44	01:50	6	드루 26SS 이지스윙 셋업 3종SET 여성용	드루	드루 26SS 이지스윙 셋업 3종SET 여성용	단순	01:44	01:50	6	109000		패션의류	109000	https://live.ecomm-data.com/report/hsshow/a845aa3dfbe2ce01d9a8553c7ff597e9	https://www.gsshop.com/prd/prd.gs?prdid=1116218896&brddate=20260618025100&pgmID=12502&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260611	01:45	02:15	30	누디 보정 브라팬티 5세트	누디	누디 보정 브라팬티 5세트	단순	01:45	02:15	30	1868900		패션의류	169900	https://live.ecomm-data.com/report/hsshow/898fc7c993071ec6bf40c3bfcf3319ef	https://display.cjonstyle.com/p/item/2056205538
