channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category
홈앤쇼핑	20260706	09:25	10:25	60	[팬암] 26SS 여성 코튼 썸머 티셔츠 4종	팬암	[팬암] 26SS 여성 코튼 썸머 티셔츠 4종	단순	09:25	10:25	60	28743000	의류	패션의류
롯데홈쇼핑	20260706	09:25	10:25	60	[직] 헤이즈 양가죽 토트백	사만사타바사	[직] 헤이즈 양가죽 토트백	단순	09:25	10:25	60	281382000	잡화/주얼리	패션의류
현대홈쇼핑	20260706	09:25	10:26	61	대웅제약 이지듀 EGF 코어 이펙트 스칼프 패밀리패키지	이지듀	대웅제약 이지듀 EGF 코어 이펙트 스칼프 패밀리패키지	단순	09:25	10:26	61	239983200	미용	화장품/미용
GS홈쇼핑	20260706	09:25	10:25	60	노르딕슬립 콜드스토프 쿨매트 킹(K)	노르딕슬립	노르딕슬립 콜드스토프 쿨매트 킹(K)	단순	09:25	10:25	60	161666000	리빙/주방	생활/건강
SK스토아	20260706	09:31	10:31	60	(26SS 최신상) 1초쿨 선풍기조끼	1초쿨	(26SS 최신상) 1초쿨 선풍기조끼	단순	09:31	10:31	60	56880000	가전	생활/건강
신세계쇼핑	20260706	09:32	10:33	61	[더블] 모아도 리유저블 제습제 300g * 5개 + 600g * 2개	모아도	[더블] 모아도 리유저블 제습제 300g * 5개 + 600g * 2개	단순	09:32	10:33	61	101897800	일반식품	생활/건강
쇼핑엔티	20260706	09:35	10:35	60	도티 26SS 썸머 인견 데님 여성 2종 (D6B8W)	도티	도티 26SS 썸머 인견 데님 여성 2종 (D6B8W)	단순	09:35	10:35	60	126748800	의류	패션의류
KT알파쇼핑	20260706	09:36	10:38	62	안국약품_루테인아스타잔틴	아스타	안국약품_루테인아스타잔틴	단순	09:36	10:38	62	44551000	건강식품	식품
NS홈쇼핑	20260706	10:25	11:31	66	비에날씬프로	비에날씬	비에날씬프로	단순	10:25	11:31	66	155169000	건강식품	식품
현대홈쇼핑	20260706	10:25	11:36	71	[2026 단한번 선크림증정] 2026 최신상 AHC 아이크림 매니아구성	AHC	[2026 단한번 선크림증정] 2026 최신상 AHC 아이크림 매니아구성	단순	10:25	11:36	71	105629000	미용	화장품/미용
홈앤쇼핑	20260706	10:25	11:35	70	[2종세트]방송에서만손수건/로라애슐리 프리미엄 접이식 암막 양우산 (엘더우드+오드리)	로라애슐리	[2종세트]방송에서만손수건/로라애슐리 프리미엄 접이식 암막 양우산 (엘더우드+오드리)	단순	10:25	11:35	70	95640800	리빙/주방	생활/건강
GS홈쇼핑	20260706	10:25	11:35	70	프렌치쿼터 조이 나일론 크로스백	프렌치쿼터	프렌치쿼터 조이 나일론 크로스백	단순	10:25	11:35	70	135032000	잡화/주얼리	패션잡화
롯데홈쇼핑	20260706	10:25	11:35	70	[♥3X 한 박스 더♥]여에스더 리포좀 글루타치온 다이렉트 12X 알파 네트워크 12박스+여에스더 글루타치온 3X 1박스	에스더포뮬러	[♥3X 한 박스 더♥]여에스더 리포좀 글루타치온 다이렉트 12X 알파 네트워크 12박스+여에스더 글루타치온 3X 1박스	단순	10:25	11:35	70	57050000	건강식품	식품
공영쇼핑	20260706	10:25	11:35	70	강병원한우투뿔구이 130gx10팩	강병원한우투뿔구이	강병원한우투뿔구이 130gx10팩	단순	10:25	11:35	70	104360700	일반식품	식품
SK스토아	20260706	10:31	11:31	60	[AK앤클라인] 26SS 인견블라우스 3종	AK앤클라인	[AK앤클라인] 26SS 인견블라우스 3종	단순	10:31	11:31	60	85093500	의류	패션의류
신세계쇼핑	20260706	10:32	11:33	61	방송에서만] 클리오 올뉴 마그넷 팩트 본품 10g x 2개(레드,화이트 각1개) + 리필 10g x4개 상품평시 아이팔레트	클리오	방송에서만] 클리오 올뉴 마그넷 팩트 본품 10g x 2개(레드,화이트 각1개) + 리필 10g x4개 상품평시 아이팔레트	단순	10:32	11:33	61	74619000	미용	화장품/미용
쇼핑엔티	20260706	10:35	11:35	60	[쇼핑엔티 단독]지니라이프 듀얼 맥스 콘드로이친1200MBP 6+6박스	지니라이프	[쇼핑엔티 단독]지니라이프 듀얼 맥스 콘드로이친1200MBP 6+6박스	단순	10:35	11:35	60	33759000	건강식품	식품
KT알파쇼핑	20260706	10:36	11:38	62	물먹는뽀송_제습제	물먹는뽀송	물먹는뽀송_제습제	단순	10:36	11:38	62	51494500	리빙/주방	생활/건강
CJ온스타일	20260706	11:25	11:35	10	26년 햇 성주참외5kg	26년	26년 햇 성주참외5kg	단순	11:25	11:35	10	27986400	일반식품	식품
NS홈쇼핑	20260706	11:30	12:31	61	정성곳간갈비탕	정성곳간	정성곳간갈비탕	단순	11:30	12:31	61	149450500	일반식품	식품
SK스토아	20260706	11:31	12:31	60	[50프로 세일]프리파라 브루클린 트라이탄 밀폐용기 20종	프리파라	[50프로 세일]프리파라 브루클린 트라이탄 밀폐용기 20종	단순	11:31	12:31	60	85799000	리빙/주방	생활/건강
신세계쇼핑	20260706	11:32	12:33	61	라페어 코티지가든 팬티 14종	코티지	라페어 코티지가든 팬티 14종	단순	11:32	12:33	61	72718600	미용	패션의류
쇼핑엔티	20260706	11:34	12:34	60	[전고객 무선 고데기]보스티나 염색제 세트	보스티나	[전고객 무선 고데기]보스티나 염색제 세트	단순	11:34	12:34	60	22435920	미용	패션의류
GS홈쇼핑	20260706	11:35	12:35	60	뼈엔 엠비피 MBP 6개월분	엠비피	뼈엔 엠비피 MBP 6개월분	단순	11:35	12:35	60	240635000	건강식품	식품
CJ온스타일	20260706	11:35	12:35	60	[방송에서만][더블] BLDC팬 2개(BBF-BL12W BBF-BL12P BBF-BL12G)+보관가방2개	한일전기	[방송에서만][더블] BLDC팬 2개(BBF-BL12W BBF-BL12P BBF-BL12G)+보관가방2개	단순	11:35	12:35	60	58496000	가전	디지털/가전
롯데홈쇼핑	20260706	11:35	12:35	60	[프렌치메종] ★방송에서만★[SK+도트 SS]듀라론 쿨 냉감 패드 1장 + 도트화이트 냉감패드 SS 1장+  베개커버 2장	프렌치메종	[프렌치메종] ★방송에서만★[SK+도트 SS]듀라론 쿨 냉감 패드 1장 + 도트화이트 냉감패드 SS 1장+  베개커버 2장	단순	11:35	12:35	60	48070000	리빙/주방	가구/인테리어
현대홈쇼핑	20260706	11:35	12:36	61	라우라비아조티 26SS 썸머 울 블렌디드 랩가디건+탑 세트	라우라비아조띠	라우라비아조티 26SS 썸머 울 블렌디드 랩가디건+탑 세트	단순	11:35	12:36	61	214000000	의류	패션의류
홈앤쇼핑	20260706	11:35	12:40	65	[홀베리] 유기농 레몬자몽즙 20박스(280포)	홀베리	[홀베리] 유기농 레몬자몽즙 20박스(280포)	단순	11:35	12:40	65	35343000	건강식품	식품
공영쇼핑	20260706	11:35	12:40	65	[해양수산부 지정명인] 이금선 명인의 가자미식해 350g x 6통	이금선	[해양수산부 지정명인] 이금선 명인의 가자미식해 350g x 6통	복합	11:35	12:40	65	82689900		식품
KT알파쇼핑	20260706	11:37	12:38	61	(수정샵)키스해링_니트+데님	키스해링	(수정샵)키스해링_니트+데님	단순	11:37	12:38	61	107767800	의류	패션의류
NS홈쇼핑	20260706	12:30	13:27	57	이경제흑염소진액 2부	이경제	이경제흑염소진액 2부	단순	12:30	13:27	57	59314000	건강식품	식품
SK스토아	20260706	12:31	13:31	60	★방송에서만★ [14일 무료체험][시즌3] 이지드롭 최다구성패키지(3년치구성) - 변기크리너 2개+리필(향 4종)168회분	★방송에서만★	★방송에서만★ [14일 무료체험][시즌3] 이지드롭 최다구성패키지(3년치구성) - 변기크리너 2개+리필(향 4종)168회분	단순	12:31	13:31	60	31162200	미용	생활/건강
신세계쇼핑	20260706	12:33	13:34	61	[최대특집]끌레드벨 파워 리프팅팩 최대용량찬스 ⓝ	끌레드벨	[최대특집]끌레드벨 파워 리프팅팩 최대용량찬스 ⓝ	단순	12:33	13:34	61	55188300	미용	화장품/미용
쇼핑엔티	20260706	12:34	13:35	61	26SS AK앤클라인 NC 썸머 볼륨 블라우스 3종	AK앤클라인	26SS AK앤클라인 NC 썸머 볼륨 블라우스 3종	단순	12:34	13:35	61	55809000	의류	패션의류
CJ온스타일	20260706	12:35	13:35	60	26SS ZEROFEEL 쿨링 자카드 레이스 브라팬티 4세트	26SS	26SS ZEROFEEL 쿨링 자카드 레이스 브라팬티 4세트	단순	12:35	13:35	60	151515200		패션의류
롯데홈쇼핑	20260706	12:35	13:35	60	[가이거] 이태리 말가죽 피아노(PIANO)로퍼	가이거	[가이거] 이태리 말가죽 피아노(PIANO)로퍼	단순	12:35	13:35	60	104832000	잡화/주얼리	패션잡화
현대홈쇼핑	20260706	12:35	13:36	61	동양생명(무)우리WON하는실속플러스하나로암보험	동양생명	동양생명(무)우리WON하는실속플러스하나로암보험	단순	12:35	13:36	61	216108000	보험	여가/생활편의
GS홈쇼핑	20260706	12:35	13:25	50	[패밀리구성]프로메가 알티지오메가3 비타민D 12박스+4박스+아보카도오일	프로메가	[패밀리구성]프로메가 알티지오메가3 비타민D 12박스+4박스+아보카도오일	단순	12:35	13:25	50	50488000	건강식품	식품
KT알파쇼핑	20260706	12:37	13:19	42	새미보이트_자켓+탑+팬츠(26SS)	새미보이트	새미보이트_자켓+탑+팬츠(26SS)	단순	12:37	13:19	42	44373000	의류	패션의류
공영쇼핑	20260706	12:40	13:40	60	고기담은밥상 연탄석쇠불고기 180g x 8팩 (간장맛4팩+고추장맛4팩)	고기담은밥상	고기담은밥상 연탄석쇠불고기 180g x 8팩 (간장맛4팩+고추장맛4팩)	단순	12:40	13:40	60	71132100	일반식품	식품
홈앤쇼핑	20260706	12:40	13:30	50	[방송에서만/최초 트래블백] 수려한 효 녹용 기초세트 썸머바캉스패키지 (녹용6+화윤6종+보스턴백1)	수려한	[방송에서만/최초 트래블백] 수려한 효 녹용 기초세트 썸머바캉스패키지 (녹용6+화윤6종+보스턴백1)	단순	12:40	13:30	50	40656000	미용	화장품/미용
KT알파쇼핑	20260706	13:17	13:39	22	새미보이트_자켓+탑+팬츠(26SS)	새미보이트	새미보이트_자켓+탑+팬츠(26SS)	단순	13:17	13:39	22	34440000	의류	패션의류
GS홈쇼핑	20260706	13:25	13:36	11	네츄럴오가닉 라벤더 제습제 80종(제습제 40개+옷걸이 40개)	네츄럴오가닉	네츄럴오가닉 라벤더 제습제 80종(제습제 40개+옷걸이 40개)	단순	13:25	13:36	11	10129400	리빙/주방	생활/건강
NS홈쇼핑	20260706	13:25	13:47	22	보험	하나더퍼스트3N5건강보험+(7분이상	보험	단순	13:25	13:47	22	0	보험	여가/생활편의
홈앤쇼핑	20260706	13:30	14:20	50	[최저가][에끌라뜨]26SS 인견 블렌디드 니트 3종	26SS	[최저가][에끌라뜨]26SS 인견 블렌디드 니트 3종	단순	13:30	14:20	50	44261300	의류	패션의류
SK스토아	20260706	13:31	14:31	60	[방송에서만]다이어트 유산균 9박스+프로틴 14포+텀블러1개+보랄 LED 무드등 날개없는 선풍기 | 원산지 : 상품정보 참조	다이어트	[방송에서만]다이어트 유산균 9박스+프로틴 14포+텀블러1개+보랄 LED 무드등 날개없는 선풍기 | 원산지 : 상품정보 참조	단순	13:31	14:31	60	55173000	건강식품	식품
신세계쇼핑	20260706	13:33	14:34	61	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	블루핏	[론칭가 79,900원→1만원↓] 블루핏 NEW 시어니트 가디건 3종	단순	13:33	14:34	61	84928500	의류	패션의류
쇼핑엔티	20260706	13:34	14:34	60	[단독/히트상품]26SS 벨리츠 여성 올데이 인견 파자마 팬츠4종	26SS	[단독/히트상품]26SS 벨리츠 여성 올데이 인견 파자마 팬츠4종	단순	13:34	14:34	60	43131900	언더웨어	패션의류
롯데홈쇼핑	20260706	13:35	14:35	60	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜	하나손해보험	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜	단순	13:35	14:35	60	0	보험	생활/건강
CJ온스타일	20260706	13:35	14:35	60	[최초공개패키지] D.N.A.에센스 (100g*4병+50g*2병+리뷰)	라비앙	[최초공개패키지] D.N.A.에센스 (100g*4병+50g*2병+리뷰)	단순	13:35	14:35	60	45610000	미용	화장품/미용
GS홈쇼핑	20260706	13:35	14:35	60	[상담만 받아도 특별한 혜택] 나에게맞춘플러스간편건강보험(하이클래스암)	나에게맞춘플러스간편건강보험	[상담만 받아도 특별한 혜택] 나에게맞춘플러스간편건강보험(하이클래스암)	단순	13:35	14:35	60	0	보험	
현대홈쇼핑	20260706	13:35	14:31	56	[현대단독] 패밀리세트 비에날씬 프로 12박스+비에날퀸 1박스+비에날씬 플러스 1박스	에이스바이옴	[현대단독] 패밀리세트 비에날씬 프로 12박스+비에날퀸 1박스+비에날씬 플러스 1박스	단순	13:35	14:31	56	138351000	건강식품	식품
KT알파쇼핑	20260706	13:37	14:38	61	한일_서큘레이터(유선)	한일	한일_서큘레이터(유선)	단순	13:37	14:38	61	54472000	가전	디지털/가전
공영쇼핑	20260706	13:40	14:45	65	★농협 라이블리 한우 특 꼬리곰탕 800g*8팩★	★농협	★농협 라이블리 한우 특 꼬리곰탕 800g*8팩★	복합	13:40	14:45	65	90953400		식품
NS홈쇼핑	20260706	13:45	14:07	22	보험 2부	하나더퍼스트3N5건강보험+(7분이상	보험 2부	단순	13:45	14:07	22	0	보험	여가/생활편의
NS홈쇼핑	20260706	14:05	14:26	21	보험 3부	하나더퍼스트3N5건강보험+(7분이상	보험 3부	단순	14:05	14:26	21	0	보험	여가/생활편의
홈앤쇼핑	20260706	14:20	15:10	50	[방송에서만이가격][6팩/10%적립] [런드림] 캡슐세제  (25개입 x 6팩)	[런드림]	[방송에서만이가격][6팩/10%적립] [런드림] 캡슐세제  (25개입 x 6팩)	복합	14:20	15:10	50	85329100		생활/건강
NS홈쇼핑	20260706	14:25	15:27	62	정성가득ABC주스	정성가득	정성가득ABC주스	단순	14:25	15:27	62	62550000	일반식품	식품
현대홈쇼핑	20260706	14:30	15:21	51	[총 30L] 나에노 럭스클린 라일락 세탁세제 8통+섬유유연제 2통	나에노	[총 30L] 나에노 럭스클린 라일락 세탁세제 8통+섬유유연제 2통	단순	14:30	15:21	51	42736200	리빙/주방	생활/건강
SK스토아	20260706	14:31	15:31	60	(방송에서만 아보카도오일 2병 더) 락토핏 맥스19 유산균 20개월분+1개월분 더 (21개월분)+아보카도오일 2병 | 원산지 : 상품정보 참조	락토핏	(방송에서만 아보카도오일 2병 더) 락토핏 맥스19 유산균 20개월분+1개월분 더 (21개월분)+아보카도오일 2병 | 원산지 : 상품정보 참조	단순	14:31	15:31	60	27648000	건강식품	식품
신세계쇼핑	20260706	14:33	15:35	62	26SS 트렉스타스포츠 여성 올인원 세트 (3종+파우치)	트렉스타스포츠	26SS 트렉스타스포츠 여성 올인원 세트 (3종+파우치)	단순	14:33	15:35	62	76528200	의류	패션의류
쇼핑엔티	20260706	14:34	15:34	60	[벨리츠] 26SS 여성 썸머 쿨 팬츠 4종	26SS	[벨리츠] 26SS 여성 썸머 쿨 팬츠 4종	단순	14:34	15:34	60	36528300	의류	패션의류
GS홈쇼핑	20260706	14:35	15:35	60	쿠쿠 블랙스톤 전기압력밥솥 풀스텐 6인용 CRP-R0695FGW/FGB/R0625FBB	쿠쿠	쿠쿠 블랙스톤 전기압력밥솥 풀스텐 6인용 CRP-R0695FGW/FGB/R0625FBB	단순	14:35	15:35	60	134356000	가전	디지털/가전
CJ온스타일	20260706	14:35	15:30	55	[방송중 상담만 받아도 혜택]신한 라이프 케어받는 암보험	신한라이프	[방송중 상담만 받아도 혜택]신한 라이프 케어받는 암보험	단순	14:35	15:30	55	0	보험	여가/생활편의
롯데홈쇼핑	20260706	14:35	14:40	5	[300초] 올스텐 가위&집게 세트 (가위 2종 (L+M)+집게 1종)	풀블랭크	[300초] 올스텐 가위&집게 세트 (가위 2종 (L+M)+집게 1종)	단순	14:35	14:40	5	3767400	리빙/주방	생활/건강
KT알파쇼핑	20260706	14:37	15:38	61	휴롬_착즙기	휴롬	휴롬_착즙기	단순	14:37	15:38	61	75349000	가전	디지털/가전
롯데홈쇼핑	20260706	14:40	16:30	110	[바이브리짓X슈퍼띵스] 26SS 썸머 그래픽 티셔츠 4종 	바이브리짓	[바이브리짓X슈퍼띵스] 26SS 썸머 그래픽 티셔츠 4종 	단순	14:40	16:30	110	178127900	의류	패션의류
공영쇼핑	20260706	14:45	15:40	55	[바네사리찌]크레오라 아트 티블라우스 5종 	바네사리찌	[바네사리찌]크레오라 아트 티블라우스 5종 	단순	14:45	15:40	55	103540500	의류	패션의류
홈앤쇼핑	20260706	15:10	15:54	44	[주왕산]달인김치 10kg	주왕산	[주왕산]달인김치 10kg	단순	15:10	15:54	44	77366100	일반식품	식품
현대홈쇼핑	20260706	15:20	16:11	51	[냉감패드 증정] 예다함 상조서비스 다함 1호	더케이예다함	[냉감패드 증정] 예다함 상조서비스 다함 1호	단순	15:20	16:11	51	1847580000	일반렌탈	여가/생활편의
NS홈쇼핑	20260706	15:25	16:22	57	꽃게장	국내산	꽃게장	단순	15:25	16:22	57	155837700	일반식품	식품
CJ온스타일	20260706	15:30	16:30	60	폴리코사놀5 30정 18박스	레이델	폴리코사놀5 30정 18박스	단순	15:30	16:30	60	63216000	건강식품	식품
SK스토아	20260706	15:31	16:31	60	(최대용량)(방송에서만)에코센스 히트락 올트라이탄 밀폐용기 14종	에코센스	(최대용량)(방송에서만)에코센스 히트락 올트라이탄 밀폐용기 14종	단순	15:31	16:31	60	88977000	리빙/주방	생활/건강
쇼핑엔티	20260706	15:33	16:34	61	(세일) 최고급 헤르젠 쌀냉장고AICARE+ 21kg	헤르젠	(세일) 최고급 헤르젠 쌀냉장고AICARE+ 21kg	단순	15:33	16:34	61	40736000	가전	디지털/가전
신세계쇼핑	20260706	15:34	16:35	61	1002486566 DB운전자 한문철의 초기대응플랜-IH저압냄비(0506.정)	1002486566	1002486566 DB운전자 한문철의 초기대응플랜-IH저압냄비(0506.정)	단순	15:34	16:35	61	0	일반식품	생활/건강
GS홈쇼핑	20260706	15:35	16:35	60	실크테라피 NEW 열 강화 헤어밀크 GS단독 슬림패키지	실크테라피	실크테라피 NEW 열 강화 헤어밀크 GS단독 슬림패키지	단순	15:35	16:35	60	79601600	미용	화장품/미용
KT알파쇼핑	20260706	15:38	16:43	65	아크로패스_주름패치	김하진	아크로패스_주름패치	단순	15:38	16:43	65	36276000	리빙/주방	화장품/미용
공영쇼핑	20260706	15:40	16:40	60	[4박스]하루약콩 THE 진한 서목태 두유	하루약콩	[4박스]하루약콩 THE 진한 서목태 두유	복합	15:40	16:40	60	61801200		식품
홈앤쇼핑	20260706	16:00	16:50	50	[산지직송] 완도 섬전복 대왕특大사이즈(130g ~ 150g) 총 1.5kg 이상	완도	[산지직송] 완도 섬전복 대왕특大사이즈(130g ~ 150g) 총 1.5kg 이상	단순	16:00	16:50	50	64864300	일반식품	식품
현대홈쇼핑	20260706	16:10	17:01	51	[7월단한번구성] 종근당건강 락토핏 당케어프로 12+4개월+저당밥솥	종근당건강	[7월단한번구성] 종근당건강 락토핏 당케어프로 12+4개월+저당밥솥	단순	16:10	17:01	51	31340000	건강식품	식품
NS홈쇼핑	20260706	16:20	17:12	52	목우촌훈제오리	목우촌	목우촌훈제오리	단순	16:20	17:12	52	70176720	일반식품	식품
롯데홈쇼핑	20260706	16:30	17:35	65	[청호나이스] 청호나이스 정수기 렌탈 상담예약	청호나이스	[청호나이스] 청호나이스 정수기 렌탈 상담예약	단순	16:30	17:35	65	0	일반렌탈	디지털/가전
CJ온스타일	20260706	16:30	17:30	60	[CJ단독]올반 유황먹인 냉장닭 영양삼계탕 900g 8팩	신세계푸드	[CJ단독]올반 유황먹인 냉장닭 영양삼계탕 900g 8팩	단순	16:30	17:30	60	123809700	일반식품	식품
SK스토아	20260706	16:31	17:31	60	(이번달단하루)실크테라피 3D 볼류마이징 에센스150ml 4개+60ml 3개(체험분1개포함)+트리트먼트 100ml 1개	실크테라피	(이번달단하루)실크테라피 3D 볼류마이징 에센스150ml 4개+60ml 3개(체험분1개포함)+트리트먼트 100ml 1개	단순	16:31	17:31	60	44581000	미용	화장품/미용
SK스토아	20260706	16:31	17:31	60	[믿쓰진][최대 용량]단백질 앰플 믿쓰진 패키지(35ml*6+10ml*2+무체*1+리프트볼*1+미스트 80ml*1)	실크테라피	[믿쓰진][최대 용량]단백질 앰플 믿쓰진 패키지(35ml*6+10ml*2+무체*1+리프트볼*1+미스트 80ml*1)	단순	16:31	17:31	60	7951000	미용	화장품/미용
쇼핑엔티	20260706	16:33	17:33	60	(방송에서만 1팩 더) 정호영셰프의 기운센 민물장어구이 150g x 7팩+1팩 / 총8팩	정호영셰프	(방송에서만 1팩 더) 정호영셰프의 기운센 민물장어구이 150g x 7팩+1팩 / 총8팩	단순	16:33	17:33	60	69843400	일반식품	식품
신세계쇼핑	20260706	16:34	17:35	61	(K 50％세일) 닥터린 콘드로이친 1200 + MBP +K2 (30정X12박스)	닥터린	(K 50％세일) 닥터린 콘드로이친 1200 + MBP +K2 (30정X12박스)	단순	16:34	17:35	61	90415500	건강식품	식품
GS홈쇼핑	20260706	16:35	17:35	60	닥터파이토 덴티백 PRO 구강유산균 M18 14박스	닥터파이토	닥터파이토 덴티백 PRO 구강유산균 M18 14박스	단순	16:35	17:35	60	104710000	건강식품	식품
KT알파쇼핑	20260706	16:38	17:43	65	김하진_김치	김하진	김하진_김치	단순	16:38	17:43	65	47355100	리빙/주방	화장품/미용
공영쇼핑	20260706	16:40	17:40	60	[리센느] 인견포켓포인트반바지4종	리센느	[리센느] 인견포켓포인트반바지4종	단순	16:40	17:40	60	177247200	의류	패션의류
홈앤쇼핑	20260706	16:50	17:40	50	[소개][LG가전+상품권 결합] 보람상조피플 스마트299	보람상조피플	[소개][LG가전+상품권 결합] 보람상조피플 스마트299	단순	16:50	17:40	50	0	가전	디지털/가전
현대홈쇼핑	20260706	17:00	18:31	91	[방송에서만 1팩더] 제주 우도생땅콩 200g x 5봉	제주바람뜰	제주 우도생땅콩 x 5봉	복합	17:00	18:30	90	209530200	일반식품	식품
현대홈쇼핑	20260706	17:00	18:31	91	[방송에서만 1팩더] 제주 우도생땅콩 200g x 5봉	김가연	돈까스 19팩	복합	17:00	18:30	90	0	일반식품	식품
NS홈쇼핑	20260706	17:10	17:52	42	청연담식혜	청연담식혜	청연담식혜	복합	17:10	17:52	42	22995900		식품
CJ온스타일	20260706	17:30	18:30	60	이혜정의 포기김치 8kg + 총각김치2kg + 깻잎김치 500g	빅마마	이혜정의 포기김치 8kg + 총각김치2kg + 깻잎김치 500g	단순	17:30	18:30	60	176731800	일반식품	식품
SK스토아	20260706	17:31	18:31	60	26SS 여성 썸머 인견 와이드 크롭 팬츠 3종	26SS	26SS 여성 썸머 인견 와이드 크롭 팬츠 3종	단순	17:31	18:31	60	20628300	의류	패션의류
SK스토아	20260706	17:31	18:31	60	26SS 여성 썸머 트리코트 쿨링 팬츠 4종	26SS	26SS 여성 썸머 트리코트 쿨링 팬츠 4종	단순	17:31	18:31	60	54119000	의류	패션의류
쇼핑엔티	20260706	17:32	18:33	61	[요리연구가 이보은의 선택!] 사대부집곳간 녹두삼계탕 1.2kg × 8팩 (총 9.6kg)	사대부집곳간	[요리연구가 이보은의 선택!] 사대부집곳간 녹두삼계탕 1.2kg × 8팩 (총 9.6kg)	단순	17:32	18:33	61	69590400	일반식품	식품
신세계쇼핑	20260706	17:34	18:36	62	[효돈농협]프리미엄 제주 하우스 감귤 특등급 2.3kg (2s-m 사이즈)	제주가마당	[효돈농협]프리미엄 제주 하우스 감귤 특등급 2.3kg (2s-m 사이즈)	단순	17:34	18:36	62	48811500	일반식품	식품
신세계쇼핑	20260706	17:34	18:36	62	(방송에서만 3팩더) 제주가마당 손질 특대 고등어 130g x 13팩+3팩, 총 16팩	제주가마당	(방송에서만 3팩더) 제주가마당 손질 특대 고등어 130g x 13팩+3팩, 총 16팩	단순	17:34	18:36	62	33585900	일반식품	식품
GS홈쇼핑	20260706	17:35	18:35	60	FILA 26SS 신상 라디온 경량 썸머운동화 여성용	FILA	FILA 26SS 신상 라디온 경량 썸머운동화 여성용	단순	17:35	18:35	60	276734100	의류	스포츠/레저
롯데홈쇼핑	20260706	17:35	18:35	60	[사미헌] (방송에서만) 사미헌 갈비탕 1kg 5팩 + 만능육수 800g 1팩 (총 5.8kg)	사미헌	[사미헌] (방송에서만) 사미헌 갈비탕 1kg 5팩 + 만능육수 800g 1팩 (총 5.8kg)	단순	17:35	18:35	60	66557400	일반식품	식품
KT알파쇼핑	20260706	17:38	18:43	65	윤정수_우삼겹	윤정수_우삼겹	윤정수_우삼겹	복합	17:38	18:43	65	32740300		식품
홈앤쇼핑	20260706	17:40	18:40	60	[9년연속 1등 선스틱]방송에서만 AHC 마스터즈 에어 리치 선스틱 (더블)	AHC	[9년연속 1등 선스틱]방송에서만 AHC 마스터즈 에어 리치 선스틱 (더블)	단순	17:40	18:40	60	54089000	미용	화장품/미용
공영쇼핑	20260706	17:40	18:40	60	간이 딱! 손질 고등어 400g(2미1팩)×9팩, 총18미	간이	간이 딱! 손질 고등어 400g(2미1팩)×9팩, 총18미	복합	17:40	18:40	60	90612900		식품
NS홈쇼핑	20260706	17:50	18:32	42	국내산순살굴비	가시제거	국내산순살굴비	단순	17:50	18:32	42	74014500	일반식품	생활/건강
CJ온스타일	20260706	18:30	19:35	65	[슈퍼히어로] 스페셜 견과 루비에디션 4+2박스 (120봉)	오하루 자연가득	[슈퍼히어로] 스페셜 견과 루비에디션 4+2박스 (120봉)	단순	18:30	19:35	65	258439000	일반식품	식품
현대홈쇼핑	20260706	18:30	19:31	61	(무)흥Good 든든한 3N5 간편종합보험(치료비+생활비플랜)	흥국화재	(무)흥Good 든든한 3N5 간편종합보험(치료비+생활비플랜)	단순	18:30	19:31	61	662535500	보험	여가/생활편의
NS홈쇼핑	20260706	18:30	19:31	61	해통령육수명장	해통령육수명장	해통령육수명장	복합	18:30	19:31	61	92660630		식품
SK스토아	20260706	18:31	19:31	60	★상반기역대최대혜택!★2026 NEW 아이콘 정수기3_오늘 결제0원	2026	★상반기역대최대혜택!★2026 NEW 아이콘 정수기3_오늘 결제0원	단순	18:31	19:31	60	0	미용	여가/생활편의
SK스토아	20260706	18:31	19:31	60	울트라 컴포트 5부팬츠 3종 (남성)	2026	울트라 컴포트 5부팬츠 3종 (남성)	단순	18:31	19:31	60	13425100	미용	여가/생활편의
쇼핑엔티	20260706	18:32	19:33	61	슈리오 소가죽 에스닉 키높이 샌들 	슈리오	슈리오 소가죽 에스닉 키높이 샌들 	단순	18:32	19:33	61	39886000	잡화/주얼리	패션잡화
롯데홈쇼핑	20260706	18:35	19:35	60	[메리츠화재] 메리츠화재 받고 또 받는 암보험	메리츠화재	[메리츠화재] 메리츠화재 받고 또 받는 암보험	단순	18:35	19:35	60	0	보험	도서
GS홈쇼핑	20260706	18:35	19:35	60	비트 캡슐세제 몬스터팟 10X 삶음파워 유칼립투스러쉬 25입 용기 1개 + 25입 파우치 4개 + 5입 2개 + 아이깨끗해 용기1(+리필2)	아이깨끗해	비트 캡슐세제 몬스터팟 10X 삶음파워 유칼립투스러쉬 25입 용기 1개 + 25입 파우치 4개 + 5입 2개 + 아이깨끗해 용기1(+리필2)	단순	18:35	19:35	60	220890600	리빙/주방	생활/건강
신세계쇼핑	20260706	18:35	19:36	61	(방송에서만) 스위스알파인클럽 프라임 트윈 에어베드 싱글+싱글	스위스알파인클럽	(방송에서만) 스위스알파인클럽 프라임 트윈 에어베드 싱글+싱글	단순	18:35	19:36	61	108376000	리빙/주방	스포츠/레저
