channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category
현대홈쇼핑	20260706	02:40	03:11	31	[UPING] 26SS 여성 티셔츠 패키지 3종	유핑	[UPING] 26SS 여성 티셔츠 패키지 3종	단순	02:40	03:11	31	11825200	의류	패션의류
CJ온스타일	20260706	02:45	03:15	30	[최초가 299,000원]프라이 헤리티지 이태리직수입 누벅 호보백	프라이(FRYE)	[최초가 299,000원]프라이 헤리티지 이태리직수입 누벅 호보백	단순	02:45	03:15	30	11063000	잡화/주얼리	패션잡화
공영쇼핑	20260706	02:50	03:20	30	[리뉴얼] 레드플러스청양구기자17통+스푼5개_R	레드플러스청양구기자17통+스푼5개_R	[리뉴얼] 레드플러스청양구기자17통+스푼5개_R	단순	02:50	03:20	30	1738000	건강식품	식품
KT알파쇼핑	20260706	03:00	04:03	63	엘렌실라_아이브로우	엘렌실라	엘렌실라_아이브로우	단순	03:00	04:03	63	11253900	미용	화장품/미용
홈앤쇼핑	20260706	03:00	03:20	20	[포니] 26SS 벨크로 스트랩 썸머 스니커즈	26SS	[포니] 26SS 벨크로 스트랩 썸머 스니커즈	단순	03:00	03:20	20	1853800	잡화/주얼리	패션잡화
현대홈쇼핑	20260706	03:10	03:31	21	[최신상] 로보락 Qrevo Edge 2 로봇청소기	로보락	[최신상] 로보락 Qrevo Edge 2 로봇청소기	단순	03:10	03:31	21	1690000	가전	디지털/가전
GS홈쇼핑	20260706	03:10	03:41	31	쏘울 25FW 핸드메이드 알파카 케이프 코트[런칭 가격239,900원]	쏘울	쏘울 25FW 핸드메이드 알파카 케이프 코트[런칭 가격239,900원]	단순	03:10	03:41	31	17688200	의류	패션의류
CJ온스타일	20260706	03:15	03:30	15	26SS 퓨어셀얀 리조트 롱가디건	르네디피	26SS 퓨어셀얀 리조트 롱가디건	단순	03:15	03:30	15	2097900	의류	패션의류
홈앤쇼핑	20260706	03:20	03:50	30	[그레인온]골드 파로효소 캡슐레이션 12박스	그레인온	[그레인온]골드 파로효소 캡슐레이션 12박스	단순	03:20	03:50	30	1672000	건강식품	식품
NS홈쇼핑	20260706	03:20	04:01	41	히트상품 앵콜방송3부	히트상품	히트상품 앵콜방송3부	복합	03:20	04:01	41	5804700		식품
공영쇼핑	20260706	03:20	03:51	31	★인기상품★ 스칸디노티아 케틀팟 1.5L+2L	스칸디노티아	★인기상품★ 스칸디노티아 케틀팟 1.5L+2L	단순	03:20	03:51	31	7323200	리빙/주방	생활/건강
CJ온스타일	20260706	03:30	04:00	30	[FRYE]프라이 26SS 이태리직수입 토스카나 백팩 숄더백	프라이(FRYE)	[FRYE]프라이 26SS 이태리직수입 토스카나 백팩 숄더백	단순	03:30	04:00	30	3591000	잡화/주얼리	패션잡화
롯데홈쇼핑	20260706	03:30	04:00	30	[란체티] 란체티 26SS 남성 여름 아이스큐브 쿨 카라티셔츠 3종	란체티	[란체티] 란체티 26SS 남성 여름 아이스큐브 쿨 카라티셔츠 3종	단순	03:30	04:00	30	2940400	의류	패션의류
현대홈쇼핑	20260706	03:30	04:21	51	디아루체 26SS 썸머 인견 100% 니트탑 4종	디아루체	디아루체 26SS 썸머 인견 100% 니트탑 4종	단순	03:30	04:21	51	46290500	의류	패션의류
SK스토아	20260706	03:31	03:51	20	●골드 카무트효소 12박스 + 파로 280g X 3봉 더!● | 원산지 : 상품정보 참조	카무트	●골드 카무트효소 12박스 + 파로 280g X 3봉 더!● | 원산지 : 상품정보 참조	단순	03:31	03:51	20	1188000	건강식품	식품
쇼핑엔티	20260706	03:37	03:57	20	안국약품 토비콤 루테인 지아잔틴 아스타잔틴 12개월분	토비콤	안국약품 토비콤 루테인 지아잔틴 아스타잔틴 12개월분	단순	03:37	03:57	20	0	건강식품	식품
신세계쇼핑	20260706	03:39	03:59	20	리즐온 아보카도 엑스트라버진 오일 9병	리즐온	리즐온 아보카도 엑스트라버진 오일 9병	단순	03:39	03:59	20	890000	일반식품	식품
GS홈쇼핑	20260706	03:40	04:00	20	베라왕 벨라 BELLA 라운드 컬러변색 선글라스 VW536 (+방송중 크로스백 증정)	베라왕	베라왕 벨라 BELLA 라운드 컬러변색 선글라스 VW536 (+방송중 크로스백 증정)	단순	03:40	04:00	20	2277000	잡화/주얼리	패션잡화
홈앤쇼핑	20260706	03:50	04:55	65	[로만손]루미에르스퀘어 세라믹 스톤크라운 DIA	루미에르스퀘어	[로만손]루미에르스퀘어 세라믹 스톤크라운 DIA	복합	03:50	04:55	65	27109000		패션잡화
SK스토아	20260706	03:51	04:11	20	[24주분]시서스 필 다이어트 6박스(850mg*28정*6박스) | 원산지 : 상품정보 참조	시서스	[24주분]시서스 필 다이어트 6박스(850mg*28정*6박스) | 원산지 : 상품정보 참조	단순	03:51	04:11	20	0	건강식품	식품
SK스토아	20260706	03:51	04:11	20	유기농 엑스트라버진 올리브오일 피쿠알 14박스 | 원산지 : 상품정보 참조	유기농	유기농 엑스트라버진 올리브오일 피쿠알 14박스 | 원산지 : 상품정보 참조	단순	03:51	04:11	20	277000	건강식품	식품
쇼핑엔티	20260706	03:57	04:18	21	팔레오 콘드로이친 PLUS MBP 10박스(10개월분)	팔레오	팔레오 콘드로이친 PLUS MBP 10박스(10개월분)	단순	03:57	04:18	21	712000	건강식품	식품
신세계쇼핑	20260706	03:59	04:20	21	[유지인pick!] 미녀의 콜라겐 양태반 360포 (2.5g x 30포 x 12Box)(직)	미녀의	[유지인pick!] 미녀의 콜라겐 양태반 360포 (2.5g x 30포 x 12Box)(직)	단순	03:59	04:20	21	792000	건강식품	식품
CJ온스타일	20260706	04:00	05:00	60	(최신상)아치나인Arch-9 Flux기능성 슬리퍼_블랙	아치나인	(최신상)아치나인Arch-9 Flux기능성 슬리퍼_블랙	단순	04:00	05:00	60	24158600	잡화/주얼리	패션잡화
GS홈쇼핑	20260706	04:00	04:30	30	스테파넬 울알파카 핸드메이드 롱코트[런칭 가격249,900원]	스테파넬	스테파넬 울알파카 핸드메이드 롱코트[런칭 가격249,900원]	단순	04:00	04:30	30	19090200	의류	패션의류
NS홈쇼핑	20260706	04:00	05:01	61	히트상품 앵콜방송4부	히트상품	히트상품 앵콜방송4부	복합	04:00	05:01	61	20760300		식품
롯데홈쇼핑	20260706	04:00	04:35	35	[상시가 199,000원] ESCADA 26SS 여성 크로쉐 풀오버 + 나시 니트 2종	에스까다	[상시가 199,000원] ESCADA 26SS 여성 크로쉐 풀오버 + 나시 니트 2종	단순	04:00	04:35	35	4278000	의류	패션의류
KT알파쇼핑	20260706	04:03	04:38	35	블라우풍트_오픈핏이어폰	블라우풍트	블라우풍트_오픈핏이어폰	단순	04:03	04:38	35	1424000	가전	디지털/가전
공영쇼핑	20260706	04:10	05:00	50	[SK] 메리엔느 아이스쿨 냉감패드 2장세트 (리프) ★초특가 세일방송 열대야 특집★	메리엔느	[SK] 메리엔느 아이스쿨 냉감패드 2장세트 (리프) ★초특가 세일방송 열대야 특집★	단순	04:10	05:00	50	19480500	리빙/주방	가구/인테리어
SK스토아	20260706	04:11	04:51	40	[BEST]헤드스파7 헤어 볼륨스타일러 레드 에디션 더블 패키지 +(방송에서만)헤어마스카라	헤드스파7	[BEST]헤드스파7 헤어 볼륨스타일러 레드 에디션 더블 패키지 +(방송에서만)헤어마스카라	단순	04:11	04:51	40	11996000	가전	화장품/미용
쇼핑엔티	20260706	04:17	04:38	21	안국약품 토비콤 루테인 지아잔틴 12개월분	토비콤	안국약품 토비콤 루테인 지아잔틴 12개월분	단순	04:17	04:38	21	774000	건강식품	식품
신세계쇼핑	20260706	04:19	04:30	11	[방송에서만] 앱솔리 또또뻥 국내산 현미 8봉 + 호라산밀앤파로 8봉	앱솔리	[방송에서만] 앱솔리 또또뻥 국내산 현미 8봉 + 호라산밀앤파로 8봉	복합	04:19	04:30	11	718200		식품
현대홈쇼핑	20260706	04:20	04:51	31	[로라파커] 소가죽 스퀘어 크로스백	로라파커	[로라파커] 소가죽 스퀘어 크로스백	단순	04:20	04:51	31	22250200	잡화/주얼리	패션잡화
GS홈쇼핑	20260706	04:30	05:30	60	아크메 SILVER 999.9 실버바 500g+(방송 중)포나인 실버 코인 4종	아크메	아크메 SILVER 999.9 실버바 500g+(방송 중)포나인 실버 코인 4종	단순	04:30	05:30	60	48712000	잡화/주얼리	패션잡화
신세계쇼핑	20260706	04:30	05:31	61	[유지인pick♥] 미녀의석류콜라겐 200포 (25g x 25포 x 8Box)	미녀의석류콜라겐	[유지인pick♥] 미녀의석류콜라겐 200포 (25g x 25포 x 8Box)	단순	04:30	05:31	61	25308000	일반식품	식품
KT알파쇼핑	20260706	04:34	05:37	63	메이페어_밀폐용기	메이페어	메이페어_밀폐용기	단순	04:34	05:37	63	29726000	리빙/주방	생활/건강
롯데홈쇼핑	20260706	04:35	05:15	40	[네메르] 26SS 퓨어 울100 시스루 니트		네메르	[네메르] 26SS 퓨어 울100 시스루 니트		단순	04:35	05:15	40	3555000	의류	패션의류
쇼핑엔티	20260706	04:37	05:37	60	[50％세일] 닥터린 콘드로이친1200 콘레이티+MBP 12개월분	닥터린	[50％세일] 닥터린 콘드로이친1200 콘레이티+MBP 12개월분	단순	04:37	05:37	60	10861000	건강식품	식품
현대홈쇼핑	20260706	04:50	05:21	31	[라라쎄] 26 SS 아사면 100% 플레어 원피스 2종	라라쎄	[라라쎄] 26 SS 아사면 100% 플레어 원피스 2종	단순	04:50	05:21	31	50196200	의류	패션의류
SK스토아	20260706	04:51	05:31	40	(방송에서만)코리아나 더블랙 옴므 기획세트(스킨토너1병+에멀젼1병+(체험)스킨토너1개+에멀젼1개)각 2세트+스킨토너1병+에멀젼1병+클렌징폼1개+쇼핑백2장	코리아나	(방송에서만)코리아나 더블랙 옴므 기획세트(스킨토너1병+에멀젼1병+(체험)스킨토너1개+에멀젼1개)각 2세트+스킨토너1병+에멀젼1병+클렌징폼1개+쇼핑백2장	단순	04:51	05:31	40	6066700	미용	화장품/미용
홈앤쇼핑	20260706	04:55	06:00	65	[2026 NEW] TAF 무선 헤어스타일러	2026	[2026 NEW] TAF 무선 헤어스타일러	단순	04:55	06:00	65	40875000	가전	화장품/미용
NS홈쇼핑	20260706	05:00	05:21	21	테팔후라이팬	테팔	테팔후라이팬	단순	05:00	05:21	21	3887000	리빙/주방	생활/건강
공영쇼핑	20260706	05:00	06:00	60	뉴몬스터팡팡 청소기 1+1세트	몬스터	뉴몬스터팡팡 청소기 1+1세트	단순	05:00	06:00	60	37010900	가전	생활/건강
CJ온스타일	20260706	05:00	06:00	60	26SS 테잎사 V넥 돌먼 루즈핏 니트 3종	M12	26SS 테잎사 V넥 돌먼 루즈핏 니트 3종	단순	05:00	06:00	60	128334000	의류	패션의류
롯데홈쇼핑	20260706	05:15	06:15	60	[뉴트리코어] ○방송에서만[12+6개월]뉴트리코어 하이퍼셀 코엔자임 Q10 맥스 18박스(1박스:1,000mgX30캡슐	뉴트리코어	[뉴트리코어] ○방송에서만[12+6개월]뉴트리코어 하이퍼셀 코엔자임 Q10 맥스 18박스(1박스:1,000mgX30캡슐	단순	05:15	06:15	60	21432000	건강식품	식품
NS홈쇼핑	20260706	05:20	06:26	66	이경제흑염소진액	이경제	이경제흑염소진액	단순	05:20	06:26	66	49037000	건강식품	식품
현대홈쇼핑	20260706	05:20	06:16	56	[크레송] 프렌치 인견 썸머니트 3종 	크레송	프렌치 인견 썸머니트	복합	05:20	06:15	55	119455700	의류	패션의류
현대홈쇼핑	20260706	05:20	06:16	56	[크레송] 프렌치 인견 썸머니트 3종 	엘르	엘르 썸머 스티치 배색 나일론 팬츠	복합	05:20	06:15	55	0	의류	패션의류
GS홈쇼핑	20260706	05:30	06:01	31	중)더젓갈솔더젓갈 솔잎 동백하젓 1kg 3통, 총3kg	중)더젓갈솔더젓갈	중)더젓갈솔더젓갈 솔잎 동백하젓 1kg 3통, 총3kg	단순	05:30	06:01	31	12301200	일반식품	식품
신세계쇼핑	20260706	05:30	06:31	61	26SS 조아하다 인견 브라탑 4종(런닝형)	26SS	26SS 조아하다 인견 브라탑 4종(런닝형)	복합	05:30	06:31	61	53243300		패션의류
SK스토아	20260706	05:31	06:31	60	(방송에서만세일)LG생활건강 죽염 명약원 치약 120g 11개 + (방송에서만)40g 1개 + 잇몸칫솔 1개	LG생활건강	(방송에서만세일)LG생활건강 죽염 명약원 치약 120g 11개 + (방송에서만)40g 1개 + 잇몸칫솔 1개	단순	05:31	06:31	60	42897000	리빙/주방	화장품/미용
KT알파쇼핑	20260706	05:35	06:38	63	보넬드_아이엠당근	보넬드	보넬드_아이엠당근	단순	05:35	06:38	63	42768000	건강식품	식품
쇼핑엔티	20260706	05:36	06:37	61	(50만원 세일)예가 안전가드 서랍형 흙침대 카우치	예가	(50만원 세일)예가 안전가드 서랍형 흙침대 카우치	단순	05:36	06:37	61	46298000	리빙/주방	가구/인테리어
GS홈쇼핑	20260706	06:00	07:15	75	(무)흥국생명다사랑암보험	흥국생명	(무)흥국생명다사랑암보험	단순	06:00	07:15	75	0	보험	
홈앤쇼핑	20260706	06:00	07:15	75	관절엔 콘드로이친 1200 12박스 (12개월분)	관절엔 콘드로이친	관절엔 콘드로이친 1200 12박스 (12개월분)	단순	06:00	07:15	75	78714000	건강식품	식품
CJ온스타일	20260706	06:00	07:15	75	비리빙 허니콤 시스템 압축파우치 3개 (방송에서만 1개 추가구성)	비리빙	비리빙 허니콤 시스템 압축파우치 3개 (방송에서만 1개 추가구성)	단순	06:00	07:15	75	110135000	리빙/주방	생활/건강
공영쇼핑	20260706	06:00	07:15	75	AGK 전동강판 ★일명 전동맷돌★	AGK	AGK 전동강판 ★일명 전동맷돌★	단순	06:00	07:15	75	94102900	가전	생활/건강
롯데홈쇼핑	20260706	06:15	07:15	60	[뉴트리코어] ☆방송에서만[6박스+샴푸4통]뉴트리코어 헤어그릭스 케라넷 (310 mg X 28캡슐 X 6박스) + 샴푸 4통	뉴트리코어	[뉴트리코어] ☆방송에서만[6박스+샴푸4통]뉴트리코어 헤어그릭스 케라넷 (310 mg X 28캡슐 X 6박스) + 샴푸 4통	단순	06:15	07:15	60	21174000	건강식품	식품
현대홈쇼핑	20260706	06:15	07:16	61	(총 13박스) 뉴트리원 카무트®브랜드밀효소 골드 S_12박스 + 1박스	뉴트리원	(총 13박스) 뉴트리원 카무트®브랜드밀효소 골드 S_12박스 + 1박스	단순	06:15	07:16	61	73043000	건강식품	식품
NS홈쇼핑	20260706	06:25	07:26	61	이롬황성주생식	황성주	이롬황성주생식	단순	06:25	07:26	61	129640000	건강식품	식품
신세계쇼핑	20260706	06:30	07:32	62	(신세계 단독기획) 26썸머 플리츠미 보타니컬 자수 블라우스 	플리츠미	(신세계 단독기획) 26썸머 플리츠미 보타니컬 자수 블라우스 	단순	06:30	07:32	62	23600000	의류	패션의류
신세계쇼핑	20260706	06:30	07:32	62	★신세계 단독 상품★ 핫썸머 특별기획! 26SS 플리츠미 원피스+볼레로숄 셋업 2종	플리츠미	★신세계 단독 상품★ 핫썸머 특별기획! 26SS 플리츠미 원피스+볼레로숄 셋업 2종	단순	06:30	07:32	62	48402000	의류	패션의류
SK스토아	20260706	06:31	07:31	60	[방송중에만]●황성주 박사의 1일1생식 라이프밀 6박스+2박스+흔들컵2개● | 원산지 : 상품정보 참조	●황성주	[방송중에만]●황성주 박사의 1일1생식 라이프밀 6박스+2박스+흔들컵2개● | 원산지 : 상품정보 참조	단순	06:31	07:31	60	51762000	건강식품	식품
KT알파쇼핑	20260706	06:35	07:37	62	헤드_워킹화(썸머)	헤드_워킹화(썸머)	헤드_워킹화(썸머)	복합	06:35	07:37	62	68530800		패션잡화
