channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
현대홈쇼핑 플러스샵	20260709	00:20	01:00	40	전남 무안 햇 찰보리 6kg 세트 (500gx12팩)	전남	전남 무안 햇 찰보리 6kg 세트 (500gx12팩)	단순	00:20	01:00	40	21348600		식품	29900	https://live.ecomm-data.com/report/hsshow/fb8990fc480e74b3d943ebacdfee130b	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251497618
SK스토아	20260709	00:31	01:31	60	블라우풍트 스마트 워치 BLP-SW331	블라우풍트	블라우풍트 스마트 워치 BLP-SW331	단순	00:31	01:31	60	47832120	가전	디지털/가전	79800	https://live.ecomm-data.com/report/hsshow/b19f7ee9a9637a64674b5ffd6a648906	https://www.skstoa.com/display/goods/63118702
쇼핑엔티	20260709	00:32	01:32	60	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)(신세계상품권 3만원)	라이나생명	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)(신세계상품권 3만원)	단순	00:32	01:32	60	0	보험	여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/3dc0d44b3482d17098f128d25bcffceb	https://www.shoppingntmall.com/display/goods/28084761
KT알파쇼핑	20260709	00:35	01:38	63	메리츠화재_암보험(또또)	메리츠화재	메리츠화재_암보험(또또)	단순	00:35	01:38	63	0	보험	여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/273b3bd7bd2fb55922876df504e9deed	https://m.kshop.co.kr/display/product/8989564
신세계쇼핑	20260709	00:37	01:38	61	[26SS최신상] 블루핏 NEW 스트라이프 티셔츠 4종	트라이	[26SS최신상] 블루핏 NEW 스트라이프 티셔츠 4종	단순	00:37	01:38	61	56090000	언더웨어	패션의류	79000	https://live.ecomm-data.com/report/hsshow/08a8ef2442b62e52e34717e9f2efdedf	https://www.shinsegaetvshopping.com/display/detail/20070838
GS홈쇼핑 마이샵	20260709	00:38	01:39	61	[베르누아] 냉감 침구 7종 SK 풀세트(냉감패드2+냉감이불1+냉감베개커버2+냉감베개2) 슈퍼킹	냉감	[베르누아] 냉감 침구 7종 SK 풀세트(냉감패드2+냉감이불1+냉감베개커버2+냉감베개2) 슈퍼킹	단순	00:38	01:39	61	9954000		가구/인테리어	219000	https://live.ecomm-data.com/report/hsshow/fded968c0701d5a4d5f07fc794673740	https://www.gsshop.com/prd/prd.gs?prdid=1120725885&brddate=20260713021000&pgmID=6740&ordChannel=WE&tveshop=Y
롯데원티비	20260709	00:40	01:20	40	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	하나손보	[하나손해보험] 하나손보 하나더스마트 여성암하트플랜_One	단순	00:40	01:20	40	0		생활/건강	0	https://live.ecomm-data.com/report/hsshow/ddf7576b10f4fd4122b329809dda7a81	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12908071
NS홈쇼핑 샵플러스	20260709	00:42	01:43	61	구룡포마른오징어1	구룡포	구룡포마른오징어1	단순	00:42	01:43	61	21576000		식품	89900	https://live.ecomm-data.com/report/hsshow/cc1dd4dd460bae79d1c93a0bc2dd95e8	https://m.nsmall.com/goods/35583632
CJ온스타일 플러스	20260709	00:45	01:45	60	셀리노바 인터벤션 듀오 4박스 4개월분 (앰플 7ml 10병+크림 45g 1통+전용오프너 1개) T	셀리노바	셀리노바 인터벤션 듀오 4박스 4개월분 (앰플 7ml 10병+크림 45g 1통+전용오프너 1개) T	단순	00:45	01:45	60	16488000		화장품/미용	398000	https://live.ecomm-data.com/report/hsshow/e11a01dd5fbecc1d10238e677a81ae76	https://display.cjonstyle.com/p/item/2082476685
공영쇼핑	20260709	01:00	02:00	60	국내산 영산포 숙성홍어회 모듬살 100g×10팩+ 초고추장 20g×10팩	국내산	국내산 영산포 숙성홍어회 모듬살 100g×10팩+ 초고추장 20g×10팩	단순	01:00	02:00	60	19710500	일반식품	식품	49900	https://live.ecomm-data.com/report/hsshow/29ed7251bf86714e18aa69d386c06624	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11919871
