channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
GS홈쇼핑	20260621	00:05	01:05	60	[방송에서만 1박 더] 해피한 자유숙박권 총 7박 / 역대 최저가 / 100여개 호텔&리조트&펜션 / 1년간 자유롭게 사용가능	해피한	[방송에서만 1박 더] 해피한 자유숙박권 총 7박 / 역대 최저가 / 100여개 호텔&리조트&펜션 / 1년간 자유롭게 사용가능	단순	00:05	01:05	60	238004000	여가/생활편의	여가/생활편의	199000	https://live.ecomm-data.com/report/hsshow/41fc0b1028de0d35f01ffab11479922e	https://www.gsshop.com/prd/prd.gs?prdid=1125337703&brddate=20260627213500&pgmID=12879&ordChannel=WE&tveshop=Y
SK스토아	20260621	00:21	01:21	60	[믿쓰진] 고현정 패키지 코이 단백질 앰플(35mlx6)+10ml x1+무체1+리프트볼1+미스트80mlx2	고현정	[믿쓰진] 고현정 패키지 코이 단백질 앰플(35mlx6)+10ml x1+무체1+리프트볼1+미스트80mlx2	복합	00:21	01:21	60	22471000		화장품/미용	159000	https://live.ecomm-data.com/report/hsshow/d2b41091a7e398aa842463d88751a6bc	https://www.skstoa.com/display/goods/53840784
신세계쇼핑	20260621	00:27	01:28	61	[이번달 단하루] 이롬 황성주 1일1생식 라이프밀 8박스+황성주 검은콩 무가당 두유 (A)	이롬	[이번달 단하루] 이롬 황성주 1일1생식 라이프밀 8박스+황성주 검은콩 무가당 두유 (A)	복합	00:27	01:28	61	34470000		식품	298000	https://live.ecomm-data.com/report/hsshow/e1e4febecb95e71711f1167c3d92011b	https://www.shinsegaetvshopping.com/display/detail/20070094
현대홈쇼핑	20260621	00:30	01:30	60	[자동급배수/빌트인+리폼S] 삼성 Bespoke AI 스팀 울트라 로봇청소기 [VR90F01SAG]	삼성	[자동급배수/빌트인+리폼S] 삼성 Bespoke AI 스팀 울트라 로봇청소기 [VR90F01SAG]	단순	00:30	01:30	60	226120000		디지털/가전	2250000	https://live.ecomm-data.com/report/hsshow/8c5aa2dc63b9de4907a37358cb9e8c8a	https://www.hmall.com/p/2250261224
쇼핑엔티	20260621	00:32	01:32	60	[하나투어] NO선택관광+NO기사가이드비 장가계 원가계 4일,5일,6일	NO선택관광+NO기사가이드비	[하나투어] NO선택관광+NO기사가이드비 장가계 원가계 4일,5일,6일	단순	00:32	01:32	60	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/2e2221080964724405f93f68da651194	https://www.shoppingntmall.com/display/goods/28122534
KT알파쇼핑	20260621	00:36	01:38	62	메리츠화재_암보험(또또)	메리츠화재	메리츠화재_암보험(또또)	단순	00:36	01:38	62	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/a721b24dd7b7c643fe818d710ec44b3c	https://m.kshop.co.kr/display/product/8989564
GS홈쇼핑 마이샵	20260621	00:38	01:39	61	[최대용량/장당최저가] 최신상 마데카 더마마스크 105매 (체험분5매)	최신상	[최대용량/장당최저가] 최신상 마데카 더마마스크 105매 (체험분5매)	단순	00:38	01:39	61	31328000		화장품/미용	80100	https://live.ecomm-data.com/report/hsshow/0bcf5371f53c654f5fe8422e2281f2e7	https://www.gsshop.com/prd/prd.gs?prdid=1119855425&brddate=20260621003800&pgmID=6737&ordChannel=WE&tveshop=Y
롯데원티비	20260621	00:40	01:20	40	[폴앤조] ○ 26SS 시그니처 아트웍 티셔츠 3종	폴앤조	[폴앤조] ○ 26SS 시그니처 아트웍 티셔츠 3종	단순	00:40	01:20	40	5343000		패션의류	39000	https://live.ecomm-data.com/report/hsshow/39edc10ef707c4717a534579237f86d4	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12896454
현대홈쇼핑 플러스샵	20260621	00:40	01:00	20	100% 국내산 햇 홍감자 3.2kg (카스테라 감자)	100%	100% 국내산 햇 홍감자 3.2kg (카스테라 감자)	단순	00:40	01:00	20	13054400		식품	19900	https://live.ecomm-data.com/report/hsshow/b51a4d06f02b6362572482ecb1798034	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251231375
NS홈쇼핑 샵플러스	20260621	00:42	01:45	63	주원산 훈제오리 1	주원산오리	주원산 훈제오리 1	단순	00:42	01:45	63	30024700		식품	39900	https://live.ecomm-data.com/report/hsshow/bf9d54b4f8478381bec663d3ef8df9b7	https://m.nsmall.com/goods/35919315
CJ온스타일 플러스	20260621	00:45	01:45	60	[정품] 200g대/키높이 핸드메이드 메쉬 샌들	200g대/키높이	[정품] 200g대/키높이 핸드메이드 메쉬 샌들	단순	00:45	01:45	60	52095000		패션잡화	69000	https://live.ecomm-data.com/report/hsshow/073db81ad55831eb19036b8d1790fcc4	https://display.cjonstyle.com/p/item/2055398927
홈앤쇼핑	20260621	01:00	02:00	60	퓨레어 차량용 탈취제 더블세트+리필5개	퓨레어	퓨레어 차량용 탈취제 더블세트+리필5개	복합	01:00	02:00	60	24410800		생활/건강	49900	https://live.ecomm-data.com/report/hsshow/2263897dfcddcdfea909b3fe1b2c8dba	http://www.hnsmall.com/display/goods.do?goods_code=77267604
현대홈쇼핑 플러스샵	20260621	01:00	01:40	40	[미도원] 제주순수메밀면 150g 13팩+냉면육수8+귤림양념장5	제주순수메밀면	[미도원] 제주순수메밀면 150g 13팩+냉면육수8+귤림양념장5	단순	01:00	01:40	40	18509100		식품	59900	https://live.ecomm-data.com/report/hsshow/5fca07250258fb2a8f46a56b91c7d05e	https://www.hmall.com/md/pda/itemPtc?slitmCd=2234404487
롯데홈쇼핑	20260621	01:00	02:00	60	[잭니클라우스] 26SS 남성 스트레이트 썸머 팬츠 3종	잭니클라우스	[잭니클라우스] 26SS 남성 스트레이트 썸머 팬츠 3종	단순	01:00	02:00	60	0		패션의류	109000	https://live.ecomm-data.com/report/hsshow/67e08ba7490ac4932aed2dc7cff52bf6	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12896011
NS홈쇼핑	20260621	01:00	02:01	61	히트상품 앵콜방송1부	히트상품	히트상품 앵콜방송1부	복합	01:00	02:01	61	39636000		식품	69900	https://live.ecomm-data.com/report/hsshow/9585e47e78e413364ac5f23e07ac18e6	https://m.nsmall.com/goods/35943681
CJ온스타일	20260621	01:00	02:00	60	[방송에서만]핏업 골드 유기농 대마종자유 18박스(12+6박스)	Replay Best	[방송에서만]핏업 골드 유기농 대마종자유 18박스(12+6박스)	단순	01:00	02:00	60	43957000		식품	268000	https://live.ecomm-data.com/report/hsshow/c1f37fd84725a9e3f5084b0e20c97e44	https://display.cjonstyle.com/p/item/2082769955?channelCode=30002002
공영쇼핑	20260621	01:00	02:00	60	강병원한우투뿔스테이크 130gx10팩	강병원한우투뿔스테이크	강병원한우투뿔스테이크 130gx10팩	단순	01:00	02:00	60	39703200		식품	0	https://live.ecomm-data.com/report/hsshow/d058579291c24cf6dfed58637e9c724b	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11929715
GS홈쇼핑	20260621	01:05	02:00	55	그레인온 캡슐레이션효소 12박스+무선 텀블러 블렌더	그레인온	그레인온 캡슐레이션효소 12박스+무선 텀블러 블렌더	단순	01:05	02:00	55	67925000	식품	식품	209000	https://live.ecomm-data.com/report/hsshow/d390e9828ed421dcece07bd418321d99	https://www.gsshop.com/prd/prd.gs?prdid=1123387281&brddate=20260621010500&pgmID=6997&ordChannel=WE&tveshop=Y
롯데원티비	20260621	01:20	02:00	40	[지니트레저] ★65프로 킹세일★ [12박스] 알파 슬림핏 알파CD (4 g x 15포 x 12박스)	★65프로	[지니트레저] ★65프로 킹세일★ [12박스] 알파 슬림핏 알파CD (4 g x 15포 x 12박스)	단순	01:20	02:00	40	6591900		식품	90300	https://live.ecomm-data.com/report/hsshow/c8bb3f6131e11dea1e28e00f8385844d	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12897966
SK스토아	20260621	01:21	02:01	40	*워커힐 시그니처 양념LA갈비 400g*8팩(총 3.2kg) | 원산지 : 상품정보 참조	*워커힐	*워커힐 시그니처 양념LA갈비 400g*8팩(총 3.2kg) | 원산지 : 상품정보 참조	단순	01:21	02:01	40	16066600		식품	119900	https://live.ecomm-data.com/report/hsshow/5bb836ad512db0a6dd17c1d94b957488	https://www.skstoa.com/display/goods/58403916
신세계쇼핑	20260621	01:27	01:38	11	[방송에서만] 앱솔리 또또뻥 국내산 현미 8봉 + 호라산밀앤파로 8봉	앱솔리	[방송에서만] 앱솔리 또또뻥 국내산 현미 8봉 + 호라산밀앤파로 8봉	복합	01:27	01:38	11	1859500		식품	39900	https://live.ecomm-data.com/report/hsshow/5f5cc85e3321745d1814702f3da53032	https://www.shinsegaetvshopping.com/display/detail/1001327260
