channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
SK스토아	20260702	00:31	01:31	60	[닥터오기덤] [방송에서만] 닥터오기덤 앰플 인 마스크팩 100매	닥터오기덤	[닥터오기덤] [방송에서만] 닥터오기덤 앰플 인 마스크팩 100매	단순	00:31	01:31	60	8433100	미용	화장품/미용	49900	https://www.skstoa.com/display/goods/63124793
SK스토아	20260702	00:31	01:31	60	+[믿쓰진][믿쓰진 패키지]단백질 앰플 최대 용량(35ml*6+10ml*2+무체*1+리프트볼*1+미스트 80ml*1)	단백질	+[믿쓰진][믿쓰진 패키지]단백질 앰플 최대 용량(35ml*6+10ml*2+무체*1+리프트볼*1+미스트 80ml*1)	단순	00:31	01:31	60	11240000	미용	화장품/미용	159000	https://www.skstoa.com/display/goods/65588838
쇼핑엔티	20260702	00:32	01:32	60	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)	라이나생명	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)	단순	00:32	01:32	60	0	보험	여가/생활편의	0	https://www.shoppingntmall.com/display/goods/28403851
KT알파쇼핑	20260702	00:34	01:38	64	엘레강스스포츠_티셔츠	엘레강스스포츠	엘레강스스포츠_티셔츠	단순	00:34	01:38	64	12985000	의류	패션의류	49000	https://m.kshop.co.kr/display/product/10014290
신세계쇼핑	20260702	00:37	01:38	61	기라로쉬 26썸머 프리미엄 울 린넨 실크 블렌디드 자켓 1종(입고)	기라로쉬	기라로쉬 26썸머 프리미엄 울 린넨 실크 블렌디드 자켓 1종(입고)	단순	00:37	01:38	61	28533000	의류	패션의류	109000	https://www.shinsegaetvshopping.com/display/detail/1002209579
GS홈쇼핑 마이샵	20260702	00:38	01:39	61	온작 이영자의 뼈없는갈비탕 600g X 10팩	온작	온작 이영자의 뼈없는갈비탕 600g X 10팩	단순	00:38	01:39	61	20605600		식품	59900	https://www.gsshop.com/prd/prd.gs?prdid=1109678157&brddate=20260702003800&pgmID=6997&ordChannel=WE&tveshop=Y
롯데원티비	20260702	00:40	01:20	40	[LBL] ○26 SUMMER 호주코튼100 뷔스티에 티셔츠 2종	○26	[LBL] ○26 SUMMER 호주코튼100 뷔스티에 티셔츠 2종	복합	00:40	01:20	40	14678000		패션의류	69900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12900943
NS홈쇼핑 샵플러스	20260702	00:42	01:45	63	임성근내장탕1	임성근의	임성근내장탕1	단순	00:42	01:45	63	19870200		식품	39900	https://m.nsmall.com/goods/36000241
CJ온스타일 플러스	20260702	00:45	01:45	60	[최초가 89,900원] 26SS 유넥 플레어 티블라우스 5종	26SS	[최초가 89,900원] 26SS 유넥 플레어 티블라우스 5종	단순	00:45	01:45	60	46295500		패션의류	59900	https://display.cjonstyle.com/p/item/2083421295
CJ온스타일	20260702	01:00	01:30	30	고소틴 단백질 8박스(56회분) + 보틀 1개	링티	고소틴 단백질 8박스(56회분) + 보틀 1개	단순	01:00	01:30	30	9945000	건강식품	식품	109000	https://display.cjonstyle.com/p/item/2031472180?channelCode=30002002
현대홈쇼핑	20260702	01:00	01:50	50	프리마클라쎄 로고 프린트 윈드브레이커 1종	프리마클라쎄	프리마클라쎄 로고 프린트 윈드브레이커 1종	단순	01:00	01:50	50	97717000	의류	패션의류	149000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249600435&preview=true
롯데홈쇼핑	20260702	01:00	02:00	60	[엠유스포츠] 26SS 여성 반팔 라운드 니트 2종 	엠유스포츠	[엠유스포츠] 26SS 여성 반팔 라운드 니트 2종 	단순	01:00	02:00	60	20524000	의류	패션의류	79000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12897914
GS홈쇼핑	20260702	01:00	02:00	60	(무)흥국생명다사랑암보험	흥국생명	(무)흥국생명다사랑암보험	단순	01:00	02:00	60	0	보험		None	None
홈앤쇼핑	20260702	01:00	02:00	60	[라지킹 풀패키지]1등매장/ 방송에서만 26년형 에어룸 수면냉감 쿨드론 기능성 7종	에어룸	[라지킹 풀패키지]1등매장/ 방송에서만 26년형 에어룸 수면냉감 쿨드론 기능성 7종	단순	01:00	02:00	60	30097200	리빙/주방	생활/건강	159900	http://www.hnsmall.com/display/goods.do?goods_code=80461852
공영쇼핑	20260702	01:00	01:55	55	순살붉은대게 50g×15팩	순살붉은대게	순살붉은대게 50g×15팩	단순	01:00	01:55	55	31496600	일반식품	식품	49900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11929337
NS홈쇼핑	20260702	01:00	02:01	61	히트상품 앵콜방송1부	이시형	히트상품 앵콜방송1부	단순	01:00	02:01	61	55242000	일반식품	생활/건강	279000	https://m.nsmall.com/goods/36026299
현대홈쇼핑 플러스샵	20260702	01:20	01:40	20	알파CD 원데이핏 알파시클로덱스트린 난소화성말토덱스트린 14포 6+6박스 총 168포	알파CD	알파CD 원데이핏 알파시클로덱스트린 난소화성말토덱스트린 14포 6+6박스 총 168포	단순	01:20	01:40	20	4206700		식품	54900	https://www.hmall.com/md/pda/itemPtc?slitmCd=2239438244
롯데원티비	20260702	01:20	02:00	40	[바이브리짓] ○[바이브리짓X슈퍼띵스] 26SS 썸머 그래픽 티셔츠 4종 	바이브리짓	[바이브리짓] ○[바이브리짓X슈퍼띵스] 26SS 썸머 그래픽 티셔츠 4종 	단순	01:20	02:00	40	4763600		패션의류	69900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12908421
CJ온스타일	20260702	01:30	02:35	65	[무엘올리바] 스페인 엑스트라버진 올리브오일 500ml 5병	뮤엘올리바	[무엘올리바] 스페인 엑스트라버진 올리브오일 500ml 5병	단순	01:30	02:35	65	39893400	일반식품	식품	105000	https://display.cjonstyle.com/p/item/2083808605?channelCode=30002002
쇼핑엔티	20260702	01:31	02:32	61	[방송에서만 바질햄치즈 4팩 더] 베키아에누보 치아바타 샌드위치 총 24개(바질모짜3+바질토마토9+올리브치아바타8+바질햄치즈4)	베키아에누보	[방송에서만 바질햄치즈 4팩 더] 베키아에누보 치아바타 샌드위치 총 24개(바질모짜3+바질토마토9+올리브치아바타8+바질햄치즈4)	단순	01:31	02:32	61	15094800	일반식품	식품	59900	https://www.shoppingntmall.com/display/goods/27982993
SK스토아	20260702	01:31	02:11	40	(최대용량)(심야)에코센스 히트락 올트라이탄 밀폐용기 14종	에코센스	(최대용량)(심야)에코센스 히트락 올트라이탄 밀폐용기 14종	단순	01:31	02:11	40	11411400	리빙/주방	생활/건강	79800	https://www.skstoa.com/display/goods/61030161
KT알파쇼핑	20260702	01:34	02:38	64	DB손해보험_운전자보험	DB손해보험	DB손해보험_운전자보험	단순	01:34	02:38	64	0	보험	여가/생활편의	0	https://m.kshop.co.kr/display/product/9674795
신세계쇼핑	20260702	01:38	02:39	61	[론칭가 79,900원→2만원↓] 블루핏 26SS 에어로 팬츠 3종	블루핏	[론칭가 79,900원→2만원↓] 블루핏 26SS 에어로 팬츠 3종	단순	01:38	02:39	61	20613900	의류	패션의류	59900	https://www.shinsegaetvshopping.com/display/detail/20071384
GS홈쇼핑 마이샵	20260702	01:39	01:50	11	르까프 26SS 최신상 남성 썸머 이지 조거팬츠 4종	르까프	르까프 26SS 최신상 남성 썸머 이지 조거팬츠 4종	단순	01:39	01:50	11	472000		패션의류	59000	https://www.gsshop.com/prd/prd.gs?prdid=1126815568&brddate=20260714045500&pgmID=12502&ordChannel=WE&tveshop=Y
현대홈쇼핑 플러스샵	20260702	01:40	02:20	40	[무이자60개월] LG QNED AI TV 85형 [85QNED70BKA] (사은품 : LG 사운드바)	LG	[무이자60개월] LG QNED AI TV 85형 [85QNED70BKA] (사은품 : LG 사운드바)	단순	01:40	02:20	40	4370000		디지털/가전	4370000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249510829
NS홈쇼핑 샵플러스	20260702	01:42	02:01	19	오뗄닭다리살스테이크1	오뗄	오뗄닭다리살스테이크1	단순	01:42	02:01	19	2713200		식품	39900	https://m.nsmall.com/goods/35559537
CJ온스타일 플러스	20260702	01:45	01:55	10	26SS 여성 스케치클라우드 워킹화	26SS	26SS 여성 스케치클라우드 워킹화	단순	01:45	01:55	10	258000		패션잡화	129000	https://display.cjonstyle.com/p/item/2084578657
현대홈쇼핑	20260702	01:50	02:40	50	어드림오브씨드 26SS 코튼테리 셋업	어드림오브씨드	어드림오브씨드 26SS 코튼테리 셋업	단순	01:50	02:40	50	105404800	의류	패션의류	149000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250572980&preview=true
GS홈쇼핑 마이샵	20260702	01:50	02:10	20	[특가] 피트인 인견브라 원피스 3종	피트인	[특가] 피트인 인견브라 원피스 3종	단순	01:50	02:10	20	4141700		패션의류	49900	https://www.gsshop.com/prd/prd.gs?prdid=1117366360&brddate=20260712003800&pgmID=6753&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260702	01:55	02:05	10	925실버 이태리 트위스트 볼 2줄 목걸이	925실버	925실버 이태리 트위스트 볼 2줄 목걸이	단순	01:55	02:05	10	478000		패션잡화	299000	https://display.cjonstyle.com/p/item/2087664407
공영쇼핑	20260702	01:55	02:50	55	[품애복] 1등급 무항생제 오리로스 14팩 (총 2.1kg)	1등급	[품애복] 1등급 무항생제 오리로스 14팩 (총 2.1kg)	단순	01:55	02:50	55	17396400	일반식품	식품	39900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11805870
GS홈쇼핑	20260702	02:00	03:00	60	[나에게맞는맞춤설계] FM에셋 무료보험상담	FM에셋	[나에게맞는맞춤설계] FM에셋 무료보험상담	단순	02:00	03:00	60	0	보험		None	None
NS홈쇼핑 샵플러스	20260702	02:00	02:22	22	오뗄닭다리살스테이크2	오뗄	오뗄닭다리살스테이크2	단순	02:00	02:22	22	6663300		식품	39900	https://m.nsmall.com/goods/35559537
롯데홈쇼핑	20260702	02:00	02:30	30	[데일리아이디어] (싱글)셰프터치 가정용 요리용 토치 + 보관가방 + 충전 어답터(3종)	데일리아이디어	[데일리아이디어] (싱글)셰프터치 가정용 요리용 토치 + 보관가방 + 충전 어답터(3종)	단순	02:00	02:30	30	5594800	문화/스포츠	스포츠/레저	39400	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12900427
NS홈쇼핑	20260702	02:00	02:41	41	히트상품 앵콜방송 2부	히트상품	히트상품 앵콜방송 2부	단순	02:00	02:41	41	14059500	일반식품	식품	57900	https://m.nsmall.com/goods/35847998
홈앤쇼핑	20260702	02:00	03:00	60	디마떼오 피자 4종/20팩(감자베이컨,디아볼라,고르곤졸라,바질콤비네이션)	디마떼오	디마떼오 피자 4종/20팩(감자베이컨,디아볼라,고르곤졸라,바질콤비네이션)	단순	02:00	03:00	60	27100500	일반식품	식품	60900	http://www.hnsmall.com/display/goods.do?goods_code=72014008
롯데원티비	20260702	02:00	02:05	5	[원더브라] 원더브라(WONDERBRA) 사각 드로즈 5종	원더브라	[원더브라] 원더브라(WONDERBRA) 사각 드로즈 5종	단순	02:00	02:05	5	0		패션의류	29900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12881140
롯데원티비	20260702	02:05	02:20	15	[베네치아] ○ 18K GOLD 벨라리체 웨이브 3줄 목걸이	베네치아	[베네치아] ○ 18K GOLD 벨라리체 웨이브 3줄 목걸이	단순	02:05	02:20	15	0		패션잡화	1590000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911971
CJ온스타일 플러스	20260702	02:05	02:15	10	푸응 파비플로라 12박스(24주분)	푸응	푸응 파비플로라 12박스(24주분)	단순	02:05	02:15	10	405000		식품	356000	https://display.cjonstyle.com/p/item/2087494422
GS홈쇼핑 마이샵	20260702	02:10	02:15	5	도깨비방망이 헤리티지 프리미엄 1995 마스터 무선 핸드블렌더	도깨비방망이	도깨비방망이 헤리티지 프리미엄 1995 마스터 무선 핸드블렌더	단순	02:10	02:15	5	139000		디지털/가전	139000	https://www.gsshop.com/prd/prd.gs?prdid=1126846267&brddate=20260703042800&pgmID=872&ordChannel=WE&tveshop=Y
SK스토아	20260702	02:11	02:51	40	★치과 판매 동일제품★ 딥클린 센서티브 칫솔 38개 세트 (무료체험분 2개 포함)	★치과	★치과 판매 동일제품★ 딥클린 센서티브 칫솔 38개 세트 (무료체험분 2개 포함)	단순	02:11	02:51	40	5985000	리빙/주방	생활/건강	79800	https://www.skstoa.com/display/goods/61057925
CJ온스타일 플러스	20260702	02:15	02:25	10	26SS 여성 스케치클라우드 워킹화	26SS	26SS 여성 스케치클라우드 워킹화	단순	02:15	02:25	10	774000		패션잡화	129000	https://display.cjonstyle.com/p/item/2084578657
GS홈쇼핑 마이샵	20260702	02:15	02:31	16	모르간 26SS 플루이드 밴딩팬츠 3종	모르간	모르간 26SS 플루이드 밴딩팬츠 3종	단순	02:15	02:31	16	449500		패션의류	80910	https://www.gsshop.com/prd/prd.gs?prdid=1105961989&brddate=20260713213800&pgmID=13307&ordChannel=WE&tveshop=Y
롯데원티비	20260702	02:20	02:35	15	[베네치아] ● 18K GOLD 벨라리체 웨이브 3줄 목걸이	베네치아	[베네치아] ● 18K GOLD 벨라리체 웨이브 3줄 목걸이	단순	02:20	02:35	15	0		패션잡화	1590000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912093
NS홈쇼핑 샵플러스	20260702	02:20	02:41	21	콘드로이친1	닥터린	콘드로이친1	단순	02:20	02:41	21	329000		생활/건강	329000	https://m.nsmall.com/goods/36021603
현대홈쇼핑 플러스샵	20260702	02:20	03:00	40	[MAZZETTA] 마제타 와이드 플리츠 팬츠 6종 세트	마제타	[MAZZETTA] 마제타 와이드 플리츠 팬츠 6종 세트	단순	02:20	03:00	40	4788000		패션의류	39900	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251614735
CJ온스타일 플러스	20260702	02:25	02:35	10	925실버 이태리 트위스트 볼 2줄 목걸이	925실버	925실버 이태리 트위스트 볼 2줄 목걸이	단순	02:25	02:35	10	299000		패션잡화	299000	https://display.cjonstyle.com/p/item/2087664407
롯데홈쇼핑	20260702	02:30	03:00	30	[리오홈] ○[더블] 리오홈 블랙/핑크 캐리어 카트(방송에서만 무료체험 7일)	리오홈	[리오홈] ○[더블] 리오홈 블랙/핑크 캐리어 카트(방송에서만 무료체험 7일)	단순	02:30	03:00	30	3574200	잡화/주얼리	생활/건강	89600	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12908939
쇼핑엔티	20260702	02:31	03:31	60	26SS 란체티 냉감 카라티 3종	란체티	26SS 란체티 냉감 카라티 3종	단순	02:31	03:31	60	9862500	의류	패션의류	79900	https://www.shoppingntmall.com/display/goods/27949771
GS홈쇼핑 마이샵	20260702	02:31	02:51	20	보디가드 에센셜 메쉬 드로즈 10종 패키지	보디가드	보디가드 에센셜 메쉬 드로즈 10종 패키지	단순	02:31	02:51	20	1896200		패션의류	44910	https://www.gsshop.com/prd/prd.gs?prdid=1111561450&brddate=20260702023100&pgmID=6753&ordChannel=WE&tveshop=Y
롯데원티비	20260702	02:35	02:50	15	[베네치아] ◇ 18K GOLD 벨라리체 웨이브 3줄 목걸이	베네치아	[베네치아] ◇ 18K GOLD 벨라리체 웨이브 3줄 목걸이	단순	02:35	02:50	15	0		패션잡화	1590000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912106
CJ온스타일	20260702	02:35	02:50	15	[최초가 499,000원] 25FW 램스킨 카라리스 레더자켓	로보	[최초가 499,000원] 25FW 램스킨 카라리스 레더자켓	단순	02:35	02:50	15	998000	의류	패션의류	499000	https://display.cjonstyle.com/p/item/2066908235?channelCode=30002002
KT알파쇼핑	20260702	02:35	03:38	63	비버리힐즈폴로클럽_티셔츠(SS) 	비버리힐즈폴로클럽	비버리힐즈폴로클럽_티셔츠(SS) 	단순	02:35	03:38	63	12821100	의류	패션의류	39900	https://m.kshop.co.kr/display/product/8586957
CJ온스타일 플러스	20260702	02:35	02:45	10	푸응 파비플로라 12박스(24주분)	푸응	푸응 파비플로라 12박스(24주분)	단순	02:35	02:45	10	356000		식품	356000	https://display.cjonstyle.com/p/item/2087494422
신세계쇼핑	20260702	02:38	03:39	61	기라로쉬 26SS 스프링 치노팬츠 2종	기라로쉬	기라로쉬 26SS 스프링 치노팬츠 2종	단순	02:38	03:39	61	9085000	의류	패션의류	79000	https://www.shinsegaetvshopping.com/display/detail/20072171
NS홈쇼핑 샵플러스	20260702	02:40	03:02	22	블라우풍트이어폰1	최신상	블라우풍트이어폰1	단순	02:40	03:02	22	359200		생활/건강	179600	https://m.nsmall.com/goods/36020816
현대홈쇼핑	20260702	02:40	03:10	30	[베이커x청담 커피루소] 60초 완성 텀블러형 에스프레소 머신 (+방송에서만 분쇄 원두 200g 추가구성)	베이커	[베이커x청담 커피루소] 60초 완성 텀블러형 에스프레소 머신 (+방송에서만 분쇄 원두 200g 추가구성)	단순	02:40	03:10	30	8297000	일반식품	생활/건강	99000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249255399&preview=true
CJ온스타일 플러스	20260702	02:45	02:55	10	26SS 여성 스케치클라우드 워킹화	26SS	26SS 여성 스케치클라우드 워킹화	단순	02:45	02:55	10	258000		패션잡화	129000	https://display.cjonstyle.com/p/item/2084578657
롯데원티비	20260702	02:50	03:05	15	[베네치아] ◆ 18K GOLD 벨라리체 웨이브 3줄 목걸이	베네치아	[베네치아] ◆ 18K GOLD 벨라리체 웨이브 3줄 목걸이	단순	02:50	03:05	15	0		패션잡화	1590000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912119
공영쇼핑	20260702	02:50	03:30	40	★인기상품★ 스칸디노티아 케틀팟 1.5L+2L	스칸디노티아	★인기상품★ 스칸디노티아 케틀팟 1.5L+2L	단순	02:50	03:30	40	10706200	리빙/주방	생활/건강	39800	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11923526
CJ온스타일	20260702	02:50	03:20	30	프리미엄 슈렁큰 레더 마린 보트슈즈	락포트	프리미엄 슈렁큰 레더 마린 보트슈즈	단순	02:50	03:20	30	9129000	잡화/주얼리	패션잡화	179000	https://display.cjonstyle.com/p/item/2078505640?channelCode=30002002
GS홈쇼핑 마이샵	20260702	02:51	02:56	5	도깨비방망이 헤리티지 프리미엄 1995 마스터 무선 핸드블렌더	도깨비방망이	도깨비방망이 헤리티지 프리미엄 1995 마스터 무선 핸드블렌더	단순	02:51	02:56	5	0		디지털/가전	139000	https://www.gsshop.com/prd/prd.gs?prdid=1126846267&brddate=20260703042800&pgmID=872&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260702	02:55	03:05	10	925실버 이태리 트위스트 볼 2줄 목걸이	925실버	925실버 이태리 트위스트 볼 2줄 목걸이	단순	02:55	03:05	10	657000		패션잡화	179000	https://display.cjonstyle.com/p/item/2087666991
GS홈쇼핑 마이샵	20260702	02:56	03:12	16	모르간 26SS 플루이드 밴딩팬츠 3종	모르간	모르간 26SS 플루이드 밴딩팬츠 3종	단순	02:56	03:12	16	449500		패션의류	80910	https://www.gsshop.com/prd/prd.gs?prdid=1105961989&brddate=20260713213800&pgmID=13307&ordChannel=WE&tveshop=Y
현대홈쇼핑 플러스샵	20260702	03:00	03:20	20	[셀렉스] 프로틴 고소한맛 304gx5캔+보틀1개	프로틴	[셀렉스] 프로틴 고소한맛 304gx5캔+보틀1개	단순	03:00	03:20	20	539400		식품	179800	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250312314
홈앤쇼핑	20260702	03:00	04:00	60	[빠른배송] 부케가르니 바디클렌저 7종 풀세트 (바디워시5+로션1+샤워타올1)	부케가르니	[빠른배송] 부케가르니 바디클렌저 7종 풀세트 (바디워시5+로션1+샤워타올1)	단순	03:00	04:00	60	20366000	미용	화장품/미용	59900	http://www.hnsmall.com/display/goods.do?goods_code=77259605
GS홈쇼핑	20260702	03:00	03:30	30	[최신상] 헉슬리 26SS 천연소가죽 피셔맨 샌들	헉슬리	[최신상] 헉슬리 26SS 천연소가죽 피셔맨 샌들	단순	03:00	03:30	30	5863200	잡화/주얼리	패션잡화	69800	https://www.gsshop.com/prd/prd.gs?prdid=1118696185&brddate=20260702030000&pgmID=9613&ordChannel=WE&tveshop=Y
NS홈쇼핑 샵플러스	20260702	03:00	03:41	41	반건조오징어 1	구룡포	반건조오징어 1	단순	03:00	03:41	41	5339300		식품	49900	https://m.nsmall.com/goods/35959121
롯데원티비	20260702	03:05	03:20	15	[베네치아] ◎ 18K GOLD 벨라리체 웨이브 3줄 목걸이	베네치아	[베네치아] ◎ 18K GOLD 벨라리체 웨이브 3줄 목걸이	단순	03:05	03:20	15	0		패션잡화	1590000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912128
CJ온스타일 플러스	20260702	03:05	03:15	10	푸응 파비플로라 12박스(24주분)	푸응	푸응 파비플로라 12박스(24주분)	단순	03:05	03:15	10	712000		식품	356000	https://display.cjonstyle.com/p/item/2087494422
현대홈쇼핑	20260702	03:10	03:50	40	알레보 브리앙 스텐304 대용량 밀폐용기 담금패키지	알레보	알레보 브리앙 스텐304 대용량 밀폐용기 담금패키지	단순	03:10	03:50	40	20898000	리빙/주방	생활/건강	149000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249505990&preview=true
GS홈쇼핑 마이샵	20260702	03:12	03:32	20	[특대형x4+대형x2] 라뽐므 이불압축 파우치	라뽐므	[특대형x4+대형x2] 라뽐므 이불압축 파우치	단순	03:12	03:32	20	1361000		생활/건강	69000	https://www.gsshop.com/prd/prd.gs?prdid=1098382911&brddate=20260711021000&pgmID=6742&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260702	03:15	03:25	10	26SS 여성 스케치클라우드 워킹화	26SS	26SS 여성 스케치클라우드 워킹화	단순	03:15	03:25	10	258000		패션잡화	129000	https://display.cjonstyle.com/p/item/2084578657
현대홈쇼핑 플러스샵	20260702	03:20	03:40	20	[안국약품] 토비콤 루테인지아잔틴 12박스(12개월분)	토비콤	[안국약품] 토비콤 루테인지아잔틴 12박스(12개월분)	단순	03:20	03:40	20	1032000		식품	258000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2211697425
NS홈쇼핑	20260702	03:20	04:01	41	히트상품 앵콜방송3부	히트상품	히트상품 앵콜방송3부	단순	03:20	04:01	41	6059500	일반식품	식품	237500	https://m.nsmall.com/goods/36004856
CJ온스타일	20260702	03:20	03:50	30	26SS 핸드메이드 타임리스 소가죽 로퍼	프라이(FRYE)	26SS 핸드메이드 타임리스 소가죽 로퍼	단순	03:20	03:50	30	7876000	잡화/주얼리	패션잡화	179000	https://display.cjonstyle.com/p/item/2076950411?channelCode=30002002
롯데원티비	20260702	03:20	03:25	5	[폴앤조] ○26FW 울블렌디드 넥카프 집업 SET	○26FW	[폴앤조] ○26FW 울블렌디드 넥카프 집업 SET	단순	03:20	03:25	5	79000		출산/육아	79000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912377
CJ온스타일 플러스	20260702	03:25	03:35	10	925실버 이태리 트위스트 볼 2줄 목걸이	925실버	925실버 이태리 트위스트 볼 2줄 목걸이	단순	03:25	03:35	10	1135000		패션잡화	299000	https://display.cjonstyle.com/p/item/2087664407
롯데원티비	20260702	03:25	03:30	5	[뉴트리코어] 뉴트리코어 하이퍼셀 PDRN 리쥬 코어 크림 50ml*3개	뉴트리코어	[뉴트리코어] 뉴트리코어 하이퍼셀 PDRN 리쥬 코어 크림 50ml*3개	단순	03:25	03:30	5	0		화장품/미용	189000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912192
공영쇼핑	20260702	03:30	03:51	21	고창 복분자 발효농축분말 12통+스푼5개_R	고창	고창 복분자 발효농축분말 12통+스푼5개_R	단순	03:30	03:51	21	888000	건강식품	식품	148000	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11925666
GS홈쇼핑	20260702	03:30	04:00	30	[방송에서만 천연 원석 세트] 클로리에 실버925 롱 슬라이드 목걸이	클로리에	[방송에서만 천연 원석 세트] 클로리에 실버925 롱 슬라이드 목걸이	단순	03:30	04:00	30	19802000	잡화/주얼리	패션잡화	249000	https://www.gsshop.com/prd/prd.gs?prdid=1127102307&brddate=20260702033000&pgmID=9613&ordChannel=WE&tveshop=Y
롯데원티비	20260702	03:30	03:41	11	[LBL] ○26FW 스탠카라 이태리 램스킨 헝가리구스 다운	○26FW	[LBL] ○26FW 스탠카라 이태리 램스킨 헝가리구스 다운	단순	03:30	03:41	11	0		패션의류	399000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12912167
롯데홈쇼핑	20260702	03:30	03:45	15	[바이브리짓X슈퍼띵스] 26SS 썸머 와이드 스트링 데님팬츠	바이브리짓	[바이브리짓X슈퍼띵스] 26SS 썸머 와이드 스트링 데님팬츠	단순	03:30	03:45	15	1088500	의류	패션의류	69900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12907173
SK스토아	20260702	03:31	03:51	20	[R451]신영와코루 로맨틱블룸 풀커버 인견레이스 브라팬티	신영와코루	[R451]신영와코루 로맨틱블룸 풀커버 인견레이스 브라팬티	단순	03:31	03:51	20	399700	언더웨어	패션의류	179900	https://www.skstoa.com/display/goods/64906732
GS홈쇼핑 마이샵	20260702	03:32	03:53	21	엘르 26SS 플로럴 라운지웨어 3세트	엘르	엘르 26SS 플로럴 라운지웨어 3세트	단순	03:32	03:53	21	399500		패션의류	79900	https://www.gsshop.com/prd/prd.gs?prdid=1109758046&brddate=20260702033200&pgmID=6753&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260702	03:35	03:45	10	푸응 파비플로라 12박스(24주분)	푸응	푸응 파비플로라 12박스(24주분)	단순	03:35	03:45	10	1068000		식품	356000	https://display.cjonstyle.com/p/item/2087494422
쇼핑엔티	20260702	03:37	03:58	21	AGK 기가스톰 BLDC 스테이션 무선청소기 	AGK	AGK 기가스톰 BLDC 스테이션 무선청소기 	단순	03:37	03:58	21	1316000	가전	디지털/가전	329000	https://www.shoppingntmall.com/display/goods/28282024
