channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link	product_link
NS홈쇼핑	20260619	00:15	00:36	21	보험 5부	하나더퍼스트3N5건강보험+	보험 5부	단순	00:15	00:36	21	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/b269f28ba52db886fa33c9c08a641439	https://m.nsmall.com/goods/36005829
SK스토아	20260619	00:31	01:31	60	[방송중에만]●황성주 박사의 1일1생식 라이프밀 6박스+2박스+흔들컵2개● | 원산지 : 상품정보 참조	●황성주	[방송중에만]●황성주 박사의 1일1생식 라이프밀 6박스+2박스+흔들컵2개● | 원산지 : 상품정보 참조	단순	00:31	01:31	60	66362000		식품	298000	https://live.ecomm-data.com/report/hsshow/6337be61a7ec6465f9e9be1696c4b180	https://www.skstoa.com/display/goods/64021744
쇼핑엔티	20260619	00:32	01:33	61	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)	라이나생명	라이나생명 (무)새로담는간편건강보험(해약환급금미지급형_갱신형)	단순	00:32	01:33	61	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/e83100a2a527744fc4e7a77eff22820b	https://www.shoppingntmall.com/display/goods/23331640
NS홈쇼핑	20260619	00:35	00:56	21	보험 6부	하나더퍼스트3N5건강보험+	보험 6부	단순	00:35	00:56	21	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/953a0240e08dd11213d2f297d1cfdd9e	https://m.nsmall.com/goods/36005829
KT알파쇼핑	20260619	00:36	01:38	62	DB손해보험_운전자보험	DB손해보험	DB손해보험_운전자보험	단순	00:36	01:38	62	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/51aaed133304709771e71a57c09cea86	https://m.kshop.co.kr/display/product/8864408
신세계쇼핑	20260619	00:37	01:38	61	(방송에서만 50프로 세일!)[홀베리/6박스] 홀베리 와사비 다이어트 이소비텍신 (총 24주분)[1]	홀베리	(방송에서만 50프로 세일!)[홀베리/6박스] 홀베리 와사비 다이어트 이소비텍신 (총 24주분)[1]	단순	00:37	01:38	61	32200000		식품	175000	https://live.ecomm-data.com/report/hsshow/9fceffa810ce477a3b4e1a00d01c7726	https://www.shinsegaetvshopping.com/display/detail/20068581
롯데원티비	20260619	00:40	01:20	40	[바이브리짓] ○(런칭가 59,900원) 26SS 썸머 라이트 자켓	바이브리짓	[바이브리짓] ○(런칭가 59,900원) 26SS 썸머 라이트 자켓	복합	00:40	01:20	40	7146800		패션의류	49900	https://live.ecomm-data.com/report/hsshow/c9db9bdf51415bf673207a35514ef2bd	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12899228
현대홈쇼핑 플러스샵	20260619	00:40	01:20	40	[100%유기농 국산보리] 편해보리 보리차진액 400g 3병+물병	편해보리	[100%유기농 국산보리] 편해보리 보리차진액 400g 3병+물병	단순	00:40	01:20	40	7770000		식품	69900	https://live.ecomm-data.com/report/hsshow/e2457e20d65748d2b49f073fe3b3fefa	https://www.hmall.com/md/pda/itemPtc?slitmCd=2249994126
NS홈쇼핑 샵플러스	20260619	00:42	01:43	61	마데카크림1	마데카크림1	마데카크림1	복합	00:42	01:43	61	10627200		화장품/미용	89100	https://live.ecomm-data.com/report/hsshow/341074be44a6b4eecf18e7cdafc5186e	https://m.nsmall.com/goods/35868573
CJ온스타일 플러스	20260619	00:45	01:45	60	3중직 냉감 침구세트 SK	3중직	3중직 냉감 침구세트 SK	단순	00:45	01:45	60	16828200		가구/인테리어	159900	https://live.ecomm-data.com/report/hsshow/399d73586b922f024905f803cbe3795f	https://display.cjonstyle.com/p/item/2033105592
GS홈쇼핑	20260619	00:55	02:00	65	홀베리 와사비 다이어트 이소비텍신 6박스 24주분 168정	홀베리	홀베리 와사비 다이어트 이소비텍신 6박스 24주분 168정	단순	00:55	02:00	65	66850000		식품	175000	https://live.ecomm-data.com/report/hsshow/8ef3a23e943c7bf8cb56fbe6358c8c12	https://www.gsshop.com/prd/prd.gs?prdid=1095338631&brddate=20260619005500&pgmID=6997&ordChannel=WE&tveshop=Y
NS홈쇼핑	20260619	00:55	01:01	6	보험 7부	삼성화재	보험 7부	단순	00:55	01:01	6	0		여가/생활편의	0	https://live.ecomm-data.com/report/hsshow/c9dc6d8d9f030eecb4c1337adb0b0cc8	https://m.nsmall.com/goods/35969996
GS홈쇼핑 마이샵	20260619	00:58	01:39	41	게스 언더웨어 시그니처 드로즈 8종 + 반팔 티셔츠 1종	게스	게스 언더웨어 시그니처 드로즈 8종 + 반팔 티셔츠 1종	단순	00:58	01:39	41	7476000		패션의류	80100	https://live.ecomm-data.com/report/hsshow/97dd44efb711cc48abced8cd75b9583d	https://www.gsshop.com/prd/prd.gs?prdid=1108240559&brddate=20260710183800&pgmID=13454&ordChannel=WE&tveshop=Y
롯데홈쇼핑	20260619	01:00	02:00	60	[LBL] 퓨어실크린넨코튼 하프슬리브 니트 3종	퓨어실크린넨코튼	[LBL] 퓨어실크린넨코튼 하프슬리브 니트 3종	복합	01:00	02:00	60	43560200		패션의류	59900	https://live.ecomm-data.com/report/hsshow/158e3948033ac9175fce77276b9101f1	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12845104
