channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
홈앤쇼핑	20260701	02:50	03:45	55	[방송에서만 이 가격][오모떼] 26SS 프론트스냅 썸머 똑딱브라 패키지	오모떼	[방송에서만 이 가격][오모떼] 26SS 프론트스냅 썸머 똑딱브라 패키지	단순	02:50	03:45	55	23276700	언더웨어	패션의류	99900	http://www.hnsmall.com/display/goods.do?goods_code=77190776
현대홈쇼핑	20260701	02:50	03:20	30	미세스문 삶아쓰는 뱀부 100% 포레라 침구 세트 SK	미세스문	미세스문 삶아쓰는 뱀부 100% 포레라 침구 세트 SK	단순	02:50	03:20	30	10232000	리빙/주방	가구/인테리어	238000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251423757&preview=true
GS홈쇼핑 마이샵	20260701	02:51	03:12	21	베네통 26SS 소프트 골지 퓨징 브라탑 3종세트	베네통	베네통 26SS 소프트 골지 퓨징 브라탑 3종세트	단순	02:51	03:12	21	2455900		패션의류	53910	https://www.gsshop.com/prd/prd.gs?prdid=1104564633&brddate=20260709015000&pgmID=6753&ordChannel=WE&tveshop=Y
롯데원티비	20260701	02:54	03:01	7	[라포레] ○ 라포레 스타일 텀블러 세트 (방송구성)	라포레	[라포레] ○ 라포레 스타일 텀블러 세트 (방송구성)	단순	02:54	03:01	7	64900		생활/건강	64900	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911867
CJ온스타일 플러스	20260701	02:55	03:05	10	24K 비너스 체인 목걸이	24K	24K 비너스 체인 목걸이	단순	02:55	03:05	10	5320000		패션잡화	5320000	https://display.cjonstyle.com/p/item/2087659771
GS홈쇼핑	20260701	03:00	04:00	60	브리엘 핸드메이드 울 코트 1종 [런칭 가격 99,900원]	브리엘	브리엘 핸드메이드 울 코트 1종 [런칭 가격 99,900원]	단순	03:00	04:00	60	41477100	의류	패션의류	49900	https://www.gsshop.com/prd/prd.gs?prdid=1089986478&brddate=20260701030000&pgmID=9613&ordChannel=WE&tveshop=Y
CJ온스타일	20260701	03:00	03:15	15	26SS 3D 아트웍 플로럴 니트 자켓	센존블루라벨	26SS 3D 아트웍 플로럴 니트 자켓	단순	03:00	03:15	15	1908000	의류	패션의류	159000	https://display.cjonstyle.com/p/item/2078523648?channelCode=30002002
현대홈쇼핑 플러스샵	20260701	03:00	03:20	20	[메종노아] 보타닉가든 썸머 스프레드 3세트(SK)	보타닉가든	[메종노아] 보타닉가든 썸머 스프레드 3세트(SK)	단순	03:00	03:20	20	1678200		가구/인테리어	99900	https://www.hmall.com/md/pda/itemPtc?slitmCd=2250454854
공영쇼핑	20260701	03:00	03:30	30	[젬마]냉감 인견 상하의 3세트 (총6종) 	냉감	[젬마]냉감 인견 상하의 3세트 (총6종) 	단순	03:00	03:30	30	8183600	언더웨어	패션의류	49900	https://www.gongyoungshop.kr/goods/selectGoodsDetail.do?prdId=11946211
롯데원티비	20260701	03:01	03:06	5	[쁠랑뜨] 클렌즈 주스 스무디 4종 40팩 (2)	클렌즈	[쁠랑뜨] 클렌즈 주스 스무디 4종 40팩 (2)	단순	03:01	03:06	5	0		식품	248000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911641
