상품대분류명,상품중분류명,상품소분류명,가격구간,전환율,취소율,반품율
보석/장신구,쥬얼리,반지,3_ 30~50만원,38.8%,50%,12.5%
보석/장신구,쥬얼리,목걸이,5_ 100만원 이상,26.5%,62%,12.5%
패션의류,여성의류(명품),세트,5_ 100만원 이상,18.8%,69%,12.5%
스포츠/레저,골프웨어,남성 상의,2_ 10~30만원,67.2%,22%,12.5%
보석/장신구,쥬얼리,목걸이,1_ 0~10만원,46.0%,42%,12.5%
보석/장신구,쥬얼리,귀걸이,5_ 100만원 이상,30.4%,59%,12.4%
언더웨어,이지웨어,잠옷,2_ 10~30만원,58.2%,31%,12.4%
디지털/가전,주방가전,전기밥솥,1_ 0~10만원,57.1%,31%,12.4%
생활/건강,건강,안마/마사지기,2_ 10~30만원,65.1%,23%,12.3%
패션잡화,패션소품,우산,3_ 30~50만원,28.6%,63%,12.2%
패션잡화,패션소품(명품),벨트,3_ 30~50만원,55.2%,33%,12.2%
패션잡화,패션소품(명품),벨트,2_ 10~30만원,63.8%,24%,12.2%
보석/장신구,쥬얼리,반지,1_ 0~10만원,48.9%,40%,12.2%
인테리어,침구,솜/속통,4_ 50~100만원,49.7%,39%,12.0%
인테리어,홈데코,러그/카페트,2_ 10~30만원,57.8%,31%,11.9%
인테리어,홈데코,러그/카페트,1_ 0~10만원,62.1%,26%,11.8%
생활/건강,욕실용품,욕조,1_ 0~10만원,64.3%,24%,11.8%
스포츠/레저,골프웨어,남성 세트,1_ 0~10만원,66.7%,22%,11.8%
스포츠/레저,헬스용품,헬스기구,1_ 0~10만원,67.6%,23%,11.8%
주방,주방용품,커트러리,3_ 30~50만원,56.1%,33%,11.7%
인테리어,홈데코,커튼/블라인드,1_ 0~10만원,63.4%,25%,11.7%
스포츠/레저,스포츠의류,남성 상의,1_ 0~10만원,69.6%,20%,11.7%
패션잡화,가방(명품),호보백,3_ 30~50만원,19.2%,69%,11.5%
스포츠/레저,골프용품,골프용구,2_ 10~30만원,68.3%,20%,11.5%
인테리어,침구,솜/속통,5_ 100만원 이상,38.0%,51%,11.4%
생활/건강,건강,측정계,2_ 10~30만원,53.8%,36%,11.4%
이미용,헤어케어,헤어기기,1_ 0~10만원,70.2%,19%,11.4%
디지털/가전,주방가전,에어프라이어,2_ 10~30만원,61.6%,28%,11.3%
생활/건강,목욕/위생용품,구강위생용품,2_ 10~30만원,72.6%,17%,11.3%
생활/건강,건강,건강관리용품,2_ 10~30만원,67.8%,22%,11.2%
주방,주방용품,커트러리,2_ 10~30만원,60.2%,30%,11.1%
디지털/가전,생활가전,다리미,1_ 0~10만원,67.7%,22%,11.1%
패션잡화,패션소품(명품),벨트,4_ 50~100만원,60.0%,29%,11.0%
패션잡화,신발,로퍼/컴포트화,1_ 0~10만원,70.4%,19%,10.9%
주방,주방잡화,설거지용품,2_ 10~30만원,71.0%,19%,10.9%
인테리어,침구,침구용품,2_ 10~30만원,60.8%,29%,10.8%
보석/장신구,쥬얼리,반지,4_ 50~100만원,37.7%,52%,10.8%
생활/건강,방범/보안/안전,방범용품,3_ 30~50만원,56.2%,34%,10.8%
생활/건강,건강,안마/마사지기,1_ 0~10만원,69.0%,21%,10.8%
디지털/가전,주방가전,음식물 처리기,1_ 0~10만원,63.5%,26%,10.7%
주방,주방용품,테이블용품,2_ 10~30만원,66.8%,23%,10.7%
주방,보관용기,쌀통/쌀항아리,2_ 10~30만원,63.6%,26%,10.7%
생활/건강,건강,온열기/찜질기/자극기,2_ 10~30만원,65.5%,25%,10.6%
스포츠/레저,수영/수상용품,수영복,1_ 0~10만원,64.1%,27%,10.6%
문화/취미,애완/반려,반려견용품,2_ 10~30만원,66.4%,23%,10.6%
생활/건강,건강,건강기기,2_ 10~30만원,67.8%,23%,10.6%
인테리어,홈데코,DIY용품,2_ 10~30만원,60.9%,30%,10.6%
이미용,헤어케어,샴푸,2_ 10~30만원,69.4%,21%,10.5%
보석/장신구,쥬얼리,귀걸이,1_ 0~10만원,59.0%,32%,10.5%
주방,주방잡화,기타용품,1_ 0~10만원,57.0%,34%,10.5%
패션잡화,패션소품,소품세트,3_ 30~50만원,58.7%,32%,10.4%
스포츠/레저,자동차,전장품,4_ 50~100만원,26.2%,63%,10.3%
주방,조리기구,냄비,3_ 30~50만원,52.4%,38%,10.3%
디지털/가전,주방가전,믹서기/블렌더,4_ 50~100만원,45.6%,45%,10.3%
인테리어,홈데코,러그/카페트,3_ 30~50만원,52.9%,39%,10.3%
보석/장신구,쥬얼리(명품),귀걸이,2_ 10~30만원,57.4%,34%,10.3%
이미용,스킨케어,세안/스크럽,3_ 30~50만원,66.4%,25%,10.2%
주방,조리기구,솥,1_ 0~10만원,64.1%,26%,10.2%
스포츠/레저,헬스용품,헬스기구,2_ 10~30만원,63.0%,28%,10.2%
이미용,헤어케어,트리트먼트,3_ 30~50만원,64.2%,27%,10.1%
생활/건강,청소/세탁,세탁세제,2_ 10~30만원,75.8%,15%,10.1%
출산/육아,주니어 의류,내복/내의,1_ 0~10만원,68.1%,22%,10.1%
주방,조리기구,커피메이커,1_ 0~10만원,67.2%,24%,10.1%
디지털/가전,주방가전,디저트메이커,2_ 10~30만원,54.3%,37%,9.9%
생활/건강,건강,측정계,1_ 0~10만원,55.8%,34%,9.9%
주방,주방용품,도마,2_ 10~30만원,65.7%,25%,9.9%
스포츠/레저,스포츠의류,UNISEX 상의,1_ 0~10만원,68.8%,22%,9.8%
패션잡화,신발,기능화,1_ 0~10만원,68.3%,22%,9.8%
인테리어,침실가구,매트리스,1_ 0~10만원,65.3%,25%,9.7%
인테리어,침실가구,매트리스,3_ 30~50만원,64.3%,27%,9.7%
스포츠/레저,캠핑용품,캠핑가구,2_ 10~30만원,55.5%,37%,9.7%
디지털/가전,이미용가전,헤어기기,2_ 10~30만원,64.4%,27%,9.6%
이미용,스킨케어,피부관리기,4_ 50~100만원,53.4%,37%,9.5%
생활/건강,청소/세탁,청소용품,1_ 0~10만원,74.5%,17%,9.5%
패션잡화,가방,여행가방,2_ 10~30만원,55.9%,35%,9.5%
주방,주방용품,컵/잔,4_ 50~100만원,49.7%,42%,9.5%
보석/장신구,쥬얼리,반지,5_ 100만원 이상,30.2%,62%,9.4%
스포츠/레저,헬스용품,헬스기구,3_ 30~50만원,64.1%,28%,9.4%
패션잡화,패션소품(명품),열쇠고리/핸드폰줄,3_ 30~50만원,49.1%,47%,9.4%
패션잡화,가방(명품),쇼퍼백,1_ 0~10만원,61.4%,30%,9.4%
인테리어,침구,침구용품,1_ 0~10만원,65.4%,26%,9.3%
패션잡화,신발,운동화,2_ 10~30만원,73.2%,18%,9.3%
주방,조리기구,솥,2_ 10~30만원,64.3%,27%,9.2%
패션잡화,신발,기능화,3_ 30~50만원,56.4%,36%,9.1%
인테리어,침실가구,매트리스,4_ 50~100만원,55.6%,37%,9.1%
주방,보관용기,컵/잔,1_ 0~10만원,69.5%,23%,9.0%
주방,조리기구,냄비,4_ 50~100만원,50.1%,41%,9.0%
디지털/가전,주방가전,찜기/튀김기,2_ 10~30만원,55.2%,37%,9.0%
이미용,뷰티소품,메이크업 용품,2_ 10~30만원,70.7%,20%,9.0%
주방,주방용품,컵/잔,3_ 30~50만원,52.4%,39%,8.9%
디지털/가전,주방가전,식품 제조기,1_ 0~10만원,70.9%,21%,8.9%
디지털/가전,주방가전,오븐,2_ 10~30만원,66.7%,25%,8.8%
인테리어,홈데코,매트/자리,2_ 10~30만원,65.2%,27%,8.8%
보석/장신구,쥬얼리,발찌,1_ 0~10만원,39.9%,52%,8.8%
이미용,바디케어,바디보습,3_ 30~50만원,58.5%,34%,8.7%
디지털/가전,영상가전/멀티미디어,스피커,2_ 10~30만원,61.0%,32%,8.6%
언더웨어,보정속옷,하의세트,1_ 0~10만원,70.6%,22%,8.6%
주방,보관용기,쌀통/쌀항아리,3_ 30~50만원,68.8%,24%,8.5%
생활/건강,생활잡화,생활잡화,2_ 10~30만원,53.3%,40%,8.4%
서비스,회원권/이용권,레저,2_ 10~30만원,53.0%,39%,8.4%
주방,주방용품,커트러리,1_ 0~10만원,66.4%,26%,8.4%
주방,조리기구,냄비,2_ 10~30만원,61.3%,31%,8.4%
이미용,스킨케어,피부관리기,2_ 10~30만원,64.4%,28%,8.3%
생활/건강,목욕/위생용품,항균/살균용품,1_ 0~10만원,41.7%,50%,8.3%
주방,주방용품,식품 제조기,3_ 30~50만원,53.1%,39%,8.3%
생활/건강,수납용품,압축팩,3_ 30~50만원,64.1%,29%,8.2%
디지털/가전,생활가전,전동칫솔,2_ 10~30만원,68.9%,23%,8.2%
디지털/가전,계절가전,난방가전,2_ 10~30만원,65.8%,27%,8.2%
주방,조리기구,팬,1_ 0~10만원,71.9%,21%,8.1%
디지털/가전,계절가전,방충용품,2_ 10~30만원,68.2%,24%,8.1%
생활/건강,목욕/위생용품,구강위생용품,1_ 0~10만원,77.5%,15%,8.1%
언더웨어,보정속옷,팬티,1_ 0~10만원,71.6%,21%,8.0%
이미용,스킨케어,피부관리기,3_ 30~50만원,63.7%,29%,7.9%
스포츠/레저,캠핑용품,취사용품,1_ 0~10만원,70.1%,23%,7.9%
디지털/가전,생활가전,청소기,2_ 10~30만원,69.1%,24%,7.9%
주방,주방용품,식기,4_ 50~100만원,48.8%,44%,7.9%
디지털/가전,주방가전,포장기,2_ 10~30만원,69.3%,24%,7.9%
주방,주방용품,컵/잔,5_ 100만원 이상,34.9%,60%,7.8%
주방,조리기구,솥,3_ 30~50만원,58.3%,35%,7.7%
주방,주방용품,식기,2_ 10~30만원,62.9%,30%,7.7%
언더웨어,보정속옷,팬티,2_ 10~30만원,69.4%,23%,7.7%
스포츠/레저,캠핑용품,취사용품,2_ 10~30만원,57.7%,42%,7.7%
패션잡화,패션소품,손수건,1_ 0~10만원,52.3%,40%,7.7%
디지털/가전,생활가전,의류 건조/관리기,2_ 10~30만원,60.0%,33%,7.7%
주방,주방잡화,테이블용품,1_ 0~10만원,67.1%,26%,7.6%
디지털/가전,계절가전,제습기,2_ 10~30만원,64.4%,28%,7.6%
이미용,뷰티소품,메이크업 용품,1_ 0~10만원,70.5%,22%,7.6%
이미용,헤어케어,트리트먼트,2_ 10~30만원,72.3%,21%,7.6%
생활/건강,생활잡화,생활잡화,1_ 0~10만원,67.9%,25%,7.5%
주방,주방잡화,설거지용품,1_ 0~10만원,76.7%,16%,7.4%
주방,주방용품,선반/건조대,2_ 10~30만원,64.3%,29%,7.4%
주방,주방용품,식기,3_ 30~50만원,56.2%,37%,7.4%
패션잡화,가방,여행가방,3_ 30~50만원,59.3%,35%,7.4%
스포츠/레저,자동차,전장품,2_ 10~30만원,69.0%,25%,7.4%
주방,보관용기,밀폐용기/저장용기,2_ 10~30만원,68.3%,25%,7.3%
디지털/가전,계절가전,난방가전,3_ 30~50만원,61.4%,32%,7.3%
주방,주방용품,식기,5_ 100만원 이상,47.5%,45%,7.3%
이미용,향수,향수,3_ 30~50만원,44.0%,51%,7.2%
디지털/가전,주방가전,식품 제조기,2_ 10~30만원,73.2%,21%,7.2%
주방,주방용품,칼/가위,2_ 10~30만원,70.3%,24%,7.2%
언더웨어,이지웨어,내복/내의,1_ 0~10만원,71.3%,22%,7.2%
이미용,스킨케어,피부관리기,1_ 0~10만원,61.7%,33%,7.2%
디지털/가전,주방가전,식품 제조기,3_ 30~50만원,49.9%,43%,7.2%
생활/건강,전기/조명,조명용품,4_ 50~100만원,55.1%,38%,7.1%
주방,조리기구,조리도구,1_ 0~10만원,66.4%,26%,7.1%
디지털/가전,주방가전,전기밥솥,3_ 30~50만원,60.3%,33%,7.1%
디지털/가전,영상가전/멀티미디어,카메라,2_ 10~30만원,53.2%,40%,7.1%
디지털/가전,주방가전,전기쿠커,1_ 0~10만원,74.1%,19%,7.1%
인테리어,홈데코,인테리어소품,1_ 0~10만원,68.6%,25%,7.0%
패션잡화,가방,토트백,3_ 30~50만원,10.5%,82%,7.0%
디지털/가전,주방가전,전기밥솥,2_ 10~30만원,64.3%,29%,7.0%
주방,조리기구,커피메이커,3_ 30~50만원,49.0%,45%,7.0%
보석/장신구,주화&순금,기념품,4_ 50~100만원,39.6%,54%,7.0%
디지털/가전,주방가전,믹서기/블렌더,3_ 30~50만원,60.5%,33%,6.9%
생활/건강,청소/세탁,세탁세제,1_ 0~10만원,79.6%,14%,6.9%
인테리어,생활가구,수납가구,3_ 30~50만원,46.2%,48%,6.9%
주방,주방용품,컵/잔,1_ 0~10만원,72.6%,22%,6.9%
인테리어,생활가구,수납가구,2_ 10~30만원,66.8%,27%,6.9%
생활/건강,건강,온열기/찜질기/자극기,1_ 0~10만원,70.7%,23%,6.8%
디지털/가전,주방가전,커피머신,1_ 0~10만원,59.1%,34%,6.8%
디지털/가전,이미용가전,헤어기기,1_ 0~10만원,70.9%,23%,6.8%
주방,조리기구,커피메이커,2_ 10~30만원,60.4%,34%,6.8%
디지털/가전,주방가전,전기쿠커,2_ 10~30만원,70.9%,23%,6.7%
디지털/가전,주방가전,음식물 처리기,3_ 30~50만원,65.6%,29%,6.7%
언더웨어,일반,팬티,1_ 0~10만원,77.1%,17%,6.7%
보석/장신구,쥬얼리,브로치,1_ 0~10만원,64.8%,30%,6.7%
디지털/가전,계절가전,냉방가전,4_ 50~100만원,37.9%,56%,6.7%
디지털/가전,계절가전,냉방가전,1_ 0~10만원,71.5%,23%,6.7%
생활/건강,건강,치아/구강,1_ 0~10만원,76.6%,17%,6.6%
이미용,스킨케어,페이셜 케어,3_ 30~50만원,61.3%,33%,6.6%
디지털/가전,주방가전,살균기,2_ 10~30만원,60.4%,35%,6.6%
디지털/가전,주방가전,믹서기/블렌더,2_ 10~30만원,69.3%,25%,6.5%
디지털/가전,생활가전,다리미,2_ 10~30만원,71.8%,23%,6.5%
생활/건강,목욕/위생용품,세안/목욕,3_ 30~50만원,62.3%,32%,6.5%
출산/육아,주니어 의류,티셔츠,1_ 0~10만원,77.1%,16%,6.5%
디지털/가전,주방가전,전기밥솥,4_ 50~100만원,58.1%,37%,6.5%
주방,주방잡화,테이블용품,2_ 10~30만원,67.3%,27%,6.4%
이미용,헤어케어,헤어기기,4_ 50~100만원,69.0%,25%,6.4%
디지털/가전,주방가전,전기주전자/포트,1_ 0~10만원,69.6%,25%,6.4%
패션잡화,패션소품(명품),열쇠고리/핸드폰줄,1_ 0~10만원,62.9%,32%,6.4%
생활/건강,생활잡화,캐리어/웨건,3_ 30~50만원,62.2%,33%,6.3%
디지털/가전,주방가전,전기주전자/포트,2_ 10~30만원,66.7%,28%,6.3%
언더웨어,일반,상하의세트,1_ 0~10만원,78.9%,15%,6.3%
생활/건강,청소/세탁,의류/건조용품,1_ 0~10만원,76.9%,18%,6.3%
이미용,향수,향수,4_ 50~100만원,52.8%,41%,6.3%
인테리어,침실가구,침대,4_ 50~100만원,40.5%,53%,6.3%
주방,주방용품,기타조리도구,2_ 10~30만원,71.8%,23%,6.3%
디지털/가전,계절가전,냉방가전,3_ 30~50만원,63.7%,31%,6.2%
이미용,헤어케어,탈모/두피관리,2_ 10~30만원,74.3%,20%,6.2%
디지털/가전,계절가전,제습기,3_ 30~50만원,68.3%,26%,6.1%
생활/건강,수납용품,행거,4_ 50~100만원,64.0%,30%,6.1%
디지털/가전,생활가전,다리미,3_ 30~50만원,63.6%,31%,6.1%
디지털/가전,생활가전,의류 건조/관리기,1_ 0~10만원,57.8%,36%,6.1%
주방,주방용품,도마,1_ 0~10만원,78.1%,20%,6.1%
주방,조리기구,팬,3_ 30~50만원,68.1%,27%,6.1%
디지털/가전,계절가전,냉방가전,2_ 10~30만원,68.4%,26%,6.1%
생활/건강,건강,건강관리용품,1_ 0~10만원,76.5%,18%,6.1%
생활/건강,수납용품,압축팩,2_ 10~30만원,73.3%,21%,6.0%
인테리어,침실가구,침실가구,3_ 30~50만원,37.8%,59%,6.0%
주방,주방용품,칼/가위,3_ 30~50만원,63.1%,32%,6.0%
디지털/가전,계절가전,방충용품,1_ 0~10만원,68.2%,26%,5.9%
주방,주방용품,컵/잔,2_ 10~30만원,69.4%,25%,5.9%
디지털/가전,생활가전,공기청정기,4_ 50~100만원,52.6%,42%,5.9%
생활/건강,수납용품,정리함,2_ 10~30만원,68.6%,28%,5.9%
디지털/가전,주방가전,그릴,2_ 10~30만원,72.5%,22%,5.9%
디지털/가전,생활가전,기타 생활가전,5_ 100만원 이상,29.4%,76%,5.9%
주방,보관용기,밀폐용기/저장용기,1_ 0~10만원,73.9%,21%,5.8%
이미용,스킨케어,피부관리기,5_ 100만원 이상,51.0%,44%,5.8%
인테리어,침실가구,매트리스,2_ 10~30만원,63.9%,32%,5.8%
디지털/가전,주방가전,믹서기/블렌더,1_ 0~10만원,74.4%,20%,5.8%
주방,조리기구,냄비,1_ 0~10만원,73.8%,21%,5.7%
생활/건강,수납용품,압축팩,1_ 0~10만원,74.3%,21%,5.7%
주방,조리기구,팬,2_ 10~30만원,70.2%,25%,5.7%
이미용,바디케어,바디보습,2_ 10~30만원,71.0%,24%,5.7%
언더웨어,일반,팬티,2_ 10~30만원,78.6%,16%,5.7%
디지털/가전,계절가전,난방가전,1_ 0~10만원,72.0%,23%,5.7%
생활/건강,청소/세탁,청소용품,2_ 10~30만원,64.1%,33%,5.7%
이미용,향수,향수,2_ 10~30만원,62.9%,32%,5.7%
이미용,메이크업,베이스 메이크업,2_ 10~30만원,67.6%,28%,5.7%
이미용,헤어케어,헤어기기,3_ 30~50만원,66.3%,29%,5.6%
주방,주방잡화,기타조리도구,1_ 0~10만원,76.8%,19%,5.6%
디지털/가전,영상가전/멀티미디어,이어폰/헤드셋,1_ 0~10만원,69.9%,26%,5.6%
주방,조리기구,가스레인지,1_ 0~10만원,70.2%,26%,5.6%
이미용,메이크업,립 메이크업,3_ 30~50만원,19.6%,78%,5.6%
생활/건강,욕실용품,샤워기/수전,1_ 0~10만원,77.7%,18%,5.6%
패션잡화,가방(명품),호보백,4_ 50~100만원,22.2%,72%,5.6%
패션잡화,패션소품,열쇠고리/핸드폰줄,2_ 10~30만원,27.8%,72%,5.6%
디지털/가전,주방가전,냉장고,3_ 30~50만원,53.4%,42%,5.5%
디지털/가전,이미용가전,헤어기기,4_ 50~100만원,68.9%,26%,5.5%
주방,주방용품,식기,1_ 0~10만원,62.7%,33%,5.5%
디지털/가전,영상가전/멀티미디어,이어폰/헤드셋,2_ 10~30만원,58.2%,37%,5.5%
이미용,디퓨저,디퓨저,2_ 10~30만원,58.5%,38%,5.5%
디지털/가전,주방가전,커피머신,3_ 30~50만원,56.0%,39%,5.4%
생활/건강,수납용품,행거,3_ 30~50만원,63.5%,31%,5.4%
생활/건강,전기/조명,전기용품,2_ 10~30만원,74.4%,21%,5.4%
디지털/가전,주방가전,에어프라이어,1_ 0~10만원,71.8%,24%,5.4%
디지털/가전,이미용가전,헤어기기,3_ 30~50만원,71.5%,25%,5.4%
이미용,바디케어,바디관리기,1_ 0~10만원,75.4%,19%,5.4%
생활/건강,전기/조명,전기용품,1_ 0~10만원,68.6%,27%,5.3%
디지털/가전,생활가전,청소기,1_ 0~10만원,76.5%,18%,5.3%
이미용,헤어케어,탈모/두피관리,1_ 0~10만원,74.0%,22%,5.3%
패션잡화,패션소품,양말,1_ 0~10만원,69.7%,26%,5.3%
식품,건강식품,건강기능식품,5_ 100만원 이상,66.5%,29%,5.3%
이미용,헤어케어,헤어기기,5_ 100만원 이상,57.6%,41%,5.2%
이미용,스킨케어,페이셜 케어,4_ 50~100만원,59.3%,36%,5.2%
생활/건강,수납용품,정리함,1_ 0~10만원,72.6%,22%,5.1%
인테리어,생활가구,수납가구,1_ 0~10만원,71.7%,24%,5.1%
이미용,네일케어,인조손톱,1_ 0~10만원,75.2%,20%,5.1%
언더웨어,일반,런닝/캐미솔,1_ 0~10만원,75.8%,19%,5.1%
생활/건강,건강,치아/구강,2_ 10~30만원,71.1%,24%,5.1%
주방,주방용품,칼/가위,1_ 0~10만원,77.3%,18%,5.0%
보석/장신구,쥬얼리,펜던트,3_ 30~50만원,20.0%,75%,5.0%
생활/건강,청소/세탁,세제/세정제,1_ 0~10만원,78.1%,17%,5.0%
이미용,스킨케어,마사지/팩,2_ 10~30만원,69.7%,26%,5.0%
인테리어,홈데코,DIY용품,1_ 0~10만원,75.4%,21%,5.0%
이미용,메이크업,립 메이크업,2_ 10~30만원,67.5%,28%,5.0%
이미용,뷰티소품,헤어용품,1_ 0~10만원,72.8%,22%,5.0%
이미용,메이크업,베이스 메이크업,3_ 30~50만원,67.9%,28%,5.0%
생활/건강,공구/DIY,DIY용품,1_ 0~10만원,74.9%,21%,5.0%
생활/건강,수납용품,행거,2_ 10~30만원,68.5%,28%,5.0%
디지털/가전,생활가전,청소기,4_ 50~100만원,62.2%,33%,4.9%
스포츠/레저,자동차,전장품,3_ 30~50만원,65.0%,33%,4.9%
이미용,스킨케어,마사지/팩,3_ 30~50만원,63.7%,33%,4.8%
인테리어,홈데코,매트/자리,1_ 0~10만원,75.5%,21%,4.8%
디지털/가전,주방가전,커피머신,2_ 10~30만원,63.9%,32%,4.8%
생활/건강,목욕/위생용품,세안/목욕,1_ 0~10만원,71.0%,25%,4.7%
생활/건강,청소/세탁,탈취/방향/제거제,2_ 10~30만원,71.2%,25%,4.7%
이미용,메이크업,포인트 메이크업,2_ 10~30만원,69.6%,26%,4.7%
디지털/가전,영상가전/멀티미디어,스피커,3_ 30~50만원,46.0%,49%,4.6%
생활/건강,목욕/위생용품,세안/목욕,2_ 10~30만원,72.9%,23%,4.6%
보석/장신구,주화&순금,기념품,2_ 10~30만원,57.0%,40%,4.6%
인테리어,침실가구,침대,5_ 100만원 이상,40.1%,56%,4.5%
이미용,스킨케어,세안/스크럽,1_ 0~10만원,77.0%,19%,4.5%
생활/건강,제지/위생,생리대/청결제,2_ 10~30만원,77.6%,20%,4.5%
보석/장신구,주화&순금,기념품,5_ 100만원 이상,27.9%,68%,4.4%
이미용,스킨케어,페이셜 케어,2_ 10~30만원,73.6%,23%,4.4%
이미용,향수,향수,1_ 0~10만원,63.6%,33%,4.4%
생활/건강,수납용품,행거,1_ 0~10만원,72.0%,25%,4.3%
디지털/가전,생활가전,청소기,5_ 100만원 이상,61.5%,35%,4.3%
출산/육아,유아안전/실내용품,안전용품,4_ 50~100만원,57.6%,38%,4.3%
이미용,헤어케어,탈모/두피관리,3_ 30~50만원,65.8%,31%,4.3%
이미용,스킨케어,마사지/팩,4_ 50~100만원,54.8%,42%,4.3%
이미용,헤어케어,염색,2_ 10~30만원,74.4%,23%,4.3%
이미용,스킨케어,선케어,2_ 10~30만원,75.8%,21%,4.2%
이미용,바디케어,워시/스크럽,1_ 0~10만원,73.5%,23%,4.2%
주방,보관용기,쌀통/쌀항아리,1_ 0~10만원,76.2%,20%,4.2%
패션잡화,패션소품,헤어액세서리,1_ 0~10만원,50.0%,46%,4.2%
이미용,메이크업,아이 메이크업,3_ 30~50만원,71.8%,25%,4.2%
디지털/가전,주방가전,전자레인지,2_ 10~30만원,64.6%,32%,4.1%
디지털/가전,생활가전,의류 건조/관리기,3_ 30~50만원,51.1%,45%,4.1%
서비스,회원권/이용권,문화/공연,1_ 0~10만원,87.0%,10%,4.1%
이미용,헤어케어,케어세트,2_ 10~30만원,69.8%,27%,4.1%
출산/육아,완구/교구,블록/자석/조립완구,2_ 10~30만원,69.5%,27%,4.1%
디지털/가전,계절가전,가습기,1_ 0~10만원,55.4%,43%,4.1%
이미용,스킨케어,세안/스크럽,2_ 10~30만원,69.9%,27%,4.0%
디지털/가전,이미용가전,면도기/제모기,1_ 0~10만원,73.5%,23%,4.0%
주방,주방용품,보관용품,1_ 0~10만원,75.2%,21%,4.0%
이미용,헤어케어,트리트먼트,1_ 0~10만원,74.4%,23%,4.0%
이미용,메이크업,아이 메이크업,2_ 10~30만원,76.5%,21%,4.0%
이미용,스킨케어,마사지/팩,1_ 0~10만원,74.4%,23%,4.0%
이미용,헤어케어,염색,1_ 0~10만원,76.8%,21%,4.0%
이미용,메이크업,립 메이크업,1_ 0~10만원,70.0%,27%,3.9%
이미용,바디케어,목욕용품,2_ 10~30만원,71.8%,25%,3.9%
생활/건강,수납용품,소품걸이,1_ 0~10만원,79.3%,18%,3.9%
디지털/가전,생활가전,청소기,3_ 30~50만원,68.0%,29%,3.9%
이미용,헤어케어,샴푸,1_ 0~10만원,72.0%,25%,3.9%
이미용,헤어케어,탈모/두피관리,4_ 50~100만원,50.3%,47%,3.9%
이미용,스킨케어,선케어,1_ 0~10만원,77.3%,20%,3.9%
생활/건강,욕실용품,샤워기/수전,2_ 10~30만원,69.2%,31%,3.8%
보석/장신구,주화&순금,기념품,3_ 30~50만원,53.2%,45%,3.8%
이미용,바디케어,바디보습,1_ 0~10만원,72.8%,25%,3.7%
이미용,메이크업,아이 메이크업,1_ 0~10만원,75.3%,22%,3.7%
이미용,메이크업,베이스 메이크업,1_ 0~10만원,78.3%,19%,3.6%
이미용,헤어케어,케어세트,3_ 30~50만원,73.2%,24%,3.6%
디지털/가전,주방가전,그릴,1_ 0~10만원,66.6%,33%,3.6%
디지털/가전,생활가전,공기청정기,3_ 30~50만원,64.0%,33%,3.5%
이미용,바디케어,워시/스크럽,2_ 10~30만원,71.8%,26%,3.4%
식품,가공식품,간식류,2_ 10~30만원,76.8%,21%,3.4%
식품,가공식품,대용식,2_ 10~30만원,60.1%,37%,3.3%
생활/건강,청소/세탁,탈취/방향/제거제,1_ 0~10만원,80.6%,17%,3.3%
디지털/가전,계절가전,난방가전,4_ 50~100만원,11.5%,85%,3.3%
이미용,메이크업,포인트 메이크업,1_ 0~10만원,76.9%,21%,3.3%
식품,건강식품,일반건강식품,4_ 50~100만원,72.0%,25%,3.2%
식품,가공식품,오일/장류/소스,3_ 30~50만원,66.1%,32%,3.2%
디지털/가전,통신기기,휴대폰,5_ 100만원 이상,49.1%,48%,3.1%
디지털/가전,주방가전,커피머신,5_ 100만원 이상,48.6%,49%,3.0%
패션잡화,지갑(명품),여권지갑,2_ 10~30만원,41.2%,56%,2.9%
식품,건강식품,일반건강식품,2_ 10~30만원,74.8%,23%,2.9%
이미용,스킨케어,페이셜 케어,1_ 0~10만원,76.4%,21%,2.8%
디지털/가전,PC용품,프린터/복합기,2_ 10~30만원,60.5%,37%,2.8%
주방,주방잡화,보관용품,1_ 0~10만원,85.4%,12%,2.8%
식품,건강식품,일반건강식품,3_ 30~50만원,75.5%,22%,2.8%
식품,농산물,양곡,2_ 10~30만원,76.8%,22%,2.4%
디지털/가전,이미용가전,면도기/제모기,2_ 10~30만원,80.2%,18%,2.4%
이미용,바디케어,목욕용품,1_ 0~10만원,78.6%,20%,2.4%
디지털/가전,생활가전,기타 생활가전,4_ 50~100만원,51.8%,47%,2.4%
주방,주방용품,기타조리도구,1_ 0~10만원,81.4%,17%,2.3%
식품,가공식품,야채가공식품,2_ 10~30만원,72.2%,26%,2.3%
식품,건강식품,건강기능식품,3_ 30~50만원,75.2%,23%,2.3%
디지털/가전,노트북,슬림형노트북,4_ 50~100만원,40.3%,57%,2.2%
생활/건강,제지/위생,생리대/청결제,1_ 0~10만원,81.9%,16%,2.2%
식품,건강식품,건강기능식품,2_ 10~30만원,77.4%,21%,2.2%
식품,건강식품,건강기능식품,1_ 0~10만원,78.8%,20%,2.2%
출산/육아,도서/미디어,도서,2_ 10~30만원,71.1%,27%,2.1%
식품,농산물,채소/야채,2_ 10~30만원,81.2%,17%,2.0%
주방,주방용품,선반/건조대,1_ 0~10만원,79.3%,19%,2.0%
식품,가공식품,오일/장류/소스,2_ 10~30만원,77.0%,22%,2.0%
식품,가공식품,커피/차/음료,2_ 10~30만원,78.8%,20%,2.0%
생활/건강,건강,안마/마사지기,5_ 100만원 이상,55.3%,43%,2.0%
