상품대분류명,상품중분류명,가격구간,전환율,취소율,반품율
디지털/가전,주방가전,5_ 100만원 이상,36.6%,63%,0.6%
주방,주방용품,1_ 0~10만원,78.6%,19%,4.7%
주방,주방용품,2_ 10~30만원,67.9%,25%,8.1%
주방,주방용품,3_ 30~50만원,56.3%,36%,8.3%
주방,주방용품,4_ 50~100만원,49.2%,43%,8.6%
주방,주방용품,5_ 100만원 이상,42.8%,51%,7.5%
주방,주방잡화,1_ 0~10만원,74.6%,19%,6.9%
주방,주방잡화,2_ 10~30만원,69.6%,22%,9.2%
보석/장신구,주화&순금,1_ 0~10만원,50.4%,49%,1.9%
보석/장신구,주화&순금,2_ 10~30만원,57.0%,40%,4.6%
보석/장신구,주화&순금,3_ 30~50만원,53.2%,45%,3.8%
보석/장신구,주화&순금,4_ 50~100만원,39.6%,54%,7.0%
보석/장신구,주화&순금,5_ 100만원 이상,27.9%,68%,4.4%
보석/장신구,쥬얼리,1_ 0~10만원,54.9%,35%,11.3%
보석/장신구,쥬얼리,2_ 10~30만원,43.9%,44%,13.5%
보석/장신구,쥬얼리,3_ 30~50만원,37.8%,49%,14.8%
보석/장신구,쥬얼리,4_ 50~100만원,35.4%,52%,12.7%
보석/장신구,쥬얼리,5_ 100만원 이상,27.1%,60%,13.8%
보석/장신구,쥬얼리(명품),2_ 10~30만원,41.1%,44%,16.4%
보석/장신구,쥬얼리(명품),3_ 30~50만원,37.1%,45%,19.2%
보석/장신구,쥬얼리(명품),4_ 50~100만원,31.6%,49%,20.3%
보석/장신구,쥬얼리(명품),5_ 100만원 이상,26.8%,54%,20.1%
패션잡화,지갑,2_ 10~30만원,51.9%,35%,15.0%
패션잡화,지갑,3_ 30~50만원,30.6%,57%,14.3%
패션잡화,지갑(명품),2_ 10~30만원,45.3%,44%,14.4%
패션잡화,지갑(명품),3_ 30~50만원,46.3%,42%,13.3%
패션잡화,지갑(명품),4_ 50~100만원,38.1%,46%,17.4%
패션잡화,지갑(명품),5_ 100만원 이상,31.5%,49%,20.2%
